,N_Estimators,Max_Depth,Confusion Matrix Split 61,Confusion Matrix Split 62,Confusion Matrix Split 63,Confusion Matrix Split 64,Confusion Matrix Split 65,Confusion Matrix Split 66,Confusion Matrix Split 67,Confusion Matrix Split 68,Confusion Matrix Split 69,Confusion Matrix Split 70
0,200,5,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[5, 0, 2, 2]","[2, 2, 1, 4]","[3, 1, 3, 2]"
1,200,7,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 3, 2]","[3, 2, 2, 3]","[4, 1, 2, 3]","[3, 2, 0, 4]","[5, 0, 2, 2]","[1, 3, 1, 4]","[3, 1, 3, 2]"
2,200,10,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[4, 1, 2, 3]","[3, 2, 0, 4]","[5, 0, 2, 2]","[1, 3, 1, 4]","[3, 1, 3, 2]"
3,300,5,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[2, 3, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[5, 0, 2, 2]","[2, 2, 0, 5]","[3, 1, 4, 1]"
4,300,7,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[4, 1, 2, 3]","[3, 2, 0, 4]","[5, 0, 2, 2]","[1, 3, 1, 4]","[3, 1, 4, 1]"
5,300,10,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[2, 3, 2, 3]","[4, 1, 2, 3]","[3, 2, 0, 4]","[5, 0, 2, 2]","[1, 3, 1, 4]","[3, 1, 3, 2]"
6,400,5,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[2, 3, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[5, 0, 2, 2]","[1, 3, 1, 4]","[3, 1, 4, 1]"
7,400,7,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[2, 3, 2, 3]","[4, 1, 2, 3]","[3, 2, 0, 4]","[5, 0, 2, 2]","[1, 3, 1, 4]","[3, 1, 4, 1]"
8,400,10,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[4, 1, 2, 3]","[3, 2, 0, 4]","[5, 0, 2, 2]","[1, 3, 1, 4]","[3, 1, 3, 2]"
9,500,5,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[5, 0, 2, 2]","[1, 3, 0, 5]","[3, 1, 3, 2]"
10,500,7,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[4, 1, 2, 3]","[3, 2, 0, 4]","[5, 0, 2, 2]","[1, 3, 0, 5]","[3, 1, 3, 2]"
11,500,10,"[5, 0, 0, 5]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[4, 1, 2, 3]","[3, 2, 0, 4]","[5, 0, 2, 2]","[1, 3, 0, 5]","[3, 1, 3, 2]"
