,Kernel,C,Gamma,Degree,Confusion Matrix Split 71,Confusion Matrix Split 72,Confusion Matrix Split 73,Confusion Matrix Split 74,Confusion Matrix Split 75,Confusion Matrix Split 76,Confusion Matrix Split 77,Confusion Matrix Split 78,Confusion Matrix Split 79,Confusion Matrix Split 80
0,linear,0.1,,,"[4, 1, 3, 2]","[4, 1, 0, 5]","[3, 2, 4, 1]","[1, 4, 2, 3]","[4, 1, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 3]","[1, 4, 1, 3]","[3, 1, 1, 4]","[2, 2, 2, 3]"
1,rbf,0.1,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
2,poly,0.1,1.0,2.0,"[3, 2, 3, 2]","[5, 0, 3, 2]","[4, 1, 3, 2]","[3, 2, 2, 3]","[1, 4, 2, 3]","[5, 0, 4, 1]","[3, 2, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[2, 2, 2, 3]"
3,poly,0.1,1.0,3.0,"[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 3, 2]","[3, 2, 2, 3]","[2, 3, 1, 4]","[5, 0, 3, 2]","[3, 2, 2, 2]","[4, 1, 2, 2]","[2, 2, 2, 3]","[2, 2, 1, 4]"
4,rbf,0.1,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
5,poly,0.1,10.0,2.0,"[3, 2, 3, 2]","[5, 0, 3, 2]","[4, 1, 3, 2]","[3, 2, 2, 3]","[1, 4, 2, 3]","[5, 0, 4, 1]","[3, 2, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[2, 2, 2, 3]"
6,poly,0.1,10.0,3.0,"[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 3, 2]","[3, 2, 2, 3]","[2, 3, 1, 4]","[5, 0, 3, 2]","[3, 2, 2, 2]","[4, 1, 2, 2]","[2, 2, 2, 3]","[2, 2, 1, 4]"
7,linear,1.0,,,"[4, 1, 3, 2]","[4, 1, 0, 5]","[3, 2, 4, 1]","[1, 4, 2, 3]","[4, 1, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 3]","[1, 4, 1, 3]","[3, 1, 1, 4]","[2, 2, 2, 3]"
8,rbf,1.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
9,poly,1.0,1.0,2.0,"[3, 2, 3, 2]","[5, 0, 3, 2]","[4, 1, 3, 2]","[3, 2, 2, 3]","[1, 4, 2, 3]","[5, 0, 4, 1]","[3, 2, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[2, 2, 2, 3]"
10,poly,1.0,1.0,3.0,"[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 3, 2]","[3, 2, 2, 3]","[2, 3, 1, 4]","[5, 0, 3, 2]","[3, 2, 2, 2]","[4, 1, 2, 2]","[2, 2, 2, 3]","[2, 2, 1, 4]"
