,Kernel,C,Gamma,Degree,Confusion Matrix Split 21,Confusion Matrix Split 22,Confusion Matrix Split 23,Confusion Matrix Split 24,Confusion Matrix Split 25,Confusion Matrix Split 26,Confusion Matrix Split 27,Confusion Matrix Split 28,Confusion Matrix Split 29,Confusion Matrix Split 30
0,linear,0.1,,,"[3, 2, 3, 2]","[3, 2, 2, 3]","[3, 2, 1, 4]","[2, 3, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 2]","[4, 1, 2, 2]","[3, 2, 2, 2]","[0, 4, 4, 1]","[3, 1, 1, 4]"
1,rbf,0.1,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
2,poly,0.1,1.0,2.0,"[1, 4, 4, 1]","[3, 2, 2, 3]","[2, 3, 3, 2]","[4, 1, 2, 3]","[5, 0, 1, 4]","[4, 1, 3, 2]","[3, 2, 2, 2]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
3,poly,0.1,1.0,3.0,"[2, 3, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 1]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
4,rbf,0.1,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
5,poly,0.1,10.0,2.0,"[1, 4, 4, 1]","[3, 2, 2, 3]","[2, 3, 3, 2]","[4, 1, 2, 3]","[5, 0, 1, 4]","[4, 1, 3, 2]","[3, 2, 2, 2]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
6,poly,0.1,10.0,3.0,"[2, 3, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 1]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
7,linear,1.0,,,"[2, 3, 3, 2]","[3, 2, 2, 3]","[3, 2, 1, 4]","[2, 3, 2, 3]","[4, 1, 3, 2]","[4, 1, 2, 3]","[4, 1, 2, 2]","[3, 2, 1, 3]","[0, 4, 3, 2]","[3, 1, 1, 4]"
8,rbf,1.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
9,poly,1.0,1.0,2.0,"[1, 4, 4, 1]","[3, 2, 2, 3]","[2, 3, 3, 2]","[4, 1, 2, 3]","[5, 0, 1, 4]","[4, 1, 3, 2]","[3, 2, 2, 2]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
10,poly,1.0,1.0,3.0,"[2, 3, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 1]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
11,rbf,1.0,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
12,poly,1.0,10.0,2.0,"[1, 4, 4, 1]","[3, 2, 2, 3]","[2, 3, 3, 2]","[4, 1, 2, 3]","[5, 0, 1, 4]","[4, 1, 3, 2]","[3, 2, 2, 2]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
13,poly,1.0,10.0,3.0,"[2, 3, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 3, 2]","[4, 1, 3, 1]","[2, 3, 2, 2]","[1, 3, 3, 2]","[0, 4, 0, 5]"
14,linear,10.0,,,"[2, 3, 3, 2]","[3, 2, 2, 3]","[3, 2, 1, 4]","[2, 3, 2, 3]","[4, 1, 3, 2]","[4, 1, 2, 3]","[4, 1, 1, 3]","[3, 2, 2, 2]","[0, 4, 3, 2]","[3, 1, 2, 3]"
