,Max_depth,N_estimators,Confusion Matrix Split 1,Confusion Matrix Split 2,Confusion Matrix Split 3,Confusion Matrix Split 4,Confusion Matrix Split 5,Confusion Matrix Split 6,Confusion Matrix Split 7,Confusion Matrix Split 8,Confusion Matrix Split 9,Confusion Matrix Split 10
0,3,50,"[5, 0, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 3, 2]","[4, 1, 1, 4]","[3, 2, 1, 4]","[5, 0, 1, 3]","[5, 0, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
1,3,183,"[5, 0, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 2, 3]","[5, 0, 1, 4]","[3, 2, 0, 5]","[5, 0, 1, 3]","[5, 0, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
2,3,316,"[5, 0, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 2, 3]","[5, 0, 1, 4]","[3, 2, 0, 5]","[5, 0, 1, 3]","[5, 0, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
3,3,450,"[5, 0, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 2, 3]","[4, 1, 1, 4]","[3, 2, 0, 5]","[5, 0, 2, 2]","[4, 1, 1, 3]","[3, 1, 1, 4]","[2, 2, 1, 4]"
4,4,50,"[4, 1, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 3, 2]","[3, 2, 1, 4]","[3, 2, 2, 3]","[5, 0, 1, 3]","[5, 0, 1, 3]","[3, 1, 2, 3]","[3, 1, 1, 4]"
5,4,183,"[4, 1, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 1, 4]","[3, 2, 2, 3]","[5, 0, 1, 3]","[5, 0, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
6,4,316,"[4, 1, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 1, 4]","[3, 2, 2, 3]","[5, 0, 2, 2]","[5, 0, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
7,4,450,"[4, 1, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 1, 4]","[4, 1, 1, 4]","[3, 2, 1, 4]","[5, 0, 2, 2]","[5, 0, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
8,5,50,"[4, 1, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 3, 2]","[3, 2, 1, 4]","[3, 2, 2, 3]","[5, 0, 2, 2]","[5, 0, 1, 3]","[3, 1, 1, 4]","[2, 2, 1, 4]"
9,5,183,"[4, 1, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 3, 2]","[3, 2, 1, 4]","[3, 2, 2, 3]","[5, 0, 2, 2]","[5, 0, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
10,5,316,"[4, 1, 2, 3]","[4, 1, 3, 2]","[3, 2, 1, 4]","[5, 0, 3, 2]","[3, 2, 1, 4]","[3, 2, 2, 3]","[5, 0, 2, 2]","[5, 0, 1, 3]","[3, 1, 1, 4]","[3, 1, 1, 4]"
