,Max_depth,N_estimators,Confusion Matrix Split 58
0,3,50,"[4, 1, 1, 3]"
1,3,183,"[3, 2, 0, 4]"
2,3,316,"[3, 2, 0, 4]"
3,3,450,"[3, 2, 0, 4]"
4,4,50,"[4, 1, 1, 3]"
5,4,183,"[4, 1, 1, 3]"
6,4,316,"[4, 1, 1, 3]"
7,4,450,"[4, 1, 1, 3]"
8,5,50,"[4, 1, 1, 3]"
9,5,183,"[4, 1, 1, 3]"
10,5,316,"[4, 1, 1, 3]"
11,5,450,"[4, 1, 1, 3]"
12,6,50,"[4, 1, 1, 3]"
13,6,183,"[4, 1, 1, 3]"
14,6,316,"[4, 1, 1, 3]"
15,6,450,"[4, 1, 1, 3]"
16,7,50,"[4, 1, 1, 3]"
17,7,183,"[4, 1, 1, 3]"
18,7,316,"[4, 1, 1, 3]"
19,7,450,"[4, 1, 1, 3]"
