,Max_depth,N_estimators,Confusion Matrix Split 60
0,3,50,"[3, 1, 1, 4]"
1,3,183,"[3, 1, 1, 4]"
2,3,316,"[3, 1, 1, 4]"
3,3,450,"[3, 1, 1, 4]"
4,4,50,"[3, 1, 1, 4]"
5,4,183,"[3, 1, 0, 5]"
6,4,316,"[3, 1, 0, 5]"
7,4,450,"[3, 1, 0, 5]"
8,5,50,"[3, 1, 0, 5]"
9,5,183,"[3, 1, 0, 5]"
10,5,316,"[3, 1, 0, 5]"
11,5,450,"[3, 1, 0, 5]"
12,6,50,"[2, 2, 0, 5]"
13,6,183,"[3, 1, 0, 5]"
14,6,316,"[3, 1, 0, 5]"
15,6,450,"[3, 1, 0, 5]"
16,7,50,"[3, 1, 0, 5]"
17,7,183,"[3, 1, 0, 5]"
18,7,316,"[3, 1, 0, 5]"
19,7,450,"[3, 1, 0, 5]"
