,Max_depth,N_estimators,Confusion Matrix Split 50
0,3,50,"[1, 3, 0, 5]"
1,3,183,"[1, 3, 0, 5]"
2,3,316,"[1, 3, 0, 5]"
3,3,450,"[1, 3, 0, 5]"
4,4,50,"[1, 3, 0, 5]"
5,4,183,"[1, 3, 0, 5]"
6,4,316,"[1, 3, 0, 5]"
7,4,450,"[1, 3, 0, 5]"
8,5,50,"[1, 3, 0, 5]"
9,5,183,"[1, 3, 0, 5]"
10,5,316,"[1, 3, 0, 5]"
11,5,450,"[1, 3, 0, 5]"
12,6,50,"[1, 3, 0, 5]"
13,6,183,"[1, 3, 0, 5]"
14,6,316,"[1, 3, 0, 5]"
15,6,450,"[1, 3, 0, 5]"
16,7,50,"[1, 3, 0, 5]"
17,7,183,"[1, 3, 0, 5]"
18,7,316,"[1, 3, 0, 5]"
19,7,450,"[1, 3, 0, 5]"
