,Max_depth,N_estimators,Confusion Matrix Split 61,Confusion Matrix Split 62,Confusion Matrix Split 63,Confusion Matrix Split 64,Confusion Matrix Split 65,Confusion Matrix Split 66,Confusion Matrix Split 67,Confusion Matrix Split 68,Confusion Matrix Split 69,Confusion Matrix Split 70
0,3,50,"[3, 2, 1, 4]","[5, 0, 2, 3]","[4, 1, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[2, 3, 1, 3]","[4, 1, 3, 1]","[4, 0, 4, 1]","[3, 1, 2, 3]"
1,3,183,"[3, 2, 1, 4]","[5, 0, 0, 5]","[3, 2, 1, 4]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 2, 3]","[1, 4, 0, 4]","[5, 0, 2, 2]","[4, 0, 3, 2]","[3, 1, 2, 3]"
2,3,316,"[4, 1, 1, 4]","[5, 0, 0, 5]","[2, 3, 1, 4]","[4, 1, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[0, 5, 0, 4]","[5, 0, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
3,3,450,"[4, 1, 1, 4]","[4, 1, 0, 5]","[2, 3, 1, 4]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 2, 3]","[0, 5, 0, 4]","[4, 1, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
4,4,50,"[3, 2, 1, 4]","[5, 0, 0, 5]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[3, 2, 3, 2]","[3, 2, 1, 3]","[4, 1, 3, 1]","[4, 0, 2, 3]","[3, 1, 2, 3]"
5,4,183,"[4, 1, 1, 4]","[5, 0, 0, 5]","[3, 2, 1, 4]","[5, 0, 2, 3]","[4, 1, 1, 4]","[3, 2, 2, 3]","[3, 2, 0, 4]","[5, 0, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
6,4,316,"[4, 1, 1, 4]","[5, 0, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[1, 4, 0, 4]","[5, 0, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
7,4,450,"[4, 1, 1, 4]","[4, 1, 0, 5]","[2, 3, 1, 4]","[5, 0, 2, 3]","[4, 1, 1, 4]","[3, 2, 2, 3]","[1, 4, 0, 4]","[4, 1, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
8,5,50,"[2, 3, 1, 4]","[5, 0, 1, 4]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[4, 1, 3, 2]","[3, 2, 1, 3]","[4, 1, 3, 1]","[4, 0, 3, 2]","[3, 1, 2, 3]"
9,5,183,"[3, 2, 1, 4]","[5, 0, 1, 4]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[2, 3, 0, 4]","[5, 0, 3, 1]","[4, 0, 2, 3]","[3, 1, 2, 3]"
10,5,316,"[4, 1, 1, 4]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[1, 4, 0, 4]","[5, 0, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
11,5,450,"[4, 1, 1, 4]","[4, 1, 0, 5]","[2, 3, 1, 4]","[4, 1, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[1, 4, 0, 4]","[4, 1, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
12,6,50,"[2, 3, 1, 4]","[5, 0, 1, 4]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[4, 1, 3, 2]","[3, 2, 1, 3]","[4, 1, 3, 1]","[4, 0, 3, 2]","[3, 1, 2, 3]"
13,6,183,"[3, 2, 1, 4]","[5, 0, 1, 4]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[2, 3, 1, 3]","[5, 0, 3, 1]","[4, 0, 2, 3]","[3, 1, 2, 3]"
14,6,316,"[4, 1, 1, 4]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[1, 4, 0, 4]","[5, 0, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
15,6,450,"[4, 1, 1, 4]","[5, 0, 0, 5]","[2, 3, 1, 4]","[4, 1, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[1, 4, 0, 4]","[4, 1, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
16,7,50,"[2, 3, 1, 4]","[5, 0, 1, 4]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[4, 1, 3, 2]","[3, 2, 1, 3]","[4, 1, 3, 1]","[4, 0, 3, 2]","[3, 1, 2, 3]"
17,7,183,"[3, 2, 1, 4]","[5, 0, 1, 4]","[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[2, 3, 1, 3]","[5, 0, 3, 1]","[4, 0, 2, 3]","[3, 1, 2, 3]"
18,7,316,"[4, 1, 1, 4]","[5, 0, 1, 4]","[2, 3, 1, 4]","[5, 0, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[1, 4, 0, 4]","[5, 0, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
19,7,450,"[4, 1, 1, 4]","[5, 0, 0, 5]","[2, 3, 1, 4]","[4, 1, 2, 3]","[3, 2, 1, 4]","[3, 2, 2, 3]","[1, 4, 0, 4]","[4, 1, 2, 2]","[4, 0, 2, 3]","[3, 1, 2, 3]"
