,Max_depth,N_estimators,Confusion Matrix Split 91,Confusion Matrix Split 92,Confusion Matrix Split 93,Confusion Matrix Split 94,Confusion Matrix Split 95,Confusion Matrix Split 96,Confusion Matrix Split 97,Confusion Matrix Split 98,Confusion Matrix Split 99,Confusion Matrix Split 100
0,3,50,"[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 1, 4]","[5, 0, 2, 3]","[4, 1, 0, 5]","[3, 2, 1, 4]","[4, 1, 2, 2]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 3, 2]"
1,3,183,"[3, 2, 1, 4]","[3, 2, 1, 4]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 0, 5]","[2, 3, 1, 4]","[4, 1, 3, 1]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
2,3,316,"[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 3]","[3, 2, 2, 3]","[3, 2, 0, 5]","[1, 4, 0, 5]","[4, 1, 3, 1]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
3,3,450,"[2, 3, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[2, 3, 0, 5]","[4, 1, 3, 1]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 2, 3]"
4,4,50,"[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[4, 1, 0, 5]","[3, 2, 1, 4]","[4, 1, 3, 1]","[4, 1, 3, 1]","[2, 2, 1, 4]","[3, 1, 4, 1]"
5,4,183,"[3, 2, 1, 4]","[3, 2, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[4, 1, 0, 5]","[2, 3, 1, 4]","[4, 1, 3, 1]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 3, 2]"
6,4,316,"[2, 3, 1, 4]","[4, 1, 1, 4]","[4, 1, 2, 3]","[3, 2, 2, 3]","[4, 1, 0, 5]","[3, 2, 1, 4]","[4, 1, 3, 1]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 3, 2]"
7,4,450,"[2, 3, 1, 4]","[4, 1, 1, 4]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 0, 5]","[3, 2, 0, 5]","[4, 1, 3, 1]","[5, 0, 3, 1]","[2, 2, 2, 3]","[3, 1, 3, 2]"
8,5,50,"[3, 2, 2, 3]","[3, 2, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[4, 1, 0, 5]","[2, 3, 1, 4]","[4, 1, 4, 0]","[4, 1, 3, 1]","[1, 3, 2, 3]","[3, 1, 4, 1]"
9,5,183,"[3, 2, 1, 4]","[3, 2, 1, 4]","[5, 0, 2, 3]","[4, 1, 2, 3]","[4, 1, 0, 5]","[2, 3, 1, 4]","[4, 1, 3, 1]","[4, 1, 3, 1]","[2, 2, 2, 3]","[3, 1, 3, 2]"
