,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[39  9 12 36],[36 12 12 36],[38 10 12 36],[35 13 14 34],[36 12 15 33],[38 10 13 35],[38 10 13 35],[35 13 13 35],[36 12 13 35],[39  9 12 36],0.7510416666666667,0.7618749357590708,0.7312500000000001,0.74611965526376,0.015039172102574803
1,200,7,[35 13 12 36],[37 11 13 35],[38 10 13 35],[35 13 11 37],[36 12 12 36],[37 11 13 35],[39  9 12 36],[37 11 14 34],[36 12 13 35],[37 11  9 39],0.7552083333333333,0.7604447192382967,0.7458333333333333,0.7527556772920229,0.011304736525069227
2,200,10,[36 12 12 36],[36 12 14 34],[38 10 12 36],[35 13 13 35],[35 13 12 36],[37 11 13 35],[38 10 11 37],[36 12 12 36],[35 13 12 36],[37 11  8 40],0.7541666666666667,0.7552710885464269,0.7520833333333333,0.7534773478834242,0.014958791130929187
3,300,5,[37 11 12 36],[37 11 12 36],[38 10 14 34],[34 14 14 34],[37 11 13 35],[38 10 14 34],[37 11 11 37],[36 12 13 35],[35 13 12 36],[38 10 11 37],0.7510416666666665,0.7584014442123667,0.7375,0.7475955375901248,0.012596081352234056
4,300,7,[35 13 13 35],[38 10 11 37],[39  9 14 34],[35 13 13 35],[36 12 13 35],[35 13 13 35],[37 11 14 34],[37 11 12 36],[35 13 12 36],[39  9 11 37],0.75,0.7570667274037669,0.7374999999999999,0.7469121837268293,0.014231876063832772
5,300,10,[36 12 11 37],[37 11 12 36],[38 10 12 36],[36 12 14 34],[35 13 12 36],[35 13 14 34],[36 12 12 36],[37 11 13 35],[35 13 12 36],[37 11 11 37],0.7489583333333332,0.7517293527031534,0.74375,0.747598277746351,0.010958148498652433
6,400,5,[38 10 13 35],[37 11 12 36],[39  9 13 35],[35 13 15 33],[38 10 15 33],[38 10 14 34],[37 11 12 36],[37 11 12 36],[36 12 12 36],[38 10 10 38],0.7552083333333335,0.7670331767864738,0.7333333333333333,0.7495441434085186,0.013625983937742057
7,400,7,[36 12 12 36],[36 12 13 35],[38 10 14 34],[36 12 13 35],[37 11 13 35],[36 12 14 34],[38 10 13 35],[38 10 12 36],[35 13 12 36],[38 10 12 36],0.75,0.7589778021488078,0.7333333333333333,0.7457770858589049,0.008784104611578835
8,400,10,[36 12 13 35],[36 12 12 36],[38 10 13 35],[36 12 14 34],[37 11 13 35],[36 12 14 34],[37 11 12 36],[36 12 12 36],[35 13 12 36],[36 12 11 37],0.746875,0.7517342428800073,0.7374999999999999,0.7444069015025658,0.007638888888888884
9,500,5,[39  9 12 36],[37 11 13 35],[39  9 13 35],[36 12 15 33],[37 11 14 34],[38 10 13 35],[39  9 12 36],[36 12 13 35],[37 11 12 36],[38 10 12 36],0.7572916666666667,0.7716237770863118,0.73125,0.7508180189065963,0.012823739800430127
10,500,7,[36 12 11 37],[37 11 13 35],[38 10 14 34],[36 12 14 34],[37 11 13 35],[37 11 13 35],[38 10 12 36],[37 11 12 36],[34 14 11 37],[37 11 12 36],0.7520833333333333,0.7589582229326008,0.7395833333333333,0.7488685509198859,0.007479395565464589
11,500,10,[37 11 12 36],[36 12 13 35],[38 10 13 35],[36 12 14 34],[37 11 13 35],[37 11 14 34],[37 11 12 36],[36 12 13 35],[34 14 10 38],[36 12 11 37],0.7489583333333333,0.7540481200663571,0.7395833333333333,0.7464316356273584,0.0072502128534100915
