,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[36 12 13 35],[38 10 13 35],[38 10 15 33],[37 11 14 34],[33 15 15 33],[36 12 15 33],[35 13 15 33],[37 11 13 35],[31 17 15 33],[39  9 13 35],0.728125,0.7400004793215376,0.70625,0.7224312681245448,0.02070562710538275
1,200,7,[38 10 13 35],[37 11 12 36],[38 10 14 34],[36 12 14 34],[34 14 15 33],[34 14 15 33],[36 12 16 32],[36 12 13 35],[29 19 15 33],[37 11 14 34],0.7229166666666665,0.7321972769752603,0.70625,0.7186268358072525,0.022652092264305673
2,200,10,[38 10 14 34],[37 11 11 37],[38 10 14 34],[36 12 13 35],[32 16 15 33],[35 13 14 34],[36 12 14 34],[36 12 13 35],[29 19 15 33],[38 10 13 35],0.728125,0.735404682116556,0.7166666666666667,0.7255072685605257,0.02454249589871151
3,300,5,[36 12 15 33],[37 11 14 34],[37 11 15 33],[37 11 14 34],[35 13 15 33],[36 12 14 34],[36 12 15 33],[38 10 13 35],[31 17 14 34],[36 12 14 34],0.7250000000000001,0.7367874396135266,0.7020833333333333,0.7187604763579818,0.013958160584890114
4,300,7,[36 12 13 35],[37 11 12 36],[37 11 14 34],[36 12 12 36],[34 14 15 33],[34 14 13 35],[34 14 15 33],[35 13 13 35],[29 19 13 35],[34 14 13 35],0.721875,0.7226335415963075,0.7229166666666668,0.7224133467557469,0.01785411129469784
5,300,10,[36 12 13 35],[35 13 12 36],[37 11 13 35],[36 12 13 35],[32 16 15 33],[34 14 14 34],[35 13 14 34],[36 12 13 35],[29 19 14 34],[36 12 14 34],0.7197916666666667,0.721545284111236,0.7187499999999999,0.7198681968293804,0.019506349868316862
6,400,5,[35 13 14 34],[37 11 14 34],[37 11 16 32],[37 11 14 34],[34 14 15 33],[36 12 13 35],[37 11 14 34],[38 10 13 35],[34 14 14 34],[38 10 15 33],0.7302083333333333,0.7434618450711967,0.7041666666666667,0.7230509742097179,0.011805555555555557
7,400,7,[35 13 13 35],[36 12 12 36],[37 11 14 34],[36 12 12 36],[34 14 15 33],[35 13 14 34],[36 12 14 34],[36 12 13 35],[30 18 14 34],[37 11 14 34],0.7260416666666666,0.7303467132363988,0.7187499999999999,0.7242304934436297,0.016448221225454192
8,400,10,[35 13 14 34],[36 12 12 36],[37 11 13 35],[36 12 12 36],[34 14 15 33],[35 13 14 34],[34 14 14 34],[36 12 13 35],[30 18 16 32],[37 11 13 35],0.7229166666666665,0.7263689485044711,0.7166666666666667,0.7213914154687631,0.021109283546625914
9,500,5,[36 12 14 34],[36 12 14 34],[37 11 16 32],[37 11 14 34],[35 13 14 34],[36 12 15 33],[37 11 15 33],[37 11 14 34],[34 14 14 34],[39  9 15 33],0.7281249999999999,0.7434343234888057,0.6979166666666666,0.7196995669386392,0.00788737270250038
10,500,7,[35 13 13 35],[36 12 12 36],[37 11 13 35],[36 12 13 35],[35 13 15 33],[35 13 15 33],[34 14 15 33],[37 11 13 35],[31 17 14 34],[36 12 13 35],0.725,0.7293844434165896,0.7166666666666667,0.7228073427443528,0.016197088596792496
11,500,10,[35 13 13 35],[36 12 13 35],[36 12 13 35],[36 12 13 35],[33 15 15 33],[35 13 15 33],[36 12 15 33],[37 11 13 35],[31 17 14 34],[37 11 13 35],0.7239583333333333,0.7289839654640765,0.7145833333333333,0.7215228450381794,0.016211968791567707
