,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[37 11 13 35],[36 12 12 36],[37 11 14 34],[36 12 14 34],[33 15 14 34],[37 11 12 36],[36 12 14 34],[36 12 14 34],[34 14 13 35],[38 10 13 35],0.7364583333333334,0.7435714915013183,0.7229166666666667,0.7329339733976453,0.012441995046645083
1,200,7,[37 11 13 35],[35 13 12 36],[35 13 14 34],[33 15 13 35],[35 13 13 35],[36 12 11 37],[36 12 13 35],[35 13 14 34],[34 14 12 36],[37 11 14 34],0.7333333333333333,0.7346877067509088,0.73125,0.7327585597072992,0.009918650595198399
2,200,10,[37 11 14 34],[36 12 12 36],[36 12 14 34],[34 14 13 35],[35 13 13 35],[36 12 11 37],[36 12 13 35],[36 12 13 35],[34 14 12 36],[38 10 14 34],0.7385416666666667,0.7425329386961803,0.73125,0.7365798323018911,0.007887372702500381
3,300,5,[37 11 12 36],[35 13 12 36],[35 13 12 36],[36 12 13 35],[34 14 13 35],[35 13 13 35],[36 12 12 36],[35 13 14 34],[36 12 14 34],[37 11 14 34],0.7364583333333334,0.7391568679584075,0.73125,0.7350465600484525,0.008246070893776332
4,300,7,[35 13 12 36],[34 14 11 37],[34 14 13 35],[34 14 12 36],[34 14 12 36],[34 14 12 36],[35 13 12 36],[34 14 14 34],[35 13 13 35],[37 11 13 35],0.73125,0.7267533230683577,0.7416666666666667,0.7339922798201947,0.007479395565464591
5,300,10,[35 13 12 36],[34 14 11 37],[34 14 13 35],[34 14 14 34],[33 15 12 36],[35 13 12 36],[35 13 12 36],[35 13 13 35],[35 13 13 35],[37 11 14 34],0.7302083333333333,0.7271962118180607,0.7375,0.7321050545360488,0.00725021285341011
6,400,5,[36 12 13 35],[34 14 11 37],[36 12 12 36],[36 12 13 35],[34 14 13 35],[34 14 12 36],[37 11 12 36],[36 12 14 34],[37 11 13 35],[38 10 15 33],0.7395833333333334,0.7432536919765432,0.7333333333333333,0.7378756888587976,0.007607257743127307
7,400,7,[35 13 13 35],[34 14 11 37],[34 14 13 35],[36 12 13 35],[36 12 12 36],[33 15 12 36],[35 13 13 35],[34 14 14 34],[35 13 13 35],[38 10 14 34],0.7312500000000001,0.7308899720429758,0.7333333333333333,0.7318202832662657,0.008673608331108886
8,400,10,[36 12 13 35],[34 14 11 37],[35 13 13 35],[36 12 13 35],[36 12 12 36],[34 14 12 36],[35 13 13 35],[33 15 13 35],[35 13 13 35],[38 10 14 34],0.7343750000000001,0.7345079170933364,0.7354166666666667,0.7346768984620407,0.00776412492187427
9,500,5,[38 10 13 35],[34 14 12 36],[34 14 14 34],[36 12 13 35],[35 13 13 35],[35 13 12 36],[37 11 11 37],[36 12 14 34],[37 11 13 35],[36 12 14 34],0.7385416666666667,0.742461627450857,0.73125,0.7366314891129765,0.01138973574087273
10,500,7,[36 12 12 36],[34 14 11 37],[34 14 14 34],[36 12 13 35],[36 12 12 36],[33 15 12 36],[35 13 11 37],[34 14 14 34],[33 15 13 35],[37 11 14 34],0.73125,0.728827562230566,0.7375,0.7328826797478265,0.011536977587386208
11,500,10,[35 13 13 35],[34 14 11 37],[34 14 14 34],[36 12 13 35],[36 12 12 36],[33 15 12 36],[36 12 13 35],[34 14 13 35],[33 15 13 35],[37 11 14 34],0.7291666666666666,0.7278075520988538,0.7333333333333334,0.7303049679794512,0.009316949906249122
