,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,200,5,[34 14 16 32],[36 12 15 33],[34 14 15 33],[31 17 17 31],[34 14 14 34],[35 13 15 33],[36 12 16 32],[38 10 16 32],[35 13 16 32],[34 14 17 31]
1,200,7,[32 16 15 33],[35 13 15 33],[31 17 14 34],[33 15 17 31],[35 13 14 34],[32 16 11 37],[36 12 15 33],[36 12 19 29],[33 15 16 32],[34 14 15 33]
2,200,10,[32 16 15 33],[35 13 15 33],[31 17 13 35],[33 15 16 32],[34 14 15 33],[34 14 13 35],[36 12 16 32],[33 15 19 29],[33 15 14 34],[34 14 15 33]
3,300,5,[34 14 15 33],[37 11 15 33],[33 15 15 33],[34 14 17 31],[34 14 15 33],[34 14 16 32],[35 13 16 32],[38 10 16 32],[34 14 14 34],[35 13 16 32]
4,300,7,[33 15 14 34],[35 13 15 33],[30 18 12 36],[34 14 16 32],[34 14 15 33],[35 13 13 35],[36 12 17 31],[36 12 16 32],[33 15 16 32],[34 14 15 33]
5,300,10,[34 14 14 34],[34 14 15 33],[30 18 13 35],[34 14 16 32],[32 16 14 34],[33 15 13 35],[35 13 16 32],[34 14 17 31],[33 15 14 34],[35 13 15 33]
6,400,5,[33 15 14 34],[35 13 15 33],[34 14 15 33],[36 12 17 31],[34 14 14 34],[34 14 14 34],[34 14 17 31],[38 10 17 31],[34 14 14 34],[35 13 16 32]
7,400,7,[30 18 13 35],[35 13 15 33],[31 17 14 34],[35 13 17 31],[35 13 15 33],[34 14 11 37],[35 13 17 31],[36 12 18 30],[34 14 13 35],[34 14 15 33]
8,400,10,[33 15 13 35],[35 13 15 33],[30 18 14 34],[33 15 16 32],[33 15 15 33],[34 14 12 36],[36 12 16 32],[33 15 17 31],[33 15 12 36],[35 13 14 34]
9,500,5,[33 15 15 33],[37 11 15 33],[33 15 15 33],[35 13 17 31],[34 14 15 33],[34 14 15 33],[35 13 15 33],[38 10 17 31],[33 15 14 34],[34 14 16 32]
10,500,7,[32 16 13 35],[36 12 16 32],[31 17 13 35],[34 14 17 31],[34 14 15 33],[33 15 11 37],[36 12 15 33],[36 12 16 32],[34 14 13 35],[35 13 13 35]
11,500,10,[34 14 14 34],[36 12 16 32],[30 18 13 35],[33 15 17 31],[32 16 15 33],[33 15 13 35],[36 12 15 33],[34 14 16 32],[33 15 12 36],[36 12 14 34]
