,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[34 14 16 32],[36 12 15 33],[34 14 15 33],[31 17 17 31],[34 14 14 34],[35 13 15 33],[36 12 16 32],[38 10 16 32],[35 13 16 32],[34 14 17 31],0.6979166666666667,0.7091848627012828,0.6729166666666668,0.6903161646232598,0.014894174020505002
1,200,7,[32 16 15 33],[35 13 15 33],[31 17 14 34],[33 15 17 31],[35 13 14 34],[32 16 11 37],[36 12 15 33],[36 12 19 29],[33 15 16 32],[34 14 15 33],0.6937499999999999,0.6976586995022493,0.6854166666666668,0.690722979191807,0.013249155575235351
2,200,10,[32 16 15 33],[35 13 15 33],[31 17 13 35],[33 15 16 32],[34 14 15 33],[34 14 13 35],[36 12 16 32],[33 15 19 29],[33 15 14 34],[34 14 15 33],0.6916666666666667,0.6943570899828334,0.6854166666666667,0.6894465294338203,0.013249155575235348
3,300,5,[34 14 15 33],[37 11 15 33],[33 15 15 33],[34 14 17 31],[34 14 15 33],[34 14 16 32],[35 13 16 32],[38 10 16 32],[34 14 14 34],[35 13 16 32],0.7010416666666667,0.7118756699411186,0.6770833333333334,0.6937671249520756,0.010780676872402785
4,300,7,[33 15 14 34],[35 13 15 33],[30 18 12 36],[34 14 16 32],[34 14 15 33],[35 13 13 35],[36 12 17 31],[36 12 16 32],[33 15 16 32],[34 14 15 33],0.6989583333333333,0.7036063705424203,0.6895833333333334,0.6959187420815718,0.009027777777777772
5,300,10,[34 14 14 34],[34 14 15 33],[30 18 13 35],[34 14 16 32],[32 16 14 34],[33 15 13 35],[35 13 16 32],[34 14 17 31],[33 15 14 34],[35 13 15 33],0.6947916666666667,0.6957759380679647,0.69375,0.6943151108592139,0.007638888888888887
6,400,5,[33 15 14 34],[35 13 15 33],[34 14 15 33],[36 12 17 31],[34 14 14 34],[34 14 14 34],[34 14 17 31],[38 10 17 31],[34 14 14 34],[35 13 16 32],0.7020833333333333,0.7115424308476451,0.68125,0.6955682033994031,0.007081971546656649
7,400,7,[30 18 13 35],[35 13 15 33],[31 17 14 34],[35 13 17 31],[35 13 15 33],[34 14 11 37],[35 13 17 31],[36 12 18 30],[34 14 13 35],[34 14 15 33],0.6989583333333333,0.7027106827168121,0.6916666666666667,0.6962547140687598,0.012596081352234067
8,400,10,[33 15 13 35],[35 13 15 33],[30 18 14 34],[33 15 16 32],[33 15 15 33],[34 14 12 36],[36 12 16 32],[33 15 17 31],[33 15 12 36],[35 13 14 34],0.6989583333333333,0.6990060901035081,0.7,0.6990580304892606,0.014383552206394435
9,500,5,[33 15 15 33],[37 11 15 33],[33 15 15 33],[35 13 17 31],[34 14 15 33],[34 14 15 33],[35 13 15 33],[38 10 17 31],[33 15 14 34],[34 14 16 32],0.7,0.7096819363951278,0.6791666666666667,0.6936416896759067,0.009212846639876107
10,500,7,[32 16 13 35],[36 12 16 32],[31 17 13 35],[34 14 17 31],[34 14 15 33],[33 15 11 37],[36 12 15 33],[36 12 16 32],[34 14 13 35],[35 13 13 35],0.7072916666666667,0.7093237611713833,0.7041666666666668,0.7060272134226313,0.010958148498652422
11,500,10,[34 14 14 34],[36 12 16 32],[30 18 13 35],[33 15 17 31],[32 16 15 33],[33 15 13 35],[36 12 15 33],[34 14 16 32],[33 15 12 36],[36 12 14 34],0.7,0.7017364145300151,0.6979166666666667,0.6992532833458414,0.013465777381712023
