,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[35 13 12 36],[37 11 12 36],[34 14 14 34],[35 13 13 35],[33 15 15 33],[37 11 14 34],[33 15 14 34],[35 13 14 34],[35 13 13 35],[35 13 11 37],0.7260416666666667,0.7267655352921312,0.7249999999999999,0.7257434682780398,0.014583333333333332
1,200,7,[35 13 11 37],[36 12 10 38],[35 13 13 35],[33 15 13 35],[31 17 14 34],[38 10 15 33],[35 13 14 34],[36 12 12 36],[36 12 12 36],[36 12 11 37],0.7354166666666667,0.7341781489933925,0.7395833333333333,0.7364884109616108,0.017623024361735438
2,200,10,[35 13 10 38],[36 12 12 36],[36 12 13 35],[33 15 14 34],[31 17 14 34],[38 10 13 35],[35 13 14 34],[36 12 11 37],[36 12 12 36],[35 13 12 36],0.7354166666666667,0.7341301059430865,0.7395833333333333,0.7366050772546144,0.018162078931419464
3,300,5,[35 13 12 36],[37 11 12 36],[35 13 12 36],[36 12 15 33],[34 14 14 34],[35 13 14 34],[34 14 13 35],[37 11 13 35],[35 13 13 35],[37 11 11 37],0.7354166666666667,0.7375571403399473,0.7312500000000001,0.7342561381288626,0.012880025688188476
4,300,7,[35 13 11 37],[36 12 12 36],[35 13 11 37],[35 13 14 34],[31 17 14 34],[33 15 14 34],[35 13 13 35],[36 12 12 36],[35 13 13 35],[37 11 13 35],0.7302083333333333,0.7283151371556948,0.7354166666666668,0.7316907354417765,0.01627135349147219
5,300,10,[35 13 11 37],[36 12 12 36],[34 14 11 37],[35 13 14 34],[31 17 15 33],[33 15 13 35],[35 13 13 35],[36 12 12 36],[35 13 13 35],[36 12 13 35],0.728125,0.7251908635794744,0.7354166666666668,0.730129680261259,0.016271353491472202
6,400,5,[35 13 13 35],[36 12 13 35],[35 13 12 36],[36 12 15 33],[33 15 14 34],[35 13 14 34],[35 13 13 35],[36 12 14 34],[35 13 14 34],[37 11 13 35],0.7270833333333334,0.7311727456940224,0.71875,0.7247815880774896,0.009212846639876118
7,400,7,[35 13 11 37],[34 14 12 36],[34 14 12 36],[34 14 14 34],[33 15 13 35],[33 15 13 35],[35 13 13 35],[35 13 14 34],[34 14 12 36],[34 14 12 36],0.7239583333333334,0.7180904255319149,0.7375,0.7275738453276048,0.008362218457494635
8,400,10,[34 14 11 37],[35 13 12 36],[34 14 11 37],[35 13 14 34],[33 15 14 34],[33 15 13 35],[34 14 13 35],[35 13 14 34],[34 14 12 36],[34 14 12 36],0.7239583333333334,0.7180646045652304,0.7375,0.7275150365313919,0.008920300401850793
9,500,5,[34 14 12 36],[37 11 13 35],[36 12 12 36],[36 12 15 33],[33 15 13 35],[35 13 14 34],[35 13 14 34],[36 12 15 33],[35 13 12 36],[38 10 11 37],0.7333333333333333,0.736627266262657,0.7270833333333332,0.7315809638636829,0.013958160584890123
10,500,7,[35 13 11 37],[34 14 12 36],[34 14 11 37],[35 13 13 35],[34 14 12 36],[34 14 14 34],[34 14 13 35],[35 13 14 34],[34 14 11 37],[35 13 11 37],0.73125,0.7246170361761727,0.7458333333333333,0.7349480289904482,0.008673608331108886
11,500,10,[34 14 12 36],[34 14 12 36],[34 14 11 37],[35 13 13 35],[35 13 12 36],[34 14 14 34],[33 15 13 35],[35 13 13 35],[34 14 12 36],[36 12 11 37],0.7302083333333333,0.7241952781112444,0.74375,0.7337663400255446,0.009547032697824658
