,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,linear,0.1,,,[25 23 21 27],[29 19 24 24],[24 24 20 28],[25 23 20 28],[25 23 28 20],[30 18 24 24],[32 16 22 26],[28 20 26 22],[25 23 20 28],[31 17 24 24]
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
2,poly,0.1,1.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
3,poly,0.1,1.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
5,poly,0.1,10.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
6,poly,0.1,10.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
7,linear,1.0,,,[25 23 21 27],[29 19 24 24],[24 24 20 28],[25 23 20 28],[25 23 28 20],[30 18 24 24],[32 16 22 26],[28 20 26 22],[25 23 20 28],[31 17 24 24]
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
9,poly,1.0,1.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
10,poly,1.0,1.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
12,poly,1.0,10.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
13,poly,1.0,10.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
14,linear,10.0,,,[25 23 21 27],[29 19 24 24],[24 24 20 28],[25 23 20 28],[25 23 28 20],[30 18 24 24],[32 16 22 26],[28 20 26 22],[25 23 20 28],[31 17 24 24]
15,rbf,10.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
16,poly,10.0,1.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
17,poly,10.0,1.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
18,rbf,10.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
19,poly,10.0,10.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
20,poly,10.0,10.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
21,linear,100.0,,,[25 23 21 27],[29 19 24 24],[24 24 20 28],[25 23 20 28],[25 23 28 20],[30 18 24 24],[32 16 22 26],[28 20 26 22],[25 23 20 28],[31 17 24 24]
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
23,poly,100.0,1.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
24,poly,100.0,1.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
26,poly,100.0,10.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
27,poly,100.0,10.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
28,linear,1000.0,,,[25 23 21 27],[29 19 24 24],[24 24 20 28],[25 23 20 28],[25 23 28 20],[30 18 24 24],[32 16 22 26],[28 20 26 22],[25 23 20 28],[31 17 24 24]
29,rbf,1000.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
30,poly,1000.0,1.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
31,poly,1000.0,1.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
32,rbf,1000.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
33,poly,1000.0,10.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22]
34,poly,1000.0,10.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23]
