,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,linear,0.1,,,[25 23 21 27],[29 19 24 24],[24 24 20 28],[25 23 20 28],[25 23 28 20],[30 18 24 24],[32 16 22 26],[28 20 26 22],[25 23 20 28],[31 17 24 24],0.546875,0.5499408136045552,0.5229166666666666,0.5348692349205992,0.02223307026886405
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
2,poly,0.1,1.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22],0.5322916666666668,0.5356747007474169,0.4749999999999999,0.5022861237046401,0.03884546186374165
3,poly,0.1,1.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23],0.5229166666666666,0.5272717643384844,0.45833333333333337,0.48831747770925593,0.03724191021608868
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
5,poly,0.1,10.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22],0.5322916666666668,0.5356747007474169,0.4749999999999999,0.5022861237046401,0.03884546186374165
6,poly,0.1,10.0,3.0,[25 23 22 26],[30 18 29 19],[32 16 18 30],[27 21 30 18],[36 12 29 19],[23 25 27 21],[29 19 23 25],[29 19 29 19],[24 24 28 20],[27 21 25 23],0.5229166666666666,0.5272717643384844,0.45833333333333337,0.48831747770925593,0.03724191021608868
7,linear,1.0,,,[25 23 21 27],[29 19 24 24],[24 24 20 28],[25 23 20 28],[25 23 28 20],[30 18 24 24],[32 16 22 26],[28 20 26 22],[25 23 20 28],[31 17 24 24],0.546875,0.5499408136045552,0.5229166666666666,0.5348692349205992,0.02223307026886405
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
9,poly,1.0,1.0,2.0,[26 22 21 27],[25 23 30 18],[32 16 16 32],[26 22 26 22],[33 15 28 20],[23 25 27 21],[30 18 24 24],[30 18 27 21],[28 20 27 21],[30 18 26 22],0.5322916666666668,0.5356747007474169,0.4749999999999999,0.5022861237046401,0.03884546186374165
