,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,linear,0.1,,,[31 17 20 28],[36 12 19 29],[38 10 21 27],[36 12 16 32],[35 13 23 25],[34 14 18 30],[31 17 18 30],[34 14 19 29],[34 14 24 24],[29 19 14 34],0.6520833333333333,0.6712059529377972,0.6,0.6318699930681078,0.02041241452319316
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
2,poly,0.1,1.0,2.0,[30 18 17 31],[28 20 20 28],[28 20 18 30],[34 14 20 28],[30 18 17 31],[31 17 22 26],[33 15 24 24],[32 16 13 35],[33 15 17 31],[29 19 22 26],0.6229166666666667,0.6273307231684253,0.6041666666666667,0.6145088638440313,0.025382870670134807
3,poly,0.1,1.0,3.0,[31 17 21 27],[28 20 19 29],[27 21 20 28],[32 16 20 28],[29 19 16 32],[28 20 24 24],[30 18 19 29],[30 18 14 34],[28 20 21 27],[26 22 21 27],0.5979166666666667,0.5982526755680698,0.59375,0.5954762082120123,0.02468942893698774
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
5,poly,0.1,10.0,2.0,[30 18 17 31],[28 20 20 28],[28 20 18 30],[34 14 20 28],[30 18 17 31],[31 17 22 26],[33 15 24 24],[32 16 13 35],[33 15 17 31],[29 19 22 26],0.6229166666666667,0.6273307231684253,0.6041666666666667,0.6145088638440313,0.025382870670134807
6,poly,0.1,10.0,3.0,[31 17 21 27],[28 20 19 29],[27 21 20 28],[32 16 20 28],[29 19 16 32],[28 20 24 24],[30 18 19 29],[30 18 14 34],[28 20 21 27],[26 22 21 27],0.5979166666666667,0.5982526755680698,0.59375,0.5954762082120123,0.02468942893698774
7,linear,1.0,,,[32 16 19 29],[35 13 23 25],[37 11 21 27],[36 12 19 29],[36 12 24 24],[31 17 19 29],[30 18 17 31],[32 16 21 27],[34 14 23 25],[29 19 16 32],0.6354166666666666,0.6546320678908591,0.5791666666666666,0.6126852622123992,0.013176156917368244
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
9,poly,1.0,1.0,2.0,[30 18 17 31],[28 20 20 28],[28 20 18 30],[34 14 20 28],[30 18 17 31],[31 17 22 26],[33 15 24 24],[32 16 13 35],[33 15 17 31],[29 19 22 26],0.6229166666666667,0.6273307231684253,0.6041666666666667,0.6145088638440313,0.025382870670134807
10,poly,1.0,1.0,3.0,[31 17 21 27],[28 20 19 29],[27 21 20 28],[32 16 20 28],[29 19 16 32],[28 20 24 24],[30 18 19 29],[30 18 14 34],[28 20 21 27],[26 22 21 27],0.5979166666666667,0.5982526755680698,0.59375,0.5954762082120123,0.02468942893698774
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
12,poly,1.0,10.0,2.0,[30 18 17 31],[28 20 20 28],[28 20 18 30],[34 14 20 28],[30 18 17 31],[31 17 22 26],[33 15 24 24],[32 16 13 35],[33 15 17 31],[29 19 22 26],0.6229166666666667,0.6273307231684253,0.6041666666666667,0.6145088638440313,0.025382870670134807
13,poly,1.0,10.0,3.0,[31 17 21 27],[28 20 19 29],[27 21 20 28],[32 16 20 28],[29 19 16 32],[28 20 24 24],[30 18 19 29],[30 18 14 34],[28 20 21 27],[26 22 21 27],0.5979166666666667,0.5982526755680698,0.59375,0.5954762082120123,0.02468942893698774
14,linear,10.0,,,[29 19 20 28],[32 16 25 23],[37 11 22 26],[38 10 15 33],[36 12 23 25],[30 18 19 29],[31 17 20 28],[30 18 22 26],[35 13 24 24],[33 15 18 30],0.6281249999999999,0.6476776414480521,0.5666666666666667,0.6031245459072913,0.030436954167793236
