,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,linear,0.1,,,[28 20 25 23],[29 19 23 25],[29 19 21 27],[26 22 26 22],[27 21 21 27],[23 25 23 25],[27 21 25 23],[26 22 19 29],[27 21 17 31],[29 19 19 29]
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
2,poly,0.1,1.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22]
3,poly,0.1,1.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25]
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
5,poly,0.1,10.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22]
6,poly,0.1,10.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25]
7,linear,1.0,,,[28 20 25 23],[29 19 23 25],[29 19 21 27],[26 22 26 22],[27 21 21 27],[23 25 23 25],[27 21 25 23],[26 22 19 29],[28 20 17 31],[29 19 19 29]
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
9,poly,1.0,1.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22]
10,poly,1.0,1.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25]
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
12,poly,1.0,10.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22]
13,poly,1.0,10.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25]
14,linear,10.0,,,[28 20 25 23],[29 19 23 25],[29 19 21 27],[26 22 26 22],[27 21 21 27],[23 25 23 25],[27 21 25 23],[26 22 19 29],[27 21 17 31],[29 19 19 29]
15,rbf,10.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
16,poly,10.0,1.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22]
17,poly,10.0,1.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25]
18,rbf,10.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
19,poly,10.0,10.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22]
20,poly,10.0,10.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25]
21,linear,100.0,,,[28 20 25 23],[29 19 23 25],[29 19 21 27],[26 22 26 22],[27 21 21 27],[23 25 23 25],[27 21 25 23],[26 22 19 29],[28 20 17 31],[29 19 19 29]
