,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,linear,0.1,,,[28 20 25 23],[29 19 23 25],[29 19 21 27],[26 22 26 22],[27 21 21 27],[23 25 23 25],[27 21 25 23],[26 22 19 29],[27 21 17 31],[29 19 19 29],0.5541666666666668,0.5544197297379359,0.54375,0.5484431055193577,0.02480634874929409
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
2,poly,0.1,1.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22],0.5416666666666666,0.5471677474853879,0.4791666666666667,0.510731067490763,0.017840600803701565
3,poly,0.1,1.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25],0.5875000000000001,0.6038544863544864,0.5083333333333334,0.5514523380390683,0.01894191902359146
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
5,poly,0.1,10.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22],0.5416666666666666,0.5471677474853879,0.4791666666666667,0.510731067490763,0.017840600803701565
6,poly,0.1,10.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25],0.5875000000000001,0.6038544863544864,0.5083333333333334,0.5514523380390683,0.01894191902359146
7,linear,1.0,,,[28 20 25 23],[29 19 23 25],[29 19 21 27],[26 22 26 22],[27 21 21 27],[23 25 23 25],[27 21 25 23],[26 22 19 29],[28 20 17 31],[29 19 19 29],0.5552083333333334,0.5555886588480414,0.54375,0.5490693681456204,0.02580681135564173
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
9,poly,1.0,1.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22],0.5416666666666666,0.5471677474853879,0.4791666666666667,0.510731067490763,0.017840600803701565
10,poly,1.0,1.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25],0.5875000000000001,0.6038544863544864,0.5083333333333334,0.5514523380390683,0.01894191902359146
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
12,poly,1.0,10.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22],0.5416666666666666,0.5471677474853879,0.4791666666666667,0.510731067490763,0.017840600803701565
13,poly,1.0,10.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25],0.5875000000000001,0.6038544863544864,0.5083333333333334,0.5514523380390683,0.01894191902359146
14,linear,10.0,,,[28 20 25 23],[29 19 23 25],[29 19 21 27],[26 22 26 22],[27 21 21 27],[23 25 23 25],[27 21 25 23],[26 22 19 29],[27 21 17 31],[29 19 19 29],0.5541666666666668,0.5544197297379359,0.54375,0.5484431055193577,0.02480634874929409
15,rbf,10.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
16,poly,10.0,1.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22],0.5416666666666666,0.5471677474853879,0.4791666666666667,0.510731067490763,0.017840600803701565
17,poly,10.0,1.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25],0.5875000000000001,0.6038544863544864,0.5083333333333334,0.5514523380390683,0.01894191902359146
18,rbf,10.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
19,poly,10.0,10.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22],0.5416666666666666,0.5471677474853879,0.4791666666666667,0.510731067490763,0.017840600803701565
20,poly,10.0,10.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25],0.5875000000000001,0.6038544863544864,0.5083333333333334,0.5514523380390683,0.01894191902359146
21,linear,100.0,,,[28 20 25 23],[29 19 23 25],[29 19 21 27],[26 22 26 22],[27 21 21 27],[23 25 23 25],[27 21 25 23],[26 22 19 29],[28 20 17 31],[29 19 19 29],0.5552083333333334,0.5555886588480414,0.54375,0.5490693681456204,0.02580681135564173
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
23,poly,100.0,1.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22],0.5416666666666666,0.5471677474853879,0.4791666666666667,0.510731067490763,0.017840600803701565
24,poly,100.0,1.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25],0.5875000000000001,0.6038544863544864,0.5083333333333334,0.5514523380390683,0.01894191902359146
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
26,poly,100.0,10.0,2.0,[28 20 28 20],[29 19 26 22],[30 18 23 25],[29 19 26 22],[30 18 23 25],[28 20 27 21],[28 20 23 25],[31 17 23 25],[27 21 25 23],[30 18 26 22],0.5416666666666666,0.5471677474853879,0.4791666666666667,0.510731067490763,0.017840600803701565
27,poly,100.0,10.0,3.0,[31 17 29 19],[31 17 23 25],[33 15 24 24],[30 18 24 24],[35 13 24 24],[29 19 22 26],[33 15 24 24],[33 15 21 27],[32 16 22 26],[33 15 23 25],0.5875000000000001,0.6038544863544864,0.5083333333333334,0.5514523380390683,0.01894191902359146
28,linear,1000.0,,,[28 20 25 23],[29 19 23 25],[29 19 21 27],[26 22 26 22],[27 21 21 27],[23 25 23 25],[27 21 25 23],[26 22 19 29],[27 21 17 31],[29 19 19 29],0.5541666666666668,0.5544197297379359,0.54375,0.5484431055193577,0.02480634874929409
