,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,linear,0.1,,,[22 26 23 25],[28 20 20 28],[29 19 23 25],[30 18 19 29],[28 20 19 29],[32 16 17 31],[26 22 22 26],[29 19 24 24],[23 25 17 31],[28 20 18 30]
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
2,poly,0.1,1.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25]
3,poly,0.1,1.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26]
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
5,poly,0.1,10.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25]
6,poly,0.1,10.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26]
7,linear,1.0,,,[23 25 24 24],[28 20 18 30],[28 20 20 28],[31 17 19 29],[29 19 18 30],[31 17 18 30],[28 20 22 26],[27 21 25 23],[26 22 18 30],[26 22 20 28]
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
9,poly,1.0,1.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25]
10,poly,1.0,1.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26]
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
12,poly,1.0,10.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25]
13,poly,1.0,10.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26]
14,linear,10.0,,,[22 26 23 25],[29 19 18 30],[28 20 21 27],[31 17 19 29],[28 20 18 30],[31 17 19 29],[26 22 23 25],[29 19 26 22],[27 21 21 27],[26 22 20 28]
15,rbf,10.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
16,poly,10.0,1.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25]
17,poly,10.0,1.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26]
18,rbf,10.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
19,poly,10.0,10.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25]
20,poly,10.0,10.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26]
21,linear,100.0,,,[24 24 22 26],[29 19 19 29],[29 19 21 27],[32 16 19 29],[28 20 18 30],[31 17 19 29],[29 19 23 25],[29 19 25 23],[28 20 21 27],[25 23 20 28]
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
23,poly,100.0,1.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25]
24,poly,100.0,1.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26]
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
26,poly,100.0,10.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25]
