,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,linear,0.1,,,[22 26 23 25],[28 20 20 28],[29 19 23 25],[30 18 19 29],[28 20 19 29],[32 16 17 31],[26 22 22 26],[29 19 24 24],[23 25 17 31],[28 20 18 30],0.5760416666666667,0.576352133944307,0.5791666666666666,0.5770496076572367,0.02880898404540492
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
2,poly,0.1,1.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25],0.5666666666666667,0.5647960732208462,0.5791666666666665,0.5715029624299885,0.020174776453241592
3,poly,0.1,1.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26],0.5729166666666667,0.5771379475564055,0.55,0.5623731655832159,0.0252304196174791
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
5,poly,0.1,10.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25],0.5666666666666667,0.5647960732208462,0.5791666666666665,0.5715029624299885,0.020174776453241592
6,poly,0.1,10.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26],0.5729166666666667,0.5771379475564055,0.55,0.5623731655832159,0.0252304196174791
7,linear,1.0,,,[23 25 24 24],[28 20 18 30],[28 20 20 28],[31 17 19 29],[29 19 18 30],[31 17 18 30],[28 20 22 26],[27 21 25 23],[26 22 18 30],[26 22 20 28],0.578125,0.5778974545563681,0.5791666666666667,0.5782200577902625,0.02917493269111111
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
9,poly,1.0,1.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25],0.5666666666666667,0.5647960732208462,0.5791666666666665,0.5715029624299885,0.020174776453241592
10,poly,1.0,1.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26],0.5729166666666667,0.5771379475564055,0.55,0.5623731655832159,0.0252304196174791
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
12,poly,1.0,10.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25],0.5666666666666667,0.5647960732208462,0.5791666666666665,0.5715029624299885,0.020174776453241592
13,poly,1.0,10.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26],0.5729166666666667,0.5771379475564055,0.55,0.5623731655832159,0.0252304196174791
14,linear,10.0,,,[22 26 23 25],[29 19 18 30],[28 20 21 27],[31 17 19 29],[28 20 18 30],[31 17 19 29],[26 22 23 25],[29 19 26 22],[27 21 21 27],[26 22 20 28],0.571875,0.5728778886185012,0.5666666666666667,0.569294209323785,0.02887586511984971
15,rbf,10.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
16,poly,10.0,1.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25],0.5666666666666667,0.5647960732208462,0.5791666666666665,0.5715029624299885,0.020174776453241592
17,poly,10.0,1.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26],0.5729166666666667,0.5771379475564055,0.55,0.5623731655832159,0.0252304196174791
18,rbf,10.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
19,poly,10.0,10.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25],0.5666666666666667,0.5647960732208462,0.5791666666666665,0.5715029624299885,0.020174776453241592
20,poly,10.0,10.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26],0.5729166666666667,0.5771379475564055,0.55,0.5623731655832159,0.0252304196174791
21,linear,100.0,,,[24 24 22 26],[29 19 19 29],[29 19 21 27],[32 16 19 29],[28 20 18 30],[31 17 19 29],[29 19 23 25],[29 19 25 23],[28 20 21 27],[25 23 20 28],0.5802083333333333,0.5825290974209323,0.56875,0.5750836075473253,0.023457424658409068
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
23,poly,100.0,1.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25],0.5666666666666667,0.5647960732208462,0.5791666666666665,0.5715029624299885,0.020174776453241592
24,poly,100.0,1.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26],0.5729166666666667,0.5771379475564055,0.55,0.5623731655832159,0.0252304196174791
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
26,poly,100.0,10.0,2.0,[25 23 20 28],[25 23 22 26],[25 23 22 26],[25 23 21 27],[26 22 19 29],[29 19 16 32],[28 20 22 26],[28 20 20 28],[26 22 17 31],[29 19 23 25],0.5666666666666667,0.5647960732208462,0.5791666666666665,0.5715029624299885,0.020174776453241592
27,poly,100.0,10.0,3.0,[26 22 19 29],[26 22 22 26],[27 21 22 26],[28 20 22 26],[30 18 19 29],[33 15 18 30],[30 18 21 27],[33 15 26 22],[27 21 25 23],[26 22 22 26],0.5729166666666667,0.5771379475564055,0.55,0.5623731655832159,0.0252304196174791
28,linear,1000.0,,,[22 26 21 27],[29 19 18 30],[27 21 20 28],[33 15 19 29],[28 20 18 30],[31 17 21 27],[29 19 23 25],[30 18 25 23],[28 20 22 26],[25 23 20 28],0.5781249999999999,0.5809229131464579,0.56875,0.5739346204785442,0.024699193394137144
29,rbf,1000.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
