,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,linear,0.1,,,[26 22 24 24],[27 21 21 27],[26 22 20 28],[26 22 24 24],[33 15 24 24],[26 22 26 22],[32 16 20 28],[30 18 21 27],[27 21 23 25],[30 18 21 27]
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
2,poly,0.1,1.0,2.0,[26 22 22 26],[29 19 28 20],[28 20 18 30],[29 19 23 25],[32 16 32 16],[26 22 26 22],[29 19 25 23],[29 19 29 19],[26 22 25 23],[24 24 25 23]
3,poly,0.1,1.0,3.0,[24 24 24 24],[28 20 27 21],[30 18 20 28],[26 22 27 21],[33 15 33 15],[29 19 27 21],[30 18 25 23],[30 18 29 19],[26 22 26 22],[26 22 27 21]
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
5,poly,0.1,10.0,2.0,[26 22 22 26],[29 19 28 20],[28 20 18 30],[29 19 23 25],[32 16 32 16],[26 22 26 22],[29 19 25 23],[29 19 29 19],[26 22 25 23],[24 24 25 23]
6,poly,0.1,10.0,3.0,[24 24 24 24],[28 20 27 21],[30 18 20 28],[26 22 27 21],[33 15 33 15],[29 19 27 21],[30 18 25 23],[30 18 29 19],[26 22 26 22],[26 22 27 21]
7,linear,1.0,,,[26 22 24 24],[27 21 21 27],[26 22 20 28],[26 22 24 24],[33 15 24 24],[26 22 26 22],[32 16 20 28],[30 18 21 27],[27 21 23 25],[30 18 21 27]
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
9,poly,1.0,1.0,2.0,[26 22 22 26],[29 19 28 20],[28 20 18 30],[29 19 23 25],[32 16 32 16],[26 22 26 22],[29 19 25 23],[29 19 29 19],[26 22 25 23],[24 24 25 23]
