,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[40  8 15 33],[37 11 16 32],[39  9 17 31],[37 11 16 32],[34 14 17 31],[34 14 16 32],[36 12 17 31],[40  8 17 31],[35 13 13 35],[37 11 14 34],0.7197916666666666,0.7453315454257832,0.6708333333333333,0.7054541447188373,0.01627135349147219
1,3,183,[41  7 13 35],[39  9 15 33],[37 11 16 32],[41  7 15 33],[36 12 14 34],[35 13 14 34],[32 16 13 35],[37 11 13 35],[36 12 13 35],[35 13 14 34],0.7385416666666667,0.7565997537065298,0.7083333333333334,0.7307984680493078,0.0176913044484125
2,3,316,[41  7 13 35],[37 11 15 33],[38 10 16 32],[37 11 16 32],[36 12 14 34],[33 15 14 34],[32 16 14 34],[37 11 14 34],[35 13 12 36],[34 14 16 32],0.7249999999999999,0.738833373457236,0.7,0.7182191531473853,0.01944444444444444
3,3,450,[38 10 14 34],[36 12 16 32],[36 12 16 32],[35 13 16 32],[34 14 13 35],[33 15 15 33],[32 16 14 34],[39  9 14 34],[33 15 12 36],[34 14 17 31],0.7114583333333334,0.7205638468918223,0.6937499999999999,0.7062826002368081,0.017024514822404524
4,4,50,[38 10 17 31],[36 12 13 35],[35 13 15 33],[37 11 17 31],[32 16 16 32],[33 15 18 30],[37 11 18 30],[39  9 19 29],[36 12 15 33],[35 13 14 34],0.7041666666666667,0.7241201088278333,0.6625,0.6910358625259907,0.015896559919805004
5,4,183,[39  9 14 34],[38 10 16 32],[38 10 15 33],[38 10 15 33],[33 15 14 34],[35 13 17 31],[38 10 12 36],[38 10 15 33],[37 11 13 35],[35 13 14 34],0.7333333333333332,0.7520233539473293,0.6979166666666667,0.7235559777057897,0.016492141787552667
6,4,316,[39  9 15 33],[39  9 14 34],[34 14 15 33],[38 10 15 33],[34 14 14 34],[35 13 17 31],[35 13 13 35],[37 11 14 34],[38 10 11 37],[34 14 14 34],0.7302083333333333,0.743914986616001,0.7041666666666666,0.723047418889764,0.018749999999999996
7,4,450,[39  9 14 34],[35 13 14 34],[32 16 14 34],[37 11 15 33],[32 16 14 34],[34 14 17 31],[34 14 13 35],[39  9 14 34],[37 11 10 38],[33 15 15 33],0.7208333333333333,0.7280984411412594,0.7083333333333334,0.7174762680420272,0.023199018178458413
8,5,50,[37 11 17 31],[36 12 15 33],[34 14 14 34],[38 10 17 31],[35 13 15 33],[34 14 19 29],[37 11 16 32],[32 16 17 31],[36 12 14 34],[34 14 16 32],0.7010416666666667,0.7166212498028891,0.6666666666666667,0.6903202753390321,0.01644822122545418
9,5,183,[38 10 17 31],[38 10 15 33],[35 13 16 32],[36 12 15 33],[34 14 13 35],[35 13 16 32],[35 13 15 33],[34 14 15 33],[37 11 13 35],[35 13 15 33],0.715625,0.7291160524769508,0.6875,0.7073247940988326,0.011219093348196893
10,5,316,[38 10 17 31],[37 11 14 34],[34 14 16 32],[37 11 15 33],[34 14 13 35],[36 12 17 31],[34 14 14 34],[33 15 15 33],[38 10 10 38],[34 14 16 32],0.7166666666666667,0.7275673411201107,0.69375,0.7097373607044235,0.02031769283101082
11,5,450,[38 10 15 33],[34 14 14 34],[33 15 16 32],[37 11 15 33],[33 15 14 34],[36 12 17 31],[33 15 13 35],[35 13 14 34],[38 10 10 38],[33 15 15 33],0.715625,0.7224004963192601,0.7020833333333334,0.7116275037272526,0.020612252888410867
12,6,50,[35 13 16 32],[36 12 15 33],[34 14 14 34],[38 10 17 31],[34 14 15 33],[34 14 18 30],[37 11 16 32],[29 19 17 31],[34 14 14 34],[33 15 16 32],0.6937499999999999,0.7046191623820784,0.6708333333333334,0.6867690072711655,0.018941919023591467
