,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,3,50,[37 11 15 33],[40  8 15 33],[34 14 15 33],[37 11 16 32],[32 16 14 34],[37 11 15 33],[36 12 17 31],[37 11 15 33],[34 14 16 32],[36 12 15 33]
1,3,183,[37 11 15 33],[36 12 15 33],[33 15 15 33],[36 12 16 32],[36 12 14 34],[33 15 14 34],[37 11 14 34],[35 13 15 33],[36 12 15 33],[32 16 16 32]
2,3,316,[39  9 15 33],[36 12 13 35],[33 15 13 35],[34 14 16 32],[34 14 14 34],[33 15 14 34],[36 12 14 34],[33 15 15 33],[37 11 16 32],[28 20 16 32]
3,3,450,[37 11 14 34],[36 12 12 36],[33 15 14 34],[32 16 16 32],[32 16 14 34],[32 16 14 34],[36 12 14 34],[34 14 14 34],[36 12 16 32],[29 19 17 31]
4,4,50,[37 11 13 35],[39  9 14 34],[38 10 14 34],[35 13 15 33],[33 15 16 32],[36 12 18 30],[36 12 19 29],[35 13 16 32],[33 15 17 31],[34 14 15 33]
5,4,183,[37 11 15 33],[35 13 12 36],[33 15 14 34],[33 15 14 34],[34 14 15 33],[34 14 14 34],[36 12 16 32],[34 14 15 33],[33 15 16 32],[31 17 15 33]
6,4,316,[37 11 13 35],[37 11 13 35],[34 14 13 35],[34 14 15 33],[34 14 15 33],[33 15 15 33],[35 13 16 32],[34 14 15 33],[34 14 16 32],[30 18 14 34]
7,4,450,[36 12 13 35],[38 10 13 35],[33 15 12 36],[34 14 15 33],[33 15 15 33],[33 15 15 33],[35 13 16 32],[34 14 14 34],[34 14 17 31],[29 19 14 34]
8,5,50,[38 10 14 34],[39  9 14 34],[35 13 15 33],[36 12 16 32],[32 16 16 32],[36 12 18 30],[31 17 17 31],[34 14 17 31],[32 16 16 32],[35 13 16 32]
9,5,183,[37 11 15 33],[37 11 11 37],[32 16 15 33],[36 12 14 34],[32 16 15 33],[33 15 14 34],[34 14 15 33],[34 14 14 34],[35 13 18 30],[29 19 15 33]
10,5,316,[37 11 14 34],[37 11 12 36],[33 15 14 34],[36 12 14 34],[33 15 15 33],[33 15 14 34],[34 14 15 33],[34 14 14 34],[35 13 18 30],[29 19 15 33]
11,5,450,[35 13 14 34],[37 11 12 36],[33 15 13 35],[35 13 14 34],[32 16 15 33],[33 15 14 34],[34 14 15 33],[33 15 13 35],[35 13 17 31],[29 19 15 33]
12,6,50,[37 11 13 35],[39  9 14 34],[35 13 15 33],[36 12 17 31],[34 14 15 33],[34 14 19 29],[30 18 15 33],[35 13 16 32],[32 16 16 32],[32 16 17 31]
13,6,183,[37 11 15 33],[38 10 11 37],[32 16 13 35],[36 12 14 34],[34 14 15 33],[35 13 14 34],[34 14 15 33],[35 13 15 33],[35 13 17 31],[29 19 14 34]
14,6,316,[36 12 15 33],[36 12 11 37],[32 16 14 34],[36 12 14 34],[34 14 16 32],[33 15 14 34],[35 13 15 33],[35 13 15 33],[35 13 17 31],[29 19 15 33]
15,6,450,[36 12 15 33],[37 11 12 36],[32 16 15 33],[36 12 14 34],[32 16 16 32],[34 14 14 34],[35 13 15 33],[35 13 14 34],[35 13 17 31],[29 19 15 33]
16,7,50,[37 11 14 34],[39  9 14 34],[35 13 15 33],[36 12 16 32],[34 14 16 32],[35 13 19 29],[30 18 15 33],[35 13 17 31],[32 16 16 32],[32 16 17 31]
17,7,183,[37 11 15 33],[38 10 11 37],[32 16 13 35],[36 12 14 34],[34 14 15 33],[35 13 14 34],[34 14 15 33],[35 13 15 33],[35 13 17 31],[29 19 14 34]
18,7,316,[37 11 15 33],[36 12 11 37],[32 16 14 34],[36 12 14 34],[34 14 16 32],[33 15 14 34],[35 13 15 33],[35 13 15 33],[35 13 17 31],[29 19 15 33]
19,7,450,[36 12 14 34],[37 11 12 36],[32 16 15 33],[36 12 14 34],[32 16 16 32],[34 14 14 34],[36 12 15 33],[36 12 14 34],[35 13 17 31],[29 19 15 33]
