,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[37 11 15 33],[40  8 15 33],[34 14 15 33],[37 11 16 32],[32 16 14 34],[37 11 15 33],[36 12 17 31],[37 11 15 33],[34 14 16 32],[36 12 15 33],0.7156250000000001,0.7331107494671099,0.68125,0.7057505207677026,0.014583333333333327
1,3,183,[37 11 15 33],[36 12 15 33],[33 15 15 33],[36 12 16 32],[36 12 14 34],[33 15 14 34],[37 11 14 34],[35 13 15 33],[36 12 15 33],[32 16 16 32],0.7104166666666666,0.7204060906312459,0.6895833333333333,0.7044310622064807,0.013819269959814171
2,3,316,[39  9 15 33],[36 12 13 35],[33 15 13 35],[34 14 16 32],[34 14 14 34],[33 15 14 34],[36 12 14 34],[33 15 15 33],[37 11 16 32],[28 20 16 32],0.7052083333333334,0.7114459291723753,0.6958333333333333,0.702887743649623,0.0221896462620423
3,3,450,[37 11 14 34],[36 12 12 36],[33 15 14 34],[32 16 16 32],[32 16 14 34],[32 16 14 34],[36 12 14 34],[34 14 14 34],[36 12 16 32],[29 19 17 31],0.7,0.70208362686313,0.6979166666666666,0.6996678316031476,0.02319901817845843
4,4,50,[37 11 13 35],[39  9 14 34],[38 10 14 34],[35 13 15 33],[33 15 16 32],[36 12 18 30],[36 12 19 29],[35 13 16 32],[33 15 17 31],[34 14 15 33],0.7072916666666668,0.7231291482161167,0.6729166666666667,0.6967711316326187,0.02161719780037969
5,4,183,[37 11 15 33],[35 13 12 36],[33 15 14 34],[33 15 14 34],[34 14 15 33],[34 14 14 34],[36 12 16 32],[34 14 15 33],[33 15 16 32],[31 17 15 33],0.7020833333333333,0.705316142317662,0.6958333333333334,0.7002333990993365,0.01360827634879544
6,4,316,[37 11 13 35],[37 11 13 35],[34 14 13 35],[34 14 15 33],[34 14 15 33],[33 15 15 33],[35 13 16 32],[34 14 15 33],[34 14 16 32],[30 18 14 34],0.7052083333333334,0.7090517262314211,0.6979166666666667,0.7031744819820072,0.017024514822404538
7,4,450,[36 12 13 35],[38 10 13 35],[33 15 12 36],[34 14 15 33],[33 15 15 33],[33 15 15 33],[35 13 16 32],[34 14 14 34],[34 14 17 31],[29 19 14 34],0.7031249999999999,0.705531140865285,0.7,0.7022979216427585,0.019207384286026846
8,5,50,[38 10 14 34],[39  9 14 34],[35 13 15 33],[36 12 16 32],[32 16 16 32],[36 12 18 30],[31 17 17 31],[34 14 17 31],[32 16 16 32],[35 13 16 32],0.696875,0.7101541359718812,0.66875,0.688483505853362,0.02312614695187043
9,5,183,[37 11 15 33],[37 11 11 37],[32 16 15 33],[36 12 14 34],[32 16 15 33],[33 15 14 34],[34 14 15 33],[34 14 14 34],[35 13 18 30],[29 19 15 33],0.7010416666666666,0.7043530890774392,0.6958333333333333,0.6995895397882657,0.022405924729030097
10,5,316,[37 11 14 34],[37 11 12 36],[33 15 14 34],[36 12 14 34],[33 15 15 33],[33 15 14 34],[34 14 15 33],[34 14 14 34],[35 13 18 30],[29 19 15 33],0.7041666666666666,0.7078649335315328,0.6979166666666667,0.7024454478309539,0.020647317704609026
11,5,450,[35 13 14 34],[37 11 12 36],[33 15 13 35],[35 13 14 34],[32 16 15 33],[33 15 14 34],[34 14 15 33],[33 15 13 35],[35 13 17 31],[29 19 15 33],0.7020833333333333,0.7021401394957627,0.7041666666666667,0.7028138297334552,0.018941919023591457
12,6,50,[37 11 13 35],[39  9 14 34],[35 13 15 33],[36 12 17 31],[34 14 15 33],[34 14 19 29],[30 18 15 33],[35 13 16 32],[32 16 16 32],[32 16 17 31],0.6947916666666667,0.705084611015989,0.6729166666666667,0.6881616373969083,0.023865055940888304
13,6,183,[37 11 15 33],[38 10 11 37],[32 16 13 35],[36 12 14 34],[34 14 15 33],[35 13 14 34],[34 14 15 33],[35 13 15 33],[35 13 17 31],[29 19 14 34],0.7104166666666666,0.7153744754463351,0.7020833333333333,0.7081384822838873,0.020786985482077452
14,6,316,[36 12 15 33],[36 12 11 37],[32 16 14 34],[36 12 14 34],[34 14 16 32],[33 15 14 34],[35 13 15 33],[35 13 15 33],[35 13 17 31],[29 19 15 33],0.7031249999999999,0.7071038981722213,0.6958333333333333,0.7009896177924576,0.01920738428602684
15,6,450,[36 12 15 33],[37 11 12 36],[32 16 15 33],[36 12 14 34],[32 16 16 32],[34 14 14 34],[35 13 15 33],[35 13 14 34],[35 13 17 31],[29 19 15 33],0.7020833333333332,0.7066847001507369,0.6937499999999999,0.6998218959387053,0.02110928354662591
