,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[38 10 14 34],[36 12 17 31],[37 11 16 32],[37 11 16 32],[35 13 15 33],[37 11 17 31],[36 12 19 29],[36 12 14 34],[39  9 13 35],[35 13 16 32],0.7177083333333333,0.739052930527073,0.6729166666666667,0.7042190327963775,0.01713744816562926
1,3,183,[40  8 11 37],[37 11 15 33],[36 12 15 33],[36 12 14 34],[36 12 15 33],[33 15 16 32],[35 13 14 34],[37 11 14 34],[34 14 13 35],[35 13 16 32],0.725,0.7363227023772815,0.7020833333333334,0.7186327330564122,0.020412414523193156
2,3,316,[39  9 11 37],[36 12 15 33],[36 12 16 32],[34 14 14 34],[35 13 15 33],[33 15 14 34],[33 15 13 35],[36 12 15 33],[35 13 12 36],[35 13 17 31],0.71875,0.7257128740824393,0.7041666666666667,0.7144199774919854,0.018373272993504094
3,3,450,[39  9 11 37],[32 16 16 32],[34 14 16 32],[35 13 14 34],[33 15 15 33],[35 13 15 33],[32 16 13 35],[36 12 16 32],[32 16 12 36],[35 13 18 30],0.7052083333333332,0.7098491574322635,0.6958333333333334,0.7022232446632733,0.021750638560230306
4,4,50,[38 10 15 33],[37 11 16 32],[37 11 18 30],[37 11 17 31],[35 13 17 31],[38 10 18 30],[36 12 17 31],[33 15 17 31],[34 14 16 32],[34 14 17 31],0.6989583333333333,0.721536025552894,0.65,0.6835759726027789,0.013339842161318444
5,4,183,[40  8 13 35],[37 11 15 33],[36 12 16 32],[36 12 15 33],[33 15 14 34],[36 12 16 32],[39  9 13 35],[36 12 15 33],[36 12 13 35],[35 13 15 33],0.7281249999999999,0.7436569861470823,0.6979166666666667,0.7198151518004429,0.017691304448412496
6,4,316,[38 10 13 35],[36 12 14 34],[35 13 17 31],[36 12 15 33],[33 15 14 34],[35 13 17 31],[35 13 13 35],[35 13 15 33],[36 12 12 36],[35 13 16 32],0.7166666666666667,0.7260879088130642,0.6958333333333334,0.7104093230760459,0.01607755125387531
7,4,450,[38 10 12 36],[35 13 14 34],[34 14 16 32],[35 13 15 33],[31 17 14 34],[34 14 17 31],[34 14 13 35],[35 13 15 33],[33 15 12 36],[36 12 16 32],0.709375,0.7139444083635192,0.7000000000000001,0.7064963042728651,0.017137448165629256
8,5,50,[38 10 17 31],[35 13 16 32],[33 15 17 31],[36 12 17 31],[34 14 16 32],[35 13 18 30],[36 12 18 30],[30 18 14 34],[35 13 15 33],[33 15 15 33],0.6895833333333333,0.7028401713120511,0.6604166666666667,0.6802180455309268,0.01066825798315085
9,5,183,[38 10 14 34],[36 12 14 34],[35 13 16 32],[36 12 16 32],[34 14 15 33],[35 13 16 32],[36 12 15 33],[33 15 14 34],[36 12 11 37],[36 12 15 33],0.7177083333333334,0.7279126575082701,0.6958333333333333,0.7112540156624444,0.01438355220639443
10,5,316,[38 10 14 34],[36 12 14 34],[35 13 17 31],[36 12 15 33],[32 16 15 33],[35 13 17 31],[35 13 14 34],[33 15 15 33],[36 12 13 35],[36 12 16 32],0.7104166666666666,0.7210609171344933,0.6875,0.703623432040755,0.01577474540500076
11,5,450,[39  9 13 35],[35 13 13 35],[33 15 16 32],[35 13 16 32],[33 15 15 33],[35 13 17 31],[32 16 13 35],[34 14 15 33],[36 12 12 36],[34 14 16 32],0.7083333333333334,0.7142683184898997,0.6958333333333334,0.7045964141905146,0.019641855032959656
12,6,50,[38 10 16 32],[35 13 16 32],[33 15 17 31],[37 11 17 31],[34 14 15 33],[33 15 17 31],[36 12 18 30],[33 15 16 32],[34 14 13 35],[33 15 14 34],0.6947916666666667,0.7064364901063725,0.6687500000000001,0.6865089110850346,0.013194444444444444
13,6,183,[37 11 14 34],[36 12 14 34],[35 13 16 32],[37 11 15 33],[34 14 15 33],[34 14 16 32],[36 12 16 32],[34 14 14 34],[36 12 12 36],[37 11 14 34],0.7187499999999999,0.7294738551098402,0.6958333333333333,0.7120906607257004,0.013537214367790233
14,6,316,[38 10 14 34],[35 13 14 34],[35 13 17 31],[35 13 15 33],[33 15 15 33],[35 13 17 31],[35 13 14 34],[34 14 15 33],[36 12 12 36],[36 12 15 33],0.7125000000000001,0.7218978989712108,0.6916666666666667,0.7062577390142122,0.014958791130929178
15,6,450,[39  9 13 35],[34 14 14 34],[33 15 16 32],[36 12 15 33],[33 15 15 33],[34 14 17 31],[33 15 13 35],[33 15 15 33],[36 12 11 37],[35 13 15 33],0.7104166666666666,0.7154354510004042,0.7,0.7073531166896873,0.02055367859298436
16,7,50,[38 10 16 32],[35 13 16 32],[33 15 18 30],[37 11 17 31],[34 14 15 33],[33 15 17 31],[36 12 18 30],[33 15 16 32],[34 14 13 35],[33 15 14 34],0.69375,0.7057118524252132,0.6666666666666667,0.685067593308782,0.014299486306926387
17,7,183,[37 11 14 34],[36 12 14 34],[35 13 17 31],[37 11 15 33],[34 14 15 33],[34 14 16 32],[36 12 16 32],[34 14 14 34],[36 12 12 36],[37 11 14 34],0.7177083333333332,0.7288172894532747,0.69375,0.7106647607724513,0.01438355220639443
18,7,316,[38 10 14 34],[35 13 14 34],[35 13 17 31],[35 13 15 33],[33 15 15 33],[35 13 17 31],[35 13 14 34],[34 14 15 33],[36 12 12 36],[36 12 15 33],0.7125000000000001,0.7218978989712108,0.6916666666666667,0.7062577390142122,0.014958791130929178
19,7,450,[39  9 13 35],[34 14 14 34],[33 15 16 32],[36 12 15 33],[33 15 15 33],[34 14 17 31],[33 15 13 35],[33 15 15 33],[36 12 11 37],[35 13 15 33],0.7104166666666666,0.7154354510004042,0.7,0.7073531166896873,0.02055367859298436
