,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[36 12 17 31],[37 11 18 30],[35 13 13 35],[35 13 17 31],[33 15 15 33],[36 12 14 34],[36 12 15 33],[35 13 12 36],[32 16 17 31],[35 13 16 32],0.7041666666666667,0.7151692895706611,0.6791666666666667,0.6962209032703618,0.015896559919804994
1,3,183,[35 13 13 35],[35 13 19 29],[37 11 13 35],[32 16 18 30],[30 18 14 34],[34 14 14 34],[38 10 15 33],[35 13 14 34],[33 15 17 31],[32 16 17 31],0.6947916666666666,0.7019199449930846,0.6791666666666666,0.6898193413840111,0.024265840568966877
2,3,316,[36 12 16 32],[36 12 17 31],[38 10 13 35],[32 16 16 32],[30 18 13 35],[35 13 13 35],[39  9 15 33],[37 11 14 34],[36 12 17 31],[30 18 16 32],0.7072916666666667,0.7184391503260523,0.6874999999999999,0.7017457702379497,0.023743501385109382
3,3,450,[37 11 15 33],[34 14 17 31],[37 11 15 33],[33 15 16 32],[30 18 14 34],[35 13 15 33],[39  9 14 34],[36 12 14 34],[37 11 16 32],[32 16 16 32],0.70625,0.7181658233292164,0.6833333333333333,0.699788151799837,0.02055367859298435
4,4,50,[35 13 16 32],[36 12 19 29],[34 14 17 31],[33 15 17 31],[34 14 15 33],[33 15 16 32],[36 12 16 32],[34 14 12 36],[30 18 17 31],[34 14 18 30],0.6833333333333333,0.6925952810368646,0.6604166666666667,0.6756214845892032,0.016492141787552664
5,4,183,[37 11 14 34],[36 12 19 29],[38 10 12 36],[32 16 18 30],[31 17 13 35],[33 15 15 33],[38 10 15 33],[34 14 13 35],[33 15 16 32],[33 15 18 30],0.7,0.7087477465746148,0.68125,0.6940393218765993,0.025572156443780514
6,4,316,[38 10 14 34],[36 12 19 29],[39  9 14 34],[32 16 17 31],[32 16 14 34],[33 15 14 34],[39  9 13 35],[34 14 13 35],[35 13 17 31],[33 15 18 30],0.70625,0.7185146420374505,0.6812500000000001,0.6987202016650926,0.02649831115047071
7,4,450,[39  9 17 31],[35 13 18 30],[40  8 14 34],[32 16 17 31],[31 17 15 33],[33 15 15 33],[39  9 12 36],[35 13 13 35],[34 14 16 32],[36 12 17 31],0.7083333333333334,0.7235021769351416,0.6791666666666667,0.6998572596346373,0.027074428735580455
8,5,50,[35 13 15 33],[36 12 18 30],[35 13 15 33],[33 15 18 30],[33 15 14 34],[33 15 15 33],[34 14 17 31],[33 15 13 35],[31 17 16 32],[32 16 21 27],0.6802083333333333,0.6866969630791312,0.6625000000000001,0.6738766992765199,0.019157103089074614
9,5,183,[36 12 14 34],[37 11 18 30],[38 10 13 35],[34 14 15 33],[33 15 15 33],[33 15 13 35],[39  9 15 33],[34 14 13 35],[32 16 14 34],[34 14 18 30],0.7104166666666667,0.7200061371026207,0.6916666666666667,0.7047806569057227,0.018582066889249516
10,5,316,[37 11 13 35],[38 10 18 30],[38 10 15 33],[32 16 18 30],[31 17 14 34],[34 14 12 36],[39  9 13 35],[36 12 14 34],[34 14 15 33],[33 15 17 31],0.7114583333333335,0.7227777688682535,0.6895833333333333,0.7050219325643781,0.025048178884543658
