,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[38 10 15 33],[37 11 16 32],[38 10 16 32],[37 11 16 32],[34 14 15 33],[34 14 16 32],[36 12 18 30],[38 10 16 32],[34 14 15 33],[34 14 15 33],0.7104166666666667,0.7295944344220058,0.6708333333333333,0.6985818610902599,0.011947673982003651
1,3,183,[37 11 11 37],[36 12 16 32],[35 13 15 33],[35 13 14 34],[36 12 14 34],[31 17 17 31],[32 16 15 33],[36 12 16 32],[34 14 14 34],[34 14 16 32],0.7062499999999999,0.7128593010663182,0.6916666666666667,0.7018889171367722,0.020786985482077445
2,3,316,[37 11 11 37],[35 13 16 32],[34 14 15 33],[37 11 13 35],[35 13 15 33],[32 16 16 32],[31 17 13 35],[35 13 15 33],[32 16 14 34],[32 16 15 33],0.7052083333333333,0.7072937255430648,0.7020833333333333,0.7043634977483211,0.020376945487668354
3,3,450,[37 11 10 38],[34 14 17 31],[34 14 15 33],[34 14 14 34],[35 13 15 33],[33 15 15 33],[31 17 14 34],[34 14 14 34],[33 15 15 33],[32 16 16 32],0.7,0.7008918056892817,0.6979166666666667,0.6992238343187593,0.020317692831010824
4,4,50,[37 11 15 33],[36 12 15 33],[35 13 19 29],[37 11 17 31],[33 15 15 33],[34 14 17 31],[37 11 16 32],[35 13 15 33],[36 12 14 34],[34 14 15 33],0.7041666666666667,0.7191129096010181,0.6708333333333333,0.6938134183998249,0.01360827634879543
5,4,183,[37 11 13 35],[38 10 15 33],[34 14 15 33],[36 12 16 32],[34 14 14 34],[30 18 17 31],[37 11 13 35],[33 15 16 32],[35 13 14 34],[34 14 16 32],0.7072916666666667,0.7159475265366897,0.6895833333333334,0.7022858782526298,0.02249185380653007
6,4,316,[37 11 13 35],[38 10 14 34],[34 14 16 32],[35 13 14 34],[35 13 14 34],[31 17 17 31],[35 13 12 36],[34 14 15 33],[35 13 12 36],[33 15 16 32],0.7124999999999999,0.7174257334335634,0.7020833333333334,0.7095031765483786,0.022004138219103967
7,4,450,[39  9 13 35],[38 10 15 33],[34 14 16 32],[33 15 14 34],[33 15 14 34],[30 18 17 31],[34 14 12 36],[34 14 15 33],[33 15 12 36],[33 15 15 33],0.70625,0.7094466755613655,0.7020833333333333,0.7052435914652977,0.02299020188506508
8,5,50,[37 11 15 33],[35 13 15 33],[36 12 16 32],[37 11 17 31],[34 14 14 34],[34 14 17 31],[38 10 18 30],[30 18 14 34],[33 15 15 33],[31 17 12 36],0.7000000000000001,0.7100572928803036,0.68125,0.694124949567112,0.011536977587386216
9,5,183,[36 12 12 36],[37 11 15 33],[33 15 15 33],[34 14 16 32],[34 14 13 35],[32 16 16 32],[37 11 13 35],[31 17 14 34],[37 11 14 34],[33 15 16 32],0.7083333333333333,0.7128047406134825,0.7,0.7060475063538121,0.020600551353043506
10,5,316,[36 12 14 34],[38 10 14 34],[33 15 15 33],[33 15 16 32],[34 14 13 35],[32 16 16 32],[34 14 12 36],[32 16 14 34],[35 13 13 35],[35 13 16 32],0.7072916666666668,0.7101438930069828,0.7020833333333334,0.7057945190079671,0.017416578061089514
11,5,450,[37 11 14 34],[36 12 14 34],[33 15 15 33],[32 16 15 33],[33 15 13 35],[33 15 16 32],[34 14 12 36],[31 17 14 34],[34 14 13 35],[34 14 16 32],0.703125,0.7033110996788479,0.7041666666666667,0.7034532459749702,0.015605697954336261
12,6,50,[36 12 16 32],[35 13 15 33],[35 13 17 31],[37 11 17 31],[35 13 14 34],[32 16 17 31],[38 10 18 30],[30 18 13 35],[34 14 14 34],[32 16 14 34],0.6968749999999999,0.70689941394894,0.6770833333333333,0.6906101191588856,0.012207219327254827
13,6,183,[36 12 12 36],[37 11 15 33],[32 16 15 33],[35 13 16 32],[35 13 13 35],[32 16 16 32],[37 11 13 35],[31 17 14 34],[36 12 13 35],[34 14 16 32],0.7104166666666666,0.7148283089060479,0.7020833333333334,0.7081051758851393,0.020553678592984362
14,6,316,[35 13 14 34],[38 10 14 34],[32 16 15 33],[35 13 16 32],[34 14 13 35],[33 15 16 32],[34 14 12 36],[32 16 14 34],[35 13 12 36],[34 14 16 32],0.7083333333333333,0.7106194856492201,0.7041666666666667,0.7070528551312321,0.016724436914989295
15,6,450,[36 12 14 34],[37 11 14 34],[32 16 16 32],[32 16 15 33],[34 14 13 35],[33 15 16 32],[34 14 12 36],[31 17 14 34],[34 14 12 36],[33 15 16 32],0.7020833333333333,0.7017476553371889,0.7041666666666667,0.7026940436378203,0.01842569327975221
16,7,50,[36 12 16 32],[35 13 15 33],[35 13 17 31],[37 11 17 31],[35 13 14 34],[32 16 17 31],[38 10 18 30],[30 18 13 35],[34 14 14 34],[32 16 14 34],0.6968749999999999,0.70689941394894,0.6770833333333333,0.6906101191588856,0.012207219327254827
17,7,183,[36 12 12 36],[37 11 15 33],[32 16 15 33],[35 13 16 32],[35 13 13 35],[32 16 16 32],[37 11 13 35],[31 17 14 34],[36 12 13 35],[34 14 16 32],0.7104166666666666,0.7148283089060479,0.7020833333333334,0.7081051758851393,0.020553678592984362
18,7,316,[35 13 14 34],[38 10 14 34],[32 16 15 33],[35 13 16 32],[34 14 13 35],[33 15 16 32],[34 14 12 36],[32 16 14 34],[35 13 12 36],[34 14 16 32],0.7083333333333333,0.7106194856492201,0.7041666666666667,0.7070528551312321,0.016724436914989295
19,7,450,[36 12 14 34],[37 11 14 34],[32 16 16 32],[32 16 15 33],[34 14 13 35],[33 15 16 32],[34 14 12 36],[32 16 14 34],[34 14 12 36],[33 15 16 32],0.703125,0.703080988670522,0.7041666666666667,0.7033949300529925,0.017908051330871696
