,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,200,5,[31 17 13 35],[36 12 16 32],[32 16 15 33],[39  9 15 33],[32 16 14 34],[32 16 13 35],[34 14 13 35],[35 13 12 36],[34 14 15 33],[33 15 13 35]
1,200,7,[30 18 13 35],[34 14 15 33],[34 14 14 34],[36 12 14 34],[31 17 14 34],[32 16 12 36],[35 13 16 32],[33 15 11 37],[34 14 16 32],[31 17 14 34]
2,200,10,[33 15 14 34],[33 15 15 33],[30 18 14 34],[36 12 16 32],[33 15 16 32],[33 15 17 31],[35 13 16 32],[34 14 11 37],[30 18 15 33],[30 18 14 34]
3,300,5,[34 14 14 34],[34 14 14 34],[36 12 13 35],[36 12 15 33],[34 14 13 35],[33 15 11 37],[33 15 15 33],[36 12 12 36],[31 17 14 34],[34 14 13 35]
4,300,7,[31 17 12 36],[34 14 14 34],[34 14 14 34],[35 13 15 33],[34 14 14 34],[32 16 12 36],[35 13 16 32],[34 14 11 37],[31 17 13 35],[33 15 13 35]
5,300,10,[32 16 14 34],[33 15 14 34],[31 17 15 33],[37 11 16 32],[33 15 16 32],[32 16 11 37],[32 16 16 32],[34 14 11 37],[30 18 14 34],[31 17 13 35]
6,400,5,[32 16 13 35],[33 15 14 34],[36 12 14 34],[37 11 15 33],[34 14 14 34],[31 17 12 36],[34 14 14 34],[35 13 13 35],[32 16 14 34],[32 16 13 35]
7,400,7,[31 17 13 35],[33 15 12 36],[34 14 15 33],[35 13 16 32],[33 15 14 34],[31 17 14 34],[32 16 14 34],[31 17 11 37],[32 16 15 33],[33 15 14 34]
8,400,10,[32 16 14 34],[33 15 13 35],[34 14 13 35],[36 12 16 32],[32 16 14 34],[31 17 13 35],[32 16 14 34],[35 13 11 37],[31 17 14 34],[32 16 13 35]
9,500,5,[31 17 13 35],[32 16 15 33],[36 12 16 32],[36 12 14 34],[35 13 14 34],[31 17 11 37],[33 15 14 34],[35 13 11 37],[32 16 15 33],[32 16 14 34]
10,500,7,[31 17 13 35],[34 14 14 34],[34 14 15 33],[36 12 16 32],[32 16 14 34],[31 17 15 33],[32 16 14 34],[35 13 11 37],[32 16 16 32],[34 14 14 34]
11,500,10,[32 16 14 34],[34 14 14 34],[34 14 15 33],[36 12 14 34],[32 16 15 33],[31 17 13 35],[32 16 14 34],[35 13 12 36],[29 19 15 33],[33 15 13 35]
