,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[31 17 13 35],[36 12 16 32],[32 16 15 33],[39  9 15 33],[32 16 14 34],[32 16 13 35],[34 14 13 35],[35 13 12 36],[34 14 15 33],[33 15 13 35],0.7072916666666667,0.7076915085034162,0.7104166666666667,0.7083286218635687,0.01471501395862298
1,200,7,[30 18 13 35],[34 14 15 33],[34 14 14 34],[36 12 14 34],[31 17 14 34],[32 16 12 36],[35 13 16 32],[33 15 11 37],[34 14 16 32],[31 17 14 34],0.6989583333333333,0.6953911558384618,0.7104166666666667,0.7022304218266353,0.012596081352234051
2,200,10,[33 15 14 34],[33 15 15 33],[30 18 14 34],[36 12 16 32],[33 15 16 32],[33 15 17 31],[35 13 16 32],[34 14 11 37],[30 18 15 33],[30 18 14 34],0.6864583333333334,0.6854766824012446,0.6916666666666667,0.6879755237511684,0.01597222222222223
3,300,5,[34 14 14 34],[34 14 14 34],[36 12 13 35],[36 12 15 33],[34 14 13 35],[33 15 11 37],[33 15 15 33],[36 12 12 36],[31 17 14 34],[34 14 13 35],0.715625,0.7138957407840387,0.7208333333333333,0.7170853847225515,0.01390623916284776
4,300,7,[31 17 12 36],[34 14 14 34],[34 14 14 34],[35 13 15 33],[34 14 14 34],[32 16 12 36],[35 13 16 32],[34 14 11 37],[31 17 13 35],[33 15 13 35],0.7072916666666667,0.7023622509940852,0.7208333333333334,0.7109931451474396,0.008476774733148415
5,300,10,[32 16 14 34],[33 15 14 34],[31 17 15 33],[37 11 16 32],[33 15 16 32],[32 16 11 37],[32 16 16 32],[34 14 11 37],[30 18 14 34],[31 17 13 35],0.6927083333333333,0.6876107808577169,0.7083333333333333,0.6972173461901728,0.01621196879156772
6,400,5,[32 16 13 35],[33 15 14 34],[36 12 14 34],[37 11 15 33],[34 14 14 34],[31 17 12 36],[34 14 14 34],[35 13 13 35],[32 16 14 34],[32 16 13 35],0.7083333333333334,0.7060635621763062,0.7166666666666667,0.7108550073125894,0.009820927516479823
7,400,7,[31 17 13 35],[33 15 12 36],[34 14 15 33],[35 13 16 32],[33 15 14 34],[31 17 14 34],[32 16 14 34],[31 17 11 37],[32 16 15 33],[33 15 14 34],0.6947916666666666,0.6885274388351449,0.7124999999999999,0.6998892273160394,0.008246070893776323
8,400,10,[32 16 14 34],[33 15 13 35],[34 14 13 35],[36 12 16 32],[32 16 14 34],[31 17 13 35],[32 16 14 34],[35 13 11 37],[31 17 14 34],[32 16 13 35],0.7010416666666667,0.6947576541105953,0.7187499999999999,0.7062261460551785,0.013555014788849398
9,500,5,[31 17 13 35],[32 16 15 33],[36 12 16 32],[36 12 14 34],[35 13 14 34],[31 17 11 37],[33 15 14 34],[35 13 11 37],[32 16 15 33],[32 16 14 34],0.7041666666666667,0.7008885852167206,0.7145833333333332,0.7071171360934663,0.01495879113092917
10,500,7,[31 17 13 35],[34 14 14 34],[34 14 15 33],[36 12 16 32],[32 16 14 34],[31 17 15 33],[32 16 14 34],[35 13 11 37],[32 16 16 32],[34 14 14 34],0.696875,0.6945810643257452,0.7041666666666666,0.6990048879963885,0.01535648915798333
11,500,10,[32 16 14 34],[34 14 14 34],[34 14 15 33],[36 12 14 34],[32 16 15 33],[31 17 13 35],[32 16 14 34],[35 13 12 36],[29 19 15 33],[33 15 13 35],0.6968749999999999,0.692544700068884,0.7104166666666667,0.701119565945541,0.01685369597154388
