,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,200,5,[32 16 16 32],[34 14 16 32],[32 16 18 30],[36 12 19 29],[33 15 18 30],[30 18 17 31],[32 16 16 32],[35 13 18 30],[31 17 20 28],[35 13 16 32]
1,200,7,[30 18 20 28],[34 14 17 31],[34 14 17 31],[35 13 19 29],[34 14 15 33],[30 18 17 31],[34 14 18 30],[34 14 19 29],[30 18 18 30],[34 14 18 30]
2,200,10,[30 18 20 28],[33 15 18 30],[35 13 15 33],[34 14 21 27],[32 16 15 33],[29 19 16 32],[36 12 18 30],[34 14 17 31],[30 18 19 29],[34 14 18 30]
3,300,5,[34 14 20 28],[32 16 12 36],[32 16 18 30],[33 15 21 27],[32 16 18 30],[31 17 18 30],[31 17 17 31],[31 17 15 33],[31 17 22 26],[34 14 16 32]
4,300,7,[28 20 21 27],[36 12 15 33],[32 16 18 30],[35 13 20 28],[32 16 16 32],[31 17 15 33],[34 14 15 33],[32 16 17 31],[30 18 20 28],[32 16 16 32]
5,300,10,[29 19 20 28],[36 12 17 31],[31 17 16 32],[35 13 22 26],[32 16 16 32],[30 18 16 32],[31 17 16 32],[32 16 16 32],[30 18 20 28],[30 18 17 31]
6,400,5,[32 16 17 31],[32 16 14 34],[31 17 17 31],[33 15 20 28],[32 16 19 29],[31 17 17 31],[32 16 16 32],[31 17 16 32],[32 16 23 25],[35 13 16 32]
7,400,7,[29 19 20 28],[35 13 14 34],[32 16 17 31],[34 14 22 26],[33 15 16 32],[30 18 17 31],[32 16 17 31],[32 16 17 31],[31 17 19 29],[34 14 16 32]
8,400,10,[31 17 20 28],[35 13 15 33],[31 17 16 32],[34 14 21 27],[32 16 17 31],[30 18 17 31],[31 17 16 32],[31 17 16 32],[31 17 19 29],[32 16 16 32]
9,500,5,[33 15 19 29],[33 15 13 35],[33 15 16 32],[33 15 21 27],[32 16 17 31],[31 17 17 31],[31 17 15 33],[30 18 16 32],[33 15 21 27],[35 13 16 32]
10,500,7,[31 17 20 28],[35 13 14 34],[32 16 17 31],[33 15 21 27],[33 15 16 32],[31 17 17 31],[31 17 16 32],[32 16 18 30],[31 17 19 29],[33 15 16 32]
11,500,10,[29 19 19 29],[33 15 15 33],[31 17 16 32],[35 13 21 27],[32 16 17 31],[31 17 17 31],[31 17 18 30],[31 17 16 32],[31 17 20 28],[31 17 16 32]
