,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[32 16 16 32],[34 14 16 32],[32 16 18 30],[36 12 19 29],[33 15 18 30],[30 18 17 31],[32 16 16 32],[35 13 18 30],[31 17 20 28],[35 13 16 32],0.6625,0.6718803973289729,0.6375,0.6538167450802332,0.01589655991980499
1,200,7,[30 18 20 28],[34 14 17 31],[34 14 17 31],[35 13 19 29],[34 14 15 33],[30 18 17 31],[34 14 18 30],[34 14 19 29],[30 18 18 30],[34 14 18 30],0.6572916666666667,0.6674785309514365,0.6291666666666667,0.6474145021915657,0.0176913044484125
2,200,10,[30 18 20 28],[33 15 18 30],[35 13 15 33],[34 14 21 27],[32 16 15 33],[29 19 16 32],[36 12 18 30],[34 14 17 31],[30 18 19 29],[34 14 18 30],0.6562499999999999,0.6654224638290048,0.63125,0.6472685783546773,0.021063542900143204
3,300,5,[34 14 20 28],[32 16 12 36],[32 16 18 30],[33 15 21 27],[32 16 18 30],[31 17 18 30],[31 17 17 31],[31 17 15 33],[31 17 22 26],[34 14 16 32],0.65,0.6550613870295958,0.6312500000000001,0.6421979270618288,0.0201747764532416
4,300,7,[28 20 21 27],[36 12 15 33],[32 16 18 30],[35 13 20 28],[32 16 16 32],[31 17 15 33],[34 14 15 33],[32 16 17 31],[30 18 20 28],[32 16 16 32],0.6552083333333334,0.6606633273918309,0.6395833333333333,0.6495525650465042,0.026434536542603165
5,300,10,[29 19 20 28],[36 12 17 31],[31 17 16 32],[35 13 22 26],[32 16 16 32],[30 18 16 32],[31 17 16 32],[32 16 16 32],[30 18 20 28],[30 18 17 31],0.6458333333333334,0.6504146075787198,0.6333333333333333,0.6409395640226625,0.01939477783856797
6,400,5,[32 16 17 31],[32 16 14 34],[31 17 17 31],[33 15 20 28],[32 16 19 29],[31 17 17 31],[32 16 16 32],[31 17 16 32],[32 16 23 25],[35 13 16 32],0.6520833333333333,0.6567443469722442,0.6354166666666667,0.6453646602916951,0.018425693279752218
7,400,7,[29 19 20 28],[35 13 14 34],[32 16 17 31],[34 14 22 26],[33 15 16 32],[30 18 17 31],[32 16 17 31],[32 16 17 31],[31 17 19 29],[34 14 16 32],0.653125,0.6587463422001546,0.6354166666666667,0.646479879432974,0.022620135381808796
8,400,10,[31 17 20 28],[35 13 15 33],[31 17 16 32],[34 14 21 27],[32 16 17 31],[30 18 17 31],[31 17 16 32],[31 17 16 32],[31 17 19 29],[32 16 16 32],0.6510416666666667,0.6546662763990249,0.6395833333333335,0.6465895993483293,0.016506756005562104
9,500,5,[33 15 19 29],[33 15 13 35],[33 15 16 32],[33 15 21 27],[32 16 17 31],[31 17 17 31],[31 17 15 33],[30 18 16 32],[33 15 21 27],[35 13 16 32],0.659375,0.6642175171164533,0.64375,0.6531572274957077,0.01785411129469783
10,500,7,[31 17 20 28],[35 13 14 34],[32 16 17 31],[33 15 21 27],[33 15 16 32],[31 17 17 31],[31 17 16 32],[32 16 18 30],[31 17 19 29],[33 15 16 32],0.6541666666666666,0.6591263469618498,0.6375000000000001,0.6478886308021112,0.019592688860647058
11,500,10,[29 19 19 29],[33 15 15 33],[31 17 16 32],[35 13 21 27],[32 16 17 31],[31 17 17 31],[31 17 18 30],[31 17 16 32],[31 17 20 28],[31 17 16 32],0.6458333333333333,0.649177823611714,0.6354166666666667,0.6416878870885531,0.014894174020505014
