,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[33 15 12 36],[34 14 11 37],[35 13 12 36],[40  8 14 34],[36 12 11 37],[36 12 11 37],[35 13 14 34],[35 13 11 37],[34 14 13 35],[36 12 15 33],0.7395833333333334,0.7396817620665288,0.7416666666666667,0.740056268580789,0.01280492285735123
1,200,7,[37 11 12 36],[38 10 11 37],[35 13 12 36],[39  9 14 34],[35 13 13 35],[35 13 14 34],[36 12 11 37],[32 16 11 37],[33 15 13 35],[36 12 16 32],0.7385416666666667,0.7411641938953367,0.7354166666666667,0.7376816787567531,0.016271353491472185
2,200,10,[37 11 12 36],[36 12 11 37],[37 11 13 35],[38 10 15 33],[36 12 13 35],[35 13 14 34],[36 12 11 37],[34 14 11 37],[33 15 13 35],[36 12 14 34],0.740625,0.743717869136769,0.7354166666666666,0.739141980508393,0.011389735740872714
3,300,5,[35 13 11 37],[36 12 11 37],[36 12 12 36],[39  9 13 35],[36 12 11 37],[37 11 11 37],[35 13 12 36],[33 15 12 36],[36 12 13 35],[35 13 15 33],0.746875,0.7469140346324384,0.7479166666666667,0.7471088668590806,0.01319444444444444
4,300,7,[36 12 10 38],[35 13 10 38],[36 12 12 36],[38 10 14 34],[36 12 12 36],[34 14 15 33],[36 12 11 37],[34 14 11 37],[33 15 12 36],[36 12 14 34],0.7427083333333334,0.740555799613597,0.7479166666666666,0.7438092576651041,0.013906239162847773
5,300,10,[36 12 10 38],[36 12 10 38],[36 12 12 36],[38 10 13 35],[35 13 12 36],[34 14 14 34],[34 14 11 37],[33 15 11 37],[34 14 12 36],[37 11 14 34],0.74375,0.740338920183458,0.7520833333333332,0.7457661375501415,0.012500000000000002
6,400,5,[36 12 11 37],[35 13 11 37],[36 12 11 37],[39  9 13 35],[36 12 11 37],[36 12 13 35],[36 12 12 36],[34 14 11 37],[34 14 13 35],[36 12 14 34],0.7479166666666666,0.7474347864114109,0.75,0.7484001992441287,0.010206207261596574
7,400,7,[36 12 11 37],[36 12  9 39],[36 12 12 36],[37 11 14 34],[36 12 12 36],[35 13 14 34],[36 12 11 37],[35 13 12 36],[35 13 13 35],[35 13 13 35],0.7458333333333333,0.7446896985744653,0.7479166666666667,0.7461225627708657,0.011702985796078274
8,400,10,[36 12 11 37],[36 12 11 37],[35 13 12 36],[37 11 13 35],[35 13 12 36],[35 13 14 34],[36 12 11 37],[34 14 12 36],[33 15 13 35],[37 11 12 36],0.7427083333333334,0.7404925144896071,0.7479166666666667,0.744054052971554,0.01204816081451212
9,500,5,[36 12 12 36],[37 11 11 37],[36 12 11 37],[39  9 13 35],[36 12 13 35],[37 11 13 35],[35 13 12 36],[34 14 12 36],[35 13 13 35],[36 12 14 34],0.7468750000000001,0.7499931314885722,0.7416666666666667,0.7455645293589805,0.010323658852304528
10,500,7,[37 11 11 37],[37 11  9 39],[36 12 12 36],[37 11 14 34],[36 12 14 34],[35 13 14 34],[37 11 11 37],[34 14 13 35],[34 14 13 35],[35 13 13 35],0.74375,0.7447495007562075,0.7416666666666668,0.7430427194454721,0.016492141787552664
11,500,10,[37 11 11 37],[37 11 10 38],[35 13 12 36],[37 11 14 34],[37 11 14 34],[35 13 14 34],[35 13 11 37],[35 13 13 35],[34 14 12 36],[36 12 13 35],0.7437500000000001,0.7449400299126744,0.7416666666666667,0.7430566284588853,0.012108052620946321
