,N_Estimators,Max_Depth,Confusion Matrix Split 11,Confusion Matrix Split 12,Confusion Matrix Split 13,Confusion Matrix Split 14,Confusion Matrix Split 15,Confusion Matrix Split 16,Confusion Matrix Split 17,Confusion Matrix Split 18,Confusion Matrix Split 19,Confusion Matrix Split 20
0,200,5,"[4, 1, 0, 5]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[1, 3, 1, 4]","[3, 1, 2, 3]"
1,200,7,"[5, 0, 0, 5]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 3, 2]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[1, 3, 1, 4]","[3, 1, 1, 4]"
2,200,10,"[5, 0, 0, 5]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 3, 2]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[1, 3, 1, 4]","[3, 1, 2, 3]"
3,300,5,"[5, 0, 0, 5]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[1, 3, 1, 4]","[3, 1, 2, 3]"
4,300,7,"[5, 0, 0, 5]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[3, 2, 2, 3]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[1, 3, 1, 4]","[3, 1, 2, 3]"
5,300,10,"[5, 0, 0, 5]","[4, 1, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[3, 2, 3, 2]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[2, 2, 1, 4]","[3, 1, 2, 3]"
6,400,5,"[5, 0, 0, 5]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[1, 3, 1, 4]","[3, 1, 2, 3]"
7,400,7,"[5, 0, 0, 5]","[4, 1, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[2, 2, 1, 4]","[3, 1, 2, 3]"
8,400,10,"[5, 0, 0, 5]","[4, 1, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[2, 2, 1, 4]","[3, 1, 2, 3]"
9,500,5,"[5, 0, 0, 5]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 3, 2]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[1, 3, 1, 4]","[3, 1, 2, 3]"
10,500,7,"[5, 0, 0, 5]","[4, 1, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[1, 3, 1, 4]","[3, 1, 2, 3]"
11,500,10,"[5, 0, 0, 5]","[4, 1, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 3, 2]","[4, 1, 1, 4]","[5, 0, 0, 4]","[4, 1, 0, 4]","[1, 3, 1, 4]","[3, 1, 2, 3]"
