,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,200,5,[39  9 10 38],[35 13 10 38],[36 12 14 34],[36 12 14 34],[37 11 13 35],[36 12 11 37],[37 11 12 36],[36 12 13 35],[34 14 11 37],[37 11 13 35]
1,200,7,[38 10 11 37],[36 12 10 38],[34 14 13 35],[36 12 12 36],[36 12 13 35],[35 13 11 37],[35 13 11 37],[36 12 12 36],[35 13 11 37],[37 11 12 36]
2,200,10,[39  9 11 37],[36 12 11 37],[34 14 14 34],[36 12 12 36],[36 12 13 35],[35 13 11 37],[35 13 12 36],[36 12 13 35],[36 12 11 37],[39  9 13 35]
3,300,5,[38 10 11 37],[36 12 10 38],[38 10 11 37],[36 12 13 35],[37 11 11 37],[35 13 13 35],[35 13 12 36],[36 12 13 35],[35 13 11 37],[36 12 12 36]
4,300,7,[36 12 10 38],[37 11 10 38],[35 13 10 38],[37 11 13 35],[36 12 11 37],[35 13 11 37],[35 13 11 37],[37 11 12 36],[35 13 10 38],[36 12 12 36]
5,300,10,[37 11 11 37],[38 10 12 36],[35 13 12 36],[36 12 13 35],[36 12 12 36],[35 13 11 37],[35 13 12 36],[37 11 13 35],[35 13 10 38],[36 12 12 36]
6,400,5,[39  9 10 38],[36 12 10 38],[36 12 12 36],[35 13 13 35],[37 11 10 38],[36 12 12 36],[35 13 11 37],[35 13 13 35],[35 13 10 38],[36 12 12 36]
7,400,7,[36 12 10 38],[37 11 11 37],[36 12 11 37],[34 14 13 35],[37 11 10 38],[36 12 12 36],[35 13 11 37],[36 12 12 36],[35 13 10 38],[36 12 13 35]
8,400,10,[36 12 11 37],[37 11 11 37],[36 12 12 36],[34 14 13 35],[37 11 11 37],[36 12 12 36],[34 14 11 37],[36 12 11 37],[34 14 10 38],[36 12 13 35]
9,500,5,[38 10 10 38],[36 12 11 37],[36 12 13 35],[35 13 13 35],[37 11 11 37],[37 11 13 35],[36 12 11 37],[36 12 13 35],[34 14 10 38],[36 12 14 34]
10,500,7,[37 11 10 38],[36 12 11 37],[35 13 11 37],[36 12 14 34],[36 12 10 38],[38 10 12 36],[37 11 11 37],[37 11 12 36],[34 14 10 38],[36 12 12 36]
11,500,10,[37 11 10 38],[36 12 12 36],[35 13 12 36],[35 13 14 34],[36 12 10 38],[38 10 12 36],[37 11 11 37],[37 11 12 36],[34 14 10 38],[36 12 13 35]
