,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[39  9 10 38],[35 13 10 38],[36 12 14 34],[36 12 14 34],[37 11 13 35],[36 12 11 37],[37 11 12 36],[36 12 13 35],[34 14 11 37],[37 11 13 35],0.7520833333333333,0.7544839212280656,0.7479166666666667,0.750894516796088,0.01346577738171203
1,200,7,[38 10 11 37],[36 12 10 38],[34 14 13 35],[36 12 12 36],[36 12 13 35],[35 13 11 37],[35 13 11 37],[36 12 12 36],[35 13 11 37],[37 11 12 36],0.7520833333333334,0.7492158054711247,0.7583333333333332,0.753615002159301,0.010668257983150842
2,200,10,[39  9 11 37],[36 12 11 37],[34 14 14 34],[36 12 12 36],[36 12 13 35],[35 13 11 37],[35 13 12 36],[36 12 13 35],[36 12 11 37],[39  9 13 35],0.7510416666666666,0.7532395366186169,0.7479166666666667,0.750326442955996,0.014044269733442128
3,300,5,[38 10 11 37],[36 12 10 38],[38 10 11 37],[36 12 13 35],[37 11 11 37],[35 13 13 35],[35 13 12 36],[36 12 13 35],[35 13 11 37],[36 12 12 36],0.7552083333333333,0.7548523664785064,0.75625,0.7554459233503493,0.012127950830953457
4,300,7,[36 12 10 38],[37 11 10 38],[35 13 10 38],[37 11 13 35],[36 12 11 37],[35 13 11 37],[35 13 11 37],[37 11 12 36],[35 13 10 38],[36 12 12 36],0.759375,0.7537635335355234,0.7708333333333333,0.7620035161551074,0.006551375786150421
5,300,10,[37 11 11 37],[38 10 12 36],[35 13 12 36],[36 12 13 35],[36 12 12 36],[35 13 11 37],[35 13 12 36],[37 11 13 35],[35 13 10 38],[36 12 12 36],0.7520833333333334,0.7513478239584456,0.7541666666666667,0.7525628627436152,0.007479395565464586
6,400,5,[39  9 10 38],[36 12 10 38],[36 12 12 36],[35 13 13 35],[37 11 10 38],[36 12 12 36],[35 13 11 37],[35 13 13 35],[35 13 10 38],[36 12 12 36],0.7572916666666668,0.7537452214928525,0.7645833333333333,0.7590127500547235,0.01424880870047445
7,400,7,[36 12 10 38],[37 11 11 37],[36 12 11 37],[34 14 13 35],[37 11 10 38],[36 12 12 36],[35 13 11 37],[36 12 12 36],[35 13 10 38],[36 12 13 35],0.7552083333333334,0.7505510182796523,0.7645833333333333,0.757400568828462,0.01130473652506924
8,400,10,[36 12 11 37],[37 11 11 37],[36 12 12 36],[34 14 13 35],[37 11 11 37],[36 12 12 36],[34 14 11 37],[36 12 11 37],[34 14 10 38],[36 12 13 35],0.7510416666666667,0.7467096740496526,0.7604166666666667,0.7533406199816943,0.010039466871389555
9,500,5,[38 10 10 38],[36 12 11 37],[36 12 13 35],[35 13 13 35],[37 11 11 37],[37 11 13 35],[36 12 11 37],[36 12 13 35],[34 14 10 38],[36 12 14 34],0.7520833333333333,0.752200168119621,0.7520833333333333,0.751920917945225,0.01234471446849387
10,500,7,[37 11 10 38],[36 12 11 37],[35 13 11 37],[36 12 14 34],[36 12 10 38],[38 10 12 36],[37 11 11 37],[37 11 12 36],[34 14 10 38],[36 12 12 36],0.759375,0.7569911386243816,0.7645833333333334,0.7605093769778376,0.009547032697824677
11,500,10,[37 11 10 38],[36 12 12 36],[35 13 12 36],[35 13 14 34],[36 12 10 38],[38 10 12 36],[37 11 11 37],[37 11 12 36],[34 14 10 38],[36 12 13 35],0.7552083333333333,0.7538457894578879,0.7583333333333333,0.7558600495889237,0.012127950830953457
