,N_Estimators,Max_Depth,Confusion Matrix Split 41,Confusion Matrix Split 42,Confusion Matrix Split 43,Confusion Matrix Split 44,Confusion Matrix Split 45,Confusion Matrix Split 46,Confusion Matrix Split 47,Confusion Matrix Split 48,Confusion Matrix Split 49,Confusion Matrix Split 50
0,200,5,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 2, 2]","[3, 1, 0, 5]","[1, 3, 0, 5]"
1,200,7,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 2, 3]","[3, 2, 2, 3]","[2, 3, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 1, 3]","[3, 1, 0, 5]","[1, 3, 0, 5]"
2,200,10,"[2, 3, 0, 5]","[5, 0, 4, 1]","[3, 2, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[3, 2, 1, 3]","[3, 1, 0, 5]","[1, 3, 0, 5]"
3,300,5,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[4, 1, 2, 3]","[2, 3, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 2, 2]","[3, 1, 0, 5]","[1, 3, 0, 5]"
4,300,7,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[4, 1, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 1, 3]","[3, 1, 0, 5]","[1, 3, 0, 5]"
5,300,10,"[2, 3, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 1, 3]","[3, 1, 0, 5]","[1, 3, 0, 5]"
6,400,5,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[4, 1, 2, 3]","[2, 3, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 2, 2]","[3, 1, 0, 5]","[1, 3, 0, 5]"
7,400,7,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[4, 1, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 1, 3]","[3, 1, 0, 5]","[1, 3, 0, 5]"
8,400,10,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[4, 1, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 1, 3]","[3, 1, 0, 5]","[1, 3, 0, 5]"
9,500,5,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[4, 1, 2, 3]","[2, 3, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 2, 2]","[3, 1, 0, 5]","[1, 3, 0, 5]"
10,500,7,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[4, 1, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 1, 3]","[3, 1, 0, 5]","[1, 3, 0, 5]"
11,500,10,"[3, 2, 0, 5]","[5, 0, 4, 1]","[3, 2, 1, 4]","[4, 1, 2, 3]","[2, 3, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 1, 3]","[3, 1, 0, 5]","[1, 3, 0, 5]"
