,N_Estimators,Max_Depth,Confusion Matrix Split 61,Confusion Matrix Split 62,Confusion Matrix Split 63,Confusion Matrix Split 64,Confusion Matrix Split 65,Confusion Matrix Split 66,Confusion Matrix Split 67,Confusion Matrix Split 68,Confusion Matrix Split 69,Confusion Matrix Split 70
0,200,5,"[5, 0, 0, 5]","[5, 0, 1, 4]","[1, 4, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[4, 0, 2, 3]"
1,200,7,"[5, 0, 0, 5]","[5, 0, 1, 4]","[1, 4, 0, 5]","[4, 1, 0, 5]","[4, 1, 3, 2]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[4, 0, 2, 3]"
2,200,10,"[5, 0, 0, 5]","[5, 0, 1, 4]","[1, 4, 0, 5]","[4, 1, 0, 5]","[4, 1, 3, 2]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[4, 0, 2, 3]"
3,300,5,"[5, 0, 0, 5]","[4, 1, 1, 4]","[1, 4, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[4, 1, 2, 3]","[1, 4, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[3, 1, 2, 3]"
4,300,7,"[5, 0, 0, 5]","[4, 1, 1, 4]","[1, 4, 0, 5]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[4, 0, 2, 3]"
5,300,10,"[5, 0, 0, 5]","[4, 1, 1, 4]","[1, 4, 1, 4]","[4, 1, 0, 5]","[4, 1, 3, 2]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[4, 0, 2, 3]"
6,400,5,"[5, 0, 0, 5]","[5, 0, 1, 4]","[1, 4, 1, 4]","[4, 1, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[1, 4, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[3, 1, 2, 3]"
7,400,7,"[4, 1, 0, 5]","[5, 0, 1, 4]","[1, 4, 1, 4]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[3, 1, 2, 3]"
8,400,10,"[4, 1, 0, 5]","[5, 0, 1, 4]","[1, 4, 1, 4]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[3, 1, 2, 3]"
9,500,5,"[5, 0, 0, 5]","[5, 0, 1, 4]","[1, 4, 1, 4]","[4, 1, 1, 4]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 1, 3]","[3, 1, 1, 4]","[3, 1, 2, 3]"
10,500,7,"[5, 0, 0, 5]","[5, 0, 1, 4]","[1, 4, 1, 4]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 2, 2]","[3, 1, 1, 4]","[3, 1, 2, 3]"
11,500,10,"[5, 0, 0, 5]","[5, 0, 1, 4]","[1, 4, 1, 4]","[4, 1, 0, 5]","[4, 1, 2, 3]","[4, 1, 2, 3]","[2, 3, 0, 4]","[4, 1, 2, 2]","[3, 1, 1, 4]","[3, 1, 2, 3]"
