,N_Estimators,Max_Depth,Confusion Matrix Split 91,Confusion Matrix Split 92,Confusion Matrix Split 93,Confusion Matrix Split 94,Confusion Matrix Split 95,Confusion Matrix Split 96,Confusion Matrix Split 97,Confusion Matrix Split 98,Confusion Matrix Split 99,Confusion Matrix Split 100
0,200,5,"[2, 3, 2, 3]","[4, 1, 0, 5]","[5, 0, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[3, 2, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
1,200,7,"[2, 3, 1, 4]","[4, 1, 0, 5]","[5, 0, 1, 4]","[5, 0, 2, 3]","[5, 0, 3, 2]","[3, 2, 0, 5]","[5, 0, 1, 3]","[3, 2, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
2,200,10,"[2, 3, 1, 4]","[4, 1, 0, 5]","[5, 0, 1, 4]","[4, 1, 2, 3]","[5, 0, 3, 2]","[3, 2, 0, 5]","[5, 0, 1, 3]","[4, 1, 2, 2]","[2, 2, 2, 3]","[3, 1, 2, 3]"
3,300,5,"[2, 3, 2, 3]","[4, 1, 0, 5]","[5, 0, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[3, 2, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
4,300,7,"[2, 3, 1, 4]","[4, 1, 0, 5]","[5, 0, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[4, 1, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
5,300,10,"[2, 3, 1, 4]","[4, 1, 0, 5]","[5, 0, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[4, 1, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
6,400,5,"[2, 3, 2, 3]","[4, 1, 0, 5]","[5, 0, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[3, 2, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
7,400,7,"[2, 3, 1, 4]","[4, 1, 0, 5]","[5, 0, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[4, 1, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
8,400,10,"[2, 3, 1, 4]","[4, 1, 0, 5]","[5, 0, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[3, 2, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
9,500,5,"[2, 3, 2, 3]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[4, 1, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
10,500,7,"[2, 3, 1, 4]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[5, 0, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
11,500,10,"[2, 3, 1, 4]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 2, 3]","[5, 0, 2, 3]","[3, 2, 0, 5]","[5, 0, 1, 3]","[5, 0, 2, 2]","[2, 2, 2, 3]","[3, 1, 3, 2]"
