,N_Estimators,Max_Depth,Confusion Matrix Split 31,Confusion Matrix Split 32,Confusion Matrix Split 33,Confusion Matrix Split 34,Confusion Matrix Split 35,Confusion Matrix Split 36,Confusion Matrix Split 37,Confusion Matrix Split 38,Confusion Matrix Split 39,Confusion Matrix Split 40
0,200,5,"[4, 1, 1, 4]","[4, 1, 0, 5]","[5, 0, 0, 5]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 2, 3]","[5, 0, 2, 2]","[2, 3, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
1,200,7,"[4, 1, 1, 4]","[4, 1, 0, 5]","[5, 0, 0, 5]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 1, 3]","[3, 2, 2, 2]","[2, 2, 2, 3]","[2, 2, 2, 3]"
2,200,10,"[4, 1, 1, 4]","[4, 1, 0, 5]","[5, 0, 0, 5]","[3, 2, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 1, 3]","[3, 2, 2, 2]","[2, 2, 2, 3]","[2, 2, 2, 3]"
3,300,5,"[4, 1, 1, 4]","[4, 1, 0, 5]","[5, 0, 0, 5]","[4, 1, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 2, 2]","[3, 2, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
4,300,7,"[4, 1, 1, 4]","[4, 1, 0, 5]","[5, 0, 0, 5]","[4, 1, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 1, 3]","[3, 2, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
5,300,10,"[4, 1, 1, 4]","[4, 1, 0, 5]","[5, 0, 0, 5]","[4, 1, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 1, 3]","[3, 2, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
6,400,5,"[4, 1, 1, 4]","[4, 1, 0, 5]","[5, 0, 0, 5]","[4, 1, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 2, 2]","[2, 3, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
7,400,7,"[4, 1, 2, 3]","[4, 1, 0, 5]","[4, 1, 0, 5]","[4, 1, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 1, 3]","[2, 3, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
8,400,10,"[4, 1, 2, 3]","[4, 1, 0, 5]","[5, 0, 0, 5]","[4, 1, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 1, 3]","[2, 3, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
9,500,5,"[4, 1, 1, 4]","[4, 1, 0, 5]","[5, 0, 0, 5]","[4, 1, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 2, 2]","[2, 3, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
10,500,7,"[4, 1, 1, 4]","[4, 1, 0, 5]","[4, 1, 0, 5]","[4, 1, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 1, 3]","[2, 3, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
11,500,10,"[4, 1, 1, 4]","[4, 1, 0, 5]","[5, 0, 0, 5]","[4, 1, 3, 2]","[4, 1, 0, 5]","[4, 1, 1, 4]","[5, 0, 1, 3]","[2, 3, 2, 2]","[2, 2, 1, 4]","[2, 2, 2, 3]"
