,Kernel,C,Gamma,Degree,Confusion Matrix Split 1,Confusion Matrix Split 2,Confusion Matrix Split 3,Confusion Matrix Split 4,Confusion Matrix Split 5,Confusion Matrix Split 6,Confusion Matrix Split 7,Confusion Matrix Split 8,Confusion Matrix Split 9,Confusion Matrix Split 10
0,linear,0.1,,,"[3, 2, 4, 1]","[3, 2, 3, 2]","[3, 2, 3, 2]","[3, 2, 1, 4]","[4, 1, 2, 3]","[1, 4, 2, 3]","[4, 1, 2, 2]","[3, 2, 2, 2]","[1, 3, 1, 4]","[2, 2, 2, 3]"
1,rbf,0.1,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
2,poly,0.1,1.0,2.0,"[4, 1, 4, 1]","[5, 0, 4, 1]","[2, 3, 1, 4]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 2, 3]","[4, 1, 3, 1]","[4, 1, 2, 2]","[3, 1, 2, 3]","[3, 1, 1, 4]"
3,poly,0.1,1.0,3.0,"[4, 1, 5, 0]","[5, 0, 4, 1]","[4, 1, 2, 3]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 4, 1]","[4, 1, 3, 1]","[4, 1, 3, 1]","[4, 0, 2, 3]","[3, 1, 3, 2]"
4,rbf,0.1,10.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
5,poly,0.1,10.0,2.0,"[4, 1, 4, 1]","[5, 0, 4, 1]","[2, 3, 1, 4]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 2, 3]","[4, 1, 3, 1]","[4, 1, 2, 2]","[3, 1, 2, 3]","[3, 1, 1, 4]"
6,poly,0.1,10.0,3.0,"[4, 1, 5, 0]","[5, 0, 4, 1]","[4, 1, 2, 3]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 4, 1]","[4, 1, 3, 1]","[4, 1, 3, 1]","[4, 0, 2, 3]","[3, 1, 3, 2]"
7,linear,1.0,,,"[3, 2, 3, 2]","[3, 2, 3, 2]","[3, 2, 3, 2]","[3, 2, 1, 4]","[4, 1, 2, 3]","[1, 4, 2, 3]","[4, 1, 2, 2]","[3, 2, 2, 2]","[1, 3, 1, 4]","[2, 2, 2, 3]"
8,rbf,1.0,1.0,,"[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
9,poly,1.0,1.0,2.0,"[4, 1, 4, 1]","[5, 0, 4, 1]","[2, 3, 1, 4]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 2, 3]","[4, 1, 3, 1]","[4, 1, 2, 2]","[3, 1, 2, 3]","[3, 1, 1, 4]"
10,poly,1.0,1.0,3.0,"[4, 1, 5, 0]","[5, 0, 4, 1]","[4, 1, 2, 3]","[4, 1, 3, 2]","[5, 0, 3, 2]","[2, 3, 4, 1]","[4, 1, 3, 1]","[4, 1, 3, 1]","[4, 0, 2, 3]","[3, 1, 3, 2]"
