,Kernel,C,Gamma,Degree,Confusion Matrix Split 37
0,linear,0.1,,,"[4, 1, 2, 2]"
1,rbf,0.1,1,,"[0, 5, 0, 4]"
2,poly,0.1,1,2,"[4, 1, 0, 4]"
3,poly,0.1,1,3,"[3, 2, 2, 2]"
4,rbf,0.1,10.0,,"[0, 5, 0, 4]"
5,poly,0.1,10.0,2,"[4, 1, 0, 4]"
6,poly,0.1,10.0,3,"[3, 2, 2, 2]"
7,linear,1,,,"[4, 1, 2, 2]"
8,rbf,1,1,,"[0, 5, 0, 4]"
9,poly,1,1,2,"[4, 1, 0, 4]"
10,poly,1,1,3,"[3, 2, 2, 2]"
11,rbf,1,10.0,,"[0, 5, 0, 4]"
12,poly,1,10.0,2,"[4, 1, 0, 4]"
13,poly,1,10.0,3,"[3, 2, 2, 2]"
14,linear,10.0,,,"[4, 1, 2, 2]"
15,rbf,10.0,1,,"[0, 5, 0, 4]"
16,poly,10.0,1,2,"[4, 1, 0, 4]"
17,poly,10.0,1,3,"[3, 2, 2, 2]"
18,rbf,10.0,10.0,,"[0, 5, 0, 4]"
19,poly,10.0,10.0,2,"[4, 1, 0, 4]"
20,poly,10.0,10.0,3,"[3, 2, 2, 2]"
21,linear,100.0,,,"[4, 1, 2, 2]"
22,rbf,100.0,1,,"[0, 5, 0, 4]"
23,poly,100.0,1,2,"[4, 1, 0, 4]"
24,poly,100.0,1,3,"[3, 2, 2, 2]"
25,rbf,100.0,10.0,,"[0, 5, 0, 4]"
26,poly,100.0,10.0,2,"[4, 1, 0, 4]"
27,poly,100.0,10.0,3,"[3, 2, 2, 2]"
28,linear,1000.0,,,"[4, 1, 2, 2]"
29,rbf,1000.0,1,,"[0, 5, 0, 4]"
30,poly,1000.0,1,2,"[4, 1, 0, 4]"
31,poly,1000.0,1,3,"[3, 2, 2, 2]"
32,rbf,1000.0,10.0,,"[0, 5, 0, 4]"
33,poly,1000.0,10.0,2,"[4, 1, 0, 4]"
34,poly,1000.0,10.0,3,"[3, 2, 2, 2]"
