,Kernel,C,Gamma,Degree,Confusion Matrix Split 80
0,linear,0.1,,,"[3, 1, 4, 1]"
1,rbf,0.1,1,,"[4, 0, 5, 0]"
2,poly,0.1,1,2,"[3, 1, 3, 2]"
3,poly,0.1,1,3,"[3, 1, 3, 2]"
4,rbf,0.1,10.0,,"[4, 0, 5, 0]"
5,poly,0.1,10.0,2,"[3, 1, 3, 2]"
6,poly,0.1,10.0,3,"[3, 1, 3, 2]"
7,linear,1,,,"[3, 1, 4, 1]"
8,rbf,1,1,,"[4, 0, 5, 0]"
9,poly,1,1,2,"[3, 1, 3, 2]"
10,poly,1,1,3,"[3, 1, 3, 2]"
11,rbf,1,10.0,,"[4, 0, 5, 0]"
12,poly,1,10.0,2,"[3, 1, 3, 2]"
13,poly,1,10.0,3,"[3, 1, 3, 2]"
14,linear,10.0,,,"[3, 1, 4, 1]"
15,rbf,10.0,1,,"[4, 0, 5, 0]"
16,poly,10.0,1,2,"[3, 1, 3, 2]"
17,poly,10.0,1,3,"[3, 1, 3, 2]"
18,rbf,10.0,10.0,,"[4, 0, 5, 0]"
19,poly,10.0,10.0,2,"[3, 1, 3, 2]"
20,poly,10.0,10.0,3,"[3, 1, 3, 2]"
21,linear,100.0,,,"[3, 1, 4, 1]"
22,rbf,100.0,1,,"[4, 0, 5, 0]"
23,poly,100.0,1,2,"[3, 1, 3, 2]"
24,poly,100.0,1,3,"[3, 1, 3, 2]"
25,rbf,100.0,10.0,,"[4, 0, 5, 0]"
26,poly,100.0,10.0,2,"[3, 1, 3, 2]"
27,poly,100.0,10.0,3,"[3, 1, 3, 2]"
28,linear,1000.0,,,"[3, 1, 4, 1]"
29,rbf,1000.0,1,,"[4, 0, 5, 0]"
30,poly,1000.0,1,2,"[3, 1, 3, 2]"
31,poly,1000.0,1,3,"[3, 1, 3, 2]"
32,rbf,1000.0,10.0,,"[4, 0, 5, 0]"
33,poly,1000.0,10.0,2,"[3, 1, 3, 2]"
34,poly,1000.0,10.0,3,"[3, 1, 3, 2]"
