,Max_depth,N_estimators,Confusion Matrix Split 27
0,3,50,"[1, 4, 2, 2]"
1,3,183,"[2, 3, 2, 2]"
2,3,316,"[2, 3, 2, 2]"
3,3,450,"[1, 4, 3, 1]"
4,4,50,"[2, 3, 3, 1]"
5,4,183,"[2, 3, 3, 1]"
6,4,316,"[2, 3, 3, 1]"
7,4,450,"[1, 4, 3, 1]"
8,5,50,"[2, 3, 3, 1]"
9,5,183,"[2, 3, 3, 1]"
10,5,316,"[2, 3, 3, 1]"
11,5,450,"[1, 4, 3, 1]"
12,6,50,"[2, 3, 3, 1]"
13,6,183,"[2, 3, 3, 1]"
14,6,316,"[2, 3, 3, 1]"
15,6,450,"[1, 4, 3, 1]"
16,7,50,"[2, 3, 3, 1]"
17,7,183,"[2, 3, 3, 1]"
18,7,316,"[2, 3, 3, 1]"
19,7,450,"[1, 4, 3, 1]"
