,Max_depth,N_estimators,Confusion Matrix Split 41,Confusion Matrix Split 42,Confusion Matrix Split 43,Confusion Matrix Split 44,Confusion Matrix Split 45,Confusion Matrix Split 46,Confusion Matrix Split 47,Confusion Matrix Split 48,Confusion Matrix Split 49,Confusion Matrix Split 50
0,3,50,"[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[2, 3, 3, 1]","[4, 0, 0, 5]","[1, 3, 1, 4]"
1,3,183,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 1, 4]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[1, 4, 2, 2]","[2, 3, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
2,3,316,"[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 1, 4]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[1, 4, 2, 2]","[2, 3, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
3,3,450,"[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[1, 4, 2, 2]","[2, 3, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
4,4,50,"[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 1, 4]","[1, 3, 0, 5]"
5,4,183,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
6,4,316,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
7,4,450,"[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
8,5,50,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
9,5,183,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 1, 4]","[1, 3, 1, 4]"
10,5,316,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 1, 4]","[1, 3, 1, 4]"
11,5,450,"[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 1, 4]","[4, 1, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 1, 4]","[1, 3, 1, 4]"
12,6,50,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
13,6,183,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
14,6,316,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 1, 4]","[1, 3, 1, 4]"
15,6,450,"[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 1, 4]","[4, 1, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 1, 4]","[1, 3, 1, 4]"
16,7,50,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
17,7,183,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 0, 5]","[1, 3, 1, 4]"
18,7,316,"[3, 2, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 1, 4]","[1, 3, 1, 4]"
19,7,450,"[2, 3, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[2, 3, 2, 3]","[3, 2, 1, 4]","[4, 1, 2, 3]","[1, 4, 2, 2]","[3, 2, 3, 1]","[3, 1, 1, 4]","[1, 3, 1, 4]"
