,Max_depth,N_estimators,Confusion Matrix Split 21,Confusion Matrix Split 22,Confusion Matrix Split 23,Confusion Matrix Split 24,Confusion Matrix Split 25,Confusion Matrix Split 26,Confusion Matrix Split 27,Confusion Matrix Split 28,Confusion Matrix Split 29,Confusion Matrix Split 30
0,3,50,"[4, 1, 2, 3]","[4, 1, 2, 3]","[3, 2, 2, 3]","[5, 0, 2, 3]","[4, 1, 2, 3]","[3, 2, 1, 4]","[1, 4, 2, 2]","[4, 1, 0, 4]","[2, 2, 0, 5]","[4, 0, 1, 4]"
1,3,183,"[4, 1, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[3, 1, 2, 3]","[4, 0, 1, 4]"
2,3,316,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[3, 1, 2, 3]","[3, 1, 0, 5]"
3,3,450,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[4, 1, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[3, 1, 2, 3]","[3, 1, 0, 5]"
4,4,50,"[4, 1, 2, 3]","[4, 1, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[2, 2, 0, 5]","[4, 0, 1, 4]"
5,4,183,"[3, 2, 1, 4]","[4, 1, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[1, 4, 0, 4]","[2, 2, 2, 3]","[4, 0, 1, 4]"
6,4,316,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[2, 3, 0, 4]","[2, 2, 2, 3]","[4, 0, 1, 4]"
7,4,450,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[2, 3, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
8,5,50,"[4, 1, 2, 3]","[4, 1, 2, 3]","[3, 2, 2, 3]","[5, 0, 2, 3]","[4, 1, 1, 4]","[2, 3, 1, 4]","[2, 3, 2, 2]","[4, 1, 0, 4]","[2, 2, 1, 4]","[4, 0, 1, 4]"
9,5,183,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[2, 3, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[4, 0, 1, 4]"
10,5,316,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[4, 0, 1, 4]"
11,5,450,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
12,6,50,"[4, 1, 2, 3]","[4, 1, 2, 3]","[3, 2, 2, 3]","[5, 0, 2, 3]","[4, 1, 1, 4]","[2, 3, 1, 4]","[2, 3, 2, 2]","[4, 1, 0, 4]","[2, 2, 1, 4]","[4, 0, 1, 4]"
13,6,183,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[2, 3, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[4, 0, 1, 4]"
14,6,316,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[4, 0, 1, 4]"
15,6,450,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[3, 1, 1, 4]"
16,7,50,"[4, 1, 2, 3]","[4, 1, 2, 3]","[3, 2, 2, 3]","[5, 0, 2, 3]","[4, 1, 1, 4]","[2, 3, 1, 4]","[2, 3, 2, 2]","[4, 1, 0, 4]","[2, 2, 1, 4]","[4, 0, 1, 4]"
17,7,183,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[2, 3, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[4, 0, 1, 4]"
18,7,316,"[3, 2, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[4, 1, 2, 3]","[4, 1, 1, 4]","[3, 2, 1, 4]","[2, 3, 2, 2]","[3, 2, 0, 4]","[2, 2, 2, 3]","[4, 0, 1, 4]"
