,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[38 10 14 34],[38 10 12 36],[35 13 12 36],[37 11 13 35],[37 11 15 33],[34 14 13 35],[35 13 13 35],[35 13 12 36],[35 13 13 35],[35 13 13 35],0.7385416666666668,0.7437379002984594,0.7291666666666667,0.7360845604013084,0.009547032697824679
1,200,7,[37 11 15 33],[38 10 12 36],[35 13 12 36],[36 12 14 34],[36 12 14 34],[36 12 12 36],[37 11 12 36],[37 11 12 36],[35 13 12 36],[34 14 14 34],0.7416666666666666,0.7470505547269786,0.73125,0.7388816151286404,0.011947673982003646
2,200,10,[37 11 14 34],[37 11 12 36],[33 15 12 36],[36 12 14 34],[36 12 15 33],[36 12 12 36],[37 11 12 36],[37 11 11 37],[34 14 15 33],[35 13 14 34],0.7364583333333333,0.7412181818456645,0.7270833333333333,0.7338686320452655,0.014910354551099925
3,300,5,[37 11 15 33],[37 11 10 38],[35 13 12 36],[37 11 12 36],[38 10 15 33],[34 14 14 34],[36 12 14 34],[33 15 12 36],[34 14 13 35],[35 13 13 35],0.7354166666666667,0.739040189091578,0.7291666666666667,0.7336160429468904,0.01360827634879543
4,300,7,[38 10 15 33],[39  9 13 35],[35 13 14 34],[35 13 13 35],[36 12 15 33],[35 13 13 35],[38 10 14 34],[35 13 14 34],[35 13 14 34],[35 13 12 36],0.7333333333333333,0.7432196988822068,0.7145833333333332,0.7282921940252641,0.010847568994314808
5,300,10,[37 11 15 33],[37 11 10 38],[35 13 13 35],[38 10 15 33],[36 12 15 33],[35 13 13 35],[38 10 13 35],[35 13 14 34],[37 11 15 33],[35 13 13 35],0.7364583333333334,0.746496743097701,0.7166666666666667,0.7309217553691612,0.012441995046645083
6,400,5,[37 11 13 35],[37 11 12 36],[36 12 13 35],[37 11 13 35],[37 11 15 33],[36 12 14 34],[37 11 13 35],[35 13 13 35],[34 14 12 36],[35 13 13 35],0.7395833333333334,0.7460710761640457,0.7270833333333334,0.7362602165848081,0.007607257743127313
7,400,7,[38 10 12 36],[39  9 13 35],[36 12 13 35],[38 10 14 34],[36 12 14 34],[35 13 12 36],[37 11 13 35],[35 13 14 34],[35 13 15 33],[35 13 12 36],0.7416666666666666,0.7505654679666838,0.725,0.7373337874187553,0.012729376930432891
8,400,10,[37 11 13 35],[37 11 13 35],[36 12 13 35],[37 11 15 33],[36 12 15 33],[36 12 13 35],[38 10 13 35],[35 13 14 34],[34 14 15 33],[35 13 13 35],0.7333333333333334,0.7426910525233837,0.7145833333333333,0.7282495790855792,0.011702985796078279
9,500,5,[38 10 13 35],[37 11 11 37],[36 12 13 35],[37 11 13 35],[37 11 15 33],[37 11 14 34],[35 13 13 35],[35 13 13 35],[34 14 13 35],[35 13 13 35],0.7395833333333334,0.7461502797233603,0.7270833333333334,0.7362768046286166,0.010300275676521762
10,500,7,[38 10 13 35],[39  9 13 35],[36 12 13 35],[38 10 13 35],[36 12 14 34],[36 12 14 34],[36 12 12 36],[35 13 14 34],[34 14 13 35],[35 13 12 36],0.7416666666666666,0.7496335668795032,0.7270833333333333,0.7379603524662276,0.011536977587386216
11,500,10,[37 11 15 33],[37 11 12 36],[35 13 13 35],[37 11 14 34],[37 11 15 33],[36 12 13 35],[37 11 13 35],[34 14 14 34],[36 12 14 34],[35 13 13 35],0.734375,0.7432860520094563,0.7166666666666667,0.7295454019549485,0.00892030040185078
