,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,200,5,[28 20 16 32],[35 13 11 37],[29 19 18 30],[34 14 17 31],[32 16 14 34],[26 22 18 30],[34 14 14 34],[33 15 16 32],[28 20 14 34],[33 15 16 32]
1,200,7,[30 18 18 30],[33 15 12 36],[31 17 19 29],[33 15 17 31],[31 17 14 34],[28 20 16 32],[34 14 14 34],[31 17 14 34],[28 20 14 34],[33 15 14 34]
2,200,10,[30 18 19 29],[35 13 10 38],[31 17 18 30],[34 14 16 32],[30 18 14 34],[29 19 18 30],[33 15 15 33],[33 15 16 32],[27 21 14 34],[34 14 15 33]
3,300,5,[28 20 17 31],[36 12 12 36],[30 18 18 30],[35 13 16 32],[32 16 14 34],[27 21 17 31],[33 15 17 31],[34 14 17 31],[28 20 14 34],[32 16 15 33]
4,300,7,[29 19 17 31],[34 14 11 37],[30 18 19 29],[34 14 18 30],[33 15 13 35],[29 19 16 32],[35 13 16 32],[32 16 17 31],[27 21 14 34],[33 15 14 34]
5,300,10,[29 19 18 30],[35 13 10 38],[29 19 17 31],[35 13 15 33],[31 17 13 35],[28 20 18 30],[31 17 16 32],[33 15 16 32],[27 21 14 34],[34 14 16 32]
6,400,5,[29 19 18 30],[35 13 12 36],[30 18 16 32],[36 12 15 33],[32 16 14 34],[28 20 17 31],[34 14 17 31],[33 15 17 31],[28 20 14 34],[34 14 14 34]
7,400,7,[28 20 18 30],[36 12 12 36],[30 18 17 31],[32 16 18 30],[33 15 13 35],[27 21 16 32],[33 15 16 32],[34 14 16 32],[27 21 14 34],[34 14 13 35]
8,400,10,[29 19 19 29],[36 12 10 38],[30 18 18 30],[33 15 15 33],[33 15 13 35],[28 20 17 31],[32 16 16 32],[31 17 16 32],[27 21 13 35],[35 13 15 33]
9,500,5,[29 19 17 31],[35 13 12 36],[31 17 17 31],[36 12 14 34],[32 16 14 34],[27 21 16 32],[33 15 16 32],[34 14 16 32],[28 20 15 33],[33 15 14 34]
10,500,7,[30 18 19 29],[34 14 12 36],[28 20 16 32],[33 15 17 31],[33 15 13 35],[27 21 16 32],[34 14 16 32],[33 15 17 31],[28 20 14 34],[33 15 13 35]
11,500,10,[28 20 19 29],[35 13 11 37],[31 17 17 31],[34 14 15 33],[32 16 13 35],[28 20 18 30],[32 16 16 32],[32 16 17 31],[27 21 13 35],[35 13 13 35]
