,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[28 20 16 32],[35 13 11 37],[29 19 18 30],[34 14 17 31],[32 16 14 34],[26 22 18 30],[34 14 14 34],[33 15 16 32],[28 20 14 34],[33 15 16 32],0.6645833333333333,0.6613106569778303,0.6791666666666667,0.6696571380586962,0.030712978315966633
1,200,7,[30 18 18 30],[33 15 12 36],[31 17 19 29],[33 15 17 31],[31 17 14 34],[28 20 16 32],[34 14 14 34],[31 17 14 34],[28 20 14 34],[33 15 14 34],0.6666666666666666,0.6615788641729454,0.6833333333333332,0.6718636773526004,0.022395160411940413
2,200,10,[30 18 19 29],[35 13 10 38],[31 17 18 30],[34 14 16 32],[30 18 14 34],[29 19 18 30],[33 15 15 33],[33 15 16 32],[27 21 14 34],[34 14 15 33],0.6677083333333333,0.6650820955456311,0.6770833333333333,0.6705305023084238,0.028370414188632627
3,300,5,[28 20 17 31],[36 12 12 36],[30 18 18 30],[35 13 16 32],[32 16 14 34],[27 21 17 31],[33 15 17 31],[34 14 17 31],[28 20 14 34],[32 16 15 33],0.6645833333333332,0.6636009044271741,0.6729166666666666,0.6676632392846249,0.02774303382699747
4,300,7,[29 19 17 31],[34 14 11 37],[30 18 19 29],[34 14 18 30],[33 15 13 35],[29 19 16 32],[35 13 16 32],[32 16 17 31],[27 21 14 34],[33 15 14 34],0.6677083333333333,0.6654525583282959,0.6770833333333333,0.6705607122833005,0.026251469682549725
5,300,10,[29 19 18 30],[35 13 10 38],[29 19 17 31],[35 13 15 33],[31 17 13 35],[28 20 18 30],[31 17 16 32],[33 15 16 32],[27 21 14 34],[34 14 16 32],0.665625,0.6615557445014064,0.68125,0.6707782351012213,0.030500265633330203
6,400,5,[29 19 18 30],[35 13 12 36],[30 18 16 32],[36 12 15 33],[32 16 14 34],[28 20 17 31],[34 14 17 31],[33 15 17 31],[28 20 14 34],[34 14 14 34],0.6718749999999999,0.6708880141428553,0.6791666666666665,0.6744944698147484,0.02694050658509836
7,400,7,[28 20 18 30],[36 12 12 36],[30 18 17 31],[32 16 18 30],[33 15 13 35],[27 21 16 32],[33 15 16 32],[34 14 16 32],[27 21 14 34],[34 14 13 35],0.6677083333333333,0.6647571329383991,0.6812500000000001,0.6724046042303382,0.03050026563333021
8,400,10,[29 19 19 29],[36 12 10 38],[30 18 18 30],[33 15 15 33],[33 15 13 35],[28 20 17 31],[32 16 16 32],[31 17 16 32],[27 21 13 35],[35 13 15 33],0.66875,0.6646628999425858,0.6833333333333333,0.6734390275047688,0.032394177193585005
9,500,5,[29 19 17 31],[35 13 12 36],[31 17 17 31],[36 12 14 34],[32 16 14 34],[27 21 16 32],[33 15 16 32],[34 14 16 32],[28 20 15 33],[33 15 14 34],0.6739583333333334,0.6716453528769825,0.6854166666666668,0.6780731157196935,0.02708333333333333
10,500,7,[30 18 19 29],[34 14 12 36],[28 20 16 32],[33 15 17 31],[33 15 13 35],[27 21 16 32],[34 14 16 32],[33 15 17 31],[28 20 14 34],[33 15 13 35],0.6666666666666667,0.6629287367385215,0.68125,0.6714121654915224,0.02616867177974551
11,500,10,[28 20 19 29],[35 13 11 37],[31 17 17 31],[34 14 15 33],[32 16 13 35],[28 20 18 30],[32 16 16 32],[32 16 17 31],[27 21 13 35],[35 13 13 35],0.66875,0.6646480038824041,0.6833333333333333,0.6734467800972336,0.031944444444444435
