,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,200,5,[36 12 14 34],[38 10 12 36],[35 13 12 36],[37 11 11 37],[36 12 12 36],[36 12 12 36],[36 12 11 37],[34 14 12 36],[35 13 13 35],[38 10 14 34]
1,200,7,[36 12 16 32],[38 10 14 34],[37 11  9 39],[37 11 13 35],[36 12 12 36],[37 11 13 35],[36 12 10 38],[35 13 13 35],[36 12 13 35],[36 12 13 35]
2,200,10,[36 12 17 31],[39  9 15 33],[37 11  9 39],[37 11 13 35],[36 12 14 34],[37 11 14 34],[36 12 10 38],[35 13 12 36],[37 11 13 35],[36 12 13 35]
3,300,5,[38 10 13 35],[36 12 11 37],[37 11  9 39],[36 12 12 36],[37 11 11 37],[36 12 13 35],[33 15 11 37],[34 14 11 37],[35 13 13 35],[37 11 12 36]
4,300,7,[38 10 14 34],[37 11 13 35],[37 11  9 39],[37 11 13 35],[37 11 11 37],[36 12 14 34],[35 13  9 39],[35 13 11 37],[36 12 12 36],[38 10 13 35]
5,300,10,[39  9 14 34],[37 11 14 34],[38 10  9 39],[37 11 12 36],[37 11 12 36],[36 12 14 34],[35 13 11 37],[35 13 11 37],[36 12 12 36],[37 11 14 34]
6,400,5,[38 10 13 35],[36 12 12 36],[35 13 10 38],[36 12 13 35],[37 11 12 36],[36 12 13 35],[34 14 11 37],[33 15 12 36],[36 12 12 36],[37 11 12 36]
7,400,7,[38 10 14 34],[35 13 15 33],[36 12 10 38],[36 12 13 35],[37 11 14 34],[37 11 14 34],[34 14 10 38],[35 13 11 37],[35 13 11 37],[37 11 13 35]
8,400,10,[38 10 15 33],[35 13 15 33],[35 13  9 39],[36 12 13 35],[37 11 13 35],[36 12 14 34],[34 14 10 38],[34 14 11 37],[35 13 11 37],[37 11 13 35]
9,500,5,[38 10 13 35],[36 12 12 36],[35 13 11 37],[36 12 13 35],[36 12 12 36],[36 12 13 35],[35 13 11 37],[34 14 11 37],[35 13 13 35],[36 12 13 35]
10,500,7,[38 10 14 34],[36 12 13 35],[37 11 11 37],[38 10 13 35],[36 12 13 35],[36 12 14 34],[35 13 11 37],[35 13 11 37],[34 14 11 37],[36 12 13 35]
11,500,10,[38 10 14 34],[36 12 12 36],[36 12 11 37],[37 11 13 35],[37 11 14 34],[36 12 14 34],[35 13 11 37],[36 12 11 37],[34 14 11 37],[36 12 13 35]
