,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[36 12 14 34],[38 10 12 36],[35 13 12 36],[37 11 11 37],[36 12 12 36],[36 12 12 36],[36 12 11 37],[34 14 12 36],[35 13 13 35],[38 10 14 34],0.7479166666666668,0.7504262321529402,0.74375,0.7468340653636546,0.010206207261596587
1,200,7,[36 12 16 32],[38 10 14 34],[37 11  9 39],[37 11 13 35],[36 12 12 36],[37 11 13 35],[36 12 10 38],[35 13 13 35],[36 12 13 35],[36 12 13 35],0.7479166666666666,0.753026749922911,0.7375,0.7448423759444864,0.014163943093313284
2,200,10,[36 12 17 31],[39  9 15 33],[37 11  9 39],[37 11 13 35],[36 12 14 34],[37 11 14 34],[36 12 10 38],[35 13 12 36],[37 11 13 35],[36 12 13 35],0.7458333333333332,0.7542444367660222,0.7291666666666667,0.740913948572659,0.015590239111558091
3,300,5,[38 10 13 35],[36 12 11 37],[37 11  9 39],[36 12 12 36],[37 11 11 37],[36 12 13 35],[33 15 11 37],[34 14 11 37],[35 13 13 35],[37 11 12 36],0.753125,0.7510546774083338,0.7583333333333333,0.7543704726908105,0.012441995046645078
4,300,7,[38 10 14 34],[37 11 13 35],[37 11  9 39],[37 11 13 35],[37 11 11 37],[36 12 14 34],[35 13  9 39],[35 13 11 37],[36 12 12 36],[38 10 13 35],0.7572916666666667,0.7602207949055776,0.7520833333333333,0.7556438305769027,0.010780676872402795
5,300,10,[39  9 14 34],[37 11 14 34],[38 10  9 39],[37 11 12 36],[37 11 12 36],[36 12 14 34],[35 13 11 37],[35 13 11 37],[36 12 12 36],[37 11 14 34],0.7541666666666667,0.7598772481276284,0.7437499999999999,0.7513139860626816,0.012500000000000004
6,400,5,[38 10 13 35],[36 12 12 36],[35 13 10 38],[36 12 13 35],[37 11 12 36],[36 12 13 35],[34 14 11 37],[33 15 12 36],[36 12 12 36],[37 11 12 36],0.7479166666666666,0.7475524961757752,0.7499999999999999,0.7484586098677779,0.008673608331108872
7,400,7,[38 10 14 34],[35 13 15 33],[36 12 10 38],[36 12 13 35],[37 11 14 34],[37 11 14 34],[34 14 10 38],[35 13 11 37],[35 13 11 37],[37 11 13 35],0.7447916666666667,0.7477549335236662,0.7395833333333333,0.7430860927796199,0.009942931293941908
8,400,10,[38 10 15 33],[35 13 15 33],[35 13  9 39],[36 12 13 35],[37 11 13 35],[36 12 14 34],[34 14 10 38],[34 14 11 37],[35 13 11 37],[37 11 13 35],0.7427083333333333,0.7436643007941826,0.7416666666666666,0.7419587235850233,0.010323658852304515
9,500,5,[38 10 13 35],[36 12 12 36],[35 13 11 37],[36 12 13 35],[36 12 12 36],[36 12 13 35],[35 13 11 37],[34 14 11 37],[35 13 13 35],[36 12 13 35],0.7447916666666666,0.7446477193714366,0.7458333333333333,0.7450059983606551,0.005598790102985097
10,500,7,[38 10 14 34],[36 12 13 35],[37 11 11 37],[38 10 13 35],[36 12 13 35],[36 12 14 34],[35 13 11 37],[35 13 11 37],[34 14 11 37],[36 12 13 35],0.746875,0.7500001567890914,0.7416666666666666,0.7454261340374975,0.007638888888888887
11,500,10,[38 10 14 34],[36 12 12 36],[36 12 11 37],[37 11 13 35],[37 11 14 34],[36 12 14 34],[35 13 11 37],[36 12 11 37],[34 14 11 37],[36 12 13 35],0.746875,0.7498657957057742,0.7416666666666666,0.7453590426295033,0.006249999999999992
