,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,200,5,[39  9 14 34],[38 10 13 35],[37 11 15 33],[37 11 13 35],[36 12 17 31],[36 12 13 35],[36 12 15 33],[38 10 15 33],[36 12 12 36],[37 11 15 33]
1,200,7,[38 10 14 34],[39  9 11 37],[34 14 15 33],[37 11 15 33],[37 11 16 32],[37 11 13 35],[38 10 14 34],[37 11 15 33],[35 13 15 33],[37 11 15 33]
2,200,10,[39  9 14 34],[38 10 13 35],[34 14 15 33],[37 11 14 34],[37 11 15 33],[36 12 13 35],[38 10 14 34],[37 11 15 33],[35 13 15 33],[37 11 14 34]
3,300,5,[38 10 13 35],[38 10 13 35],[34 14 15 33],[38 10 14 34],[36 12 15 33],[36 12 15 33],[37 11 14 34],[38 10 14 34],[34 14 14 34],[37 11 15 33]
4,300,7,[38 10 15 33],[39  9 13 35],[34 14 15 33],[38 10 13 35],[35 13 16 32],[37 11 15 33],[38 10 14 34],[35 13 15 33],[35 13 14 34],[38 10 14 34]
5,300,10,[38 10 16 32],[37 11 13 35],[34 14 16 32],[38 10 13 35],[35 13 16 32],[36 12 16 32],[38 10 14 34],[35 13 14 34],[35 13 14 34],[38 10 14 34]
6,400,5,[38 10 13 35],[39  9 13 35],[35 13 15 33],[38 10 12 36],[36 12 15 33],[36 12 14 34],[37 11 14 34],[38 10 14 34],[34 14 15 33],[37 11 15 33]
7,400,7,[38 10 15 33],[38 10 13 35],[35 13 15 33],[37 11 12 36],[36 12 15 33],[37 11 13 35],[38 10 14 34],[37 11 14 34],[34 14 14 34],[38 10 14 34]
8,400,10,[38 10 15 33],[37 11 13 35],[35 13 15 33],[38 10 12 36],[36 12 14 34],[36 12 16 32],[38 10 14 34],[39  9 14 34],[34 14 14 34],[37 11 14 34]
9,500,5,[38 10 14 34],[39  9 13 35],[35 13 15 33],[38 10 13 35],[37 11 16 32],[36 12 15 33],[38 10 14 34],[37 11 14 34],[35 13 14 34],[37 11 15 33]
10,500,7,[38 10 15 33],[38 10 12 36],[36 12 15 33],[37 11 14 34],[35 13 15 33],[37 11 15 33],[37 11 14 34],[36 12 14 34],[34 14 14 34],[38 10 14 34]
11,500,10,[38 10 15 33],[38 10 12 36],[36 12 15 33],[38 10 14 34],[35 13 14 34],[37 11 15 33],[37 11 14 34],[38 10 14 34],[34 14 14 34],[38 10 14 34]
