,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[39  9 14 34],[38 10 13 35],[37 11 15 33],[37 11 13 35],[36 12 17 31],[36 12 13 35],[36 12 15 33],[38 10 15 33],[36 12 12 36],[37 11 15 33],0.7375,0.7545731294834193,0.7041666666666667,0.7282517310266643,0.012344714468493875
1,200,7,[38 10 14 34],[39  9 11 37],[34 14 15 33],[37 11 15 33],[37 11 16 32],[37 11 13 35],[38 10 14 34],[37 11 15 33],[35 13 15 33],[37 11 15 33],0.7354166666666667,0.7524376947192815,0.7020833333333333,0.7262510881202151,0.016782008296659125
2,200,10,[39  9 14 34],[38 10 13 35],[34 14 15 33],[37 11 14 34],[37 11 15 33],[36 12 13 35],[38 10 14 34],[37 11 15 33],[35 13 15 33],[37 11 14 34],0.7354166666666666,0.7516513651020891,0.7041666666666666,0.7269926161114757,0.012880025688188475
3,300,5,[38 10 13 35],[38 10 13 35],[34 14 15 33],[38 10 14 34],[36 12 15 33],[36 12 15 33],[37 11 14 34],[38 10 14 34],[34 14 14 34],[37 11 15 33],0.7333333333333333,0.7483693316140124,0.7041666666666665,0.7254636327846263,0.013958160584890121
4,300,7,[38 10 15 33],[39  9 13 35],[34 14 15 33],[38 10 13 35],[35 13 16 32],[37 11 15 33],[38 10 14 34],[35 13 15 33],[35 13 14 34],[38 10 14 34],0.7322916666666666,0.7490163059504539,0.7,0.7235310654822865,0.016448221225454186
5,300,10,[38 10 16 32],[37 11 13 35],[34 14 16 32],[38 10 13 35],[35 13 16 32],[36 12 16 32],[38 10 14 34],[35 13 14 34],[35 13 14 34],[38 10 14 34],0.7270833333333333,0.7426851173289657,0.6958333333333332,0.7182995231905174,0.01577474540500076
6,400,5,[38 10 13 35],[39  9 13 35],[35 13 15 33],[38 10 12 36],[36 12 15 33],[36 12 14 34],[37 11 14 34],[38 10 14 34],[34 14 15 33],[37 11 15 33],0.7375,0.7526106579205561,0.7083333333333333,0.7297165895251991,0.01607755125387532
7,400,7,[38 10 15 33],[38 10 13 35],[35 13 15 33],[37 11 12 36],[36 12 15 33],[37 11 13 35],[38 10 14 34],[37 11 14 34],[34 14 14 34],[38 10 14 34],0.7385416666666667,0.7532114722293389,0.7104166666666665,0.7310120562750453,0.012596081352234051
8,400,10,[38 10 15 33],[37 11 13 35],[35 13 15 33],[38 10 12 36],[36 12 14 34],[36 12 16 32],[38 10 14 34],[39  9 14 34],[34 14 14 34],[37 11 14 34],0.7364583333333333,0.7522028423772609,0.7062499999999999,0.728299642302134,0.01424880870047443
9,500,5,[38 10 14 34],[39  9 13 35],[35 13 15 33],[38 10 13 35],[37 11 16 32],[36 12 15 33],[38 10 14 34],[37 11 14 34],[35 13 14 34],[37 11 15 33],0.7364583333333334,0.7542557363754361,0.7020833333333332,0.7271283962782592,0.013194444444444441
10,500,7,[38 10 15 33],[38 10 12 36],[36 12 15 33],[37 11 14 34],[35 13 15 33],[37 11 15 33],[37 11 14 34],[36 12 14 34],[34 14 14 34],[38 10 14 34],0.7333333333333334,0.7482077345752774,0.7041666666666666,0.7253662170193309,0.012108052620946316
11,500,10,[38 10 15 33],[38 10 12 36],[36 12 15 33],[38 10 14 34],[35 13 14 34],[37 11 15 33],[37 11 14 34],[38 10 14 34],[34 14 14 34],[38 10 14 34],0.7375,0.7538858851840479,0.7062499999999999,0.7290997802850195,0.011947673982003651
