,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,200,5,[35 13 11 37],[35 13 11 37],[36 12 12 36],[35 13 13 35],[35 13 11 37],[37 11 12 36],[35 13 11 37],[33 15 11 37],[35 13 12 36],[36 12 11 37],0.746875,0.7406458493380985,0.7604166666666666,0.7502624205949335,0.0069790802924450624
1,200,7,[35 13 11 37],[35 13 12 36],[36 12 13 35],[36 12 12 36],[34 14 11 37],[37 11 12 36],[35 13 11 37],[35 13 13 35],[35 13 11 37],[36 12 10 38],0.7479166666666667,0.742998903816846,0.7583333333333334,0.7504462624014403,0.007479395565464589
2,200,10,[35 13 12 36],[36 12 12 36],[37 11 13 35],[36 12 12 36],[36 12 11 37],[36 12 12 36],[35 13 12 36],[34 14 13 35],[35 13 11 37],[36 12 11 37],0.746875,0.74447471162378,0.7520833333333333,0.7481741654766754,0.00763888888888888
3,300,5,[36 12 12 36],[34 14 10 38],[37 11 13 35],[37 11 12 36],[37 11 12 36],[38 10 12 36],[35 13 11 37],[36 12 11 37],[35 13 11 37],[36 12 11 37],0.75625,0.754636646688847,0.7604166666666665,0.7572405049065492,0.0046064233199380545
4,300,7,[36 12 12 36],[35 13 13 35],[37 11 13 35],[37 11 11 37],[36 12 12 36],[37 11 12 36],[35 13 11 37],[35 13 13 35],[35 13 12 36],[37 11 11 37],0.75,0.7501520889576923,0.7499999999999999,0.7499945669959374,0.009316949906249134
5,300,10,[35 13 13 35],[35 13 13 35],[37 11 14 34],[37 11 11 37],[37 11 12 36],[37 11 12 36],[36 12 11 37],[36 12 13 35],[35 13 11 37],[37 11 11 37],0.7510416666666666,0.7527253341052733,0.7479166666666666,0.7501803013400763,0.010039466871389562
6,400,5,[36 12 11 37],[34 14 10 38],[37 11 11 37],[36 12 12 36],[36 12 10 38],[38 10 12 36],[37 11 11 37],[36 12 11 37],[35 13 11 37],[36 12 11 37],0.7614583333333333,0.7570350715537051,0.7708333333333333,0.7636896152187569,0.005768488793693119
7,400,7,[37 11 11 37],[36 12 13 35],[36 12 11 37],[35 13 12 36],[35 13 11 37],[36 12 12 36],[36 12 11 37],[36 12 12 36],[35 13 11 37],[36 12 11 37],0.753125,0.7495514184397163,0.7604166666666666,0.754880735528069,0.006249999999999992
8,400,10,[37 11 11 37],[35 13 13 35],[37 11 11 37],[36 12 12 36],[35 13 11 37],[36 12 12 36],[36 12 11 37],[35 13 12 36],[35 13 11 37],[37 11 11 37],0.7541666666666667,0.7511462585034013,0.7604166666666666,0.7557025387474576,0.008893228107545632
9,500,5,[36 12 11 37],[34 14 11 37],[37 11 11 37],[36 12 12 36],[37 11 10 38],[38 10 11 37],[37 11 11 37],[36 12 12 36],[35 13 11 37],[36 12 11 37],0.7614583333333333,0.7580105191012575,0.7687499999999999,0.7632469173894256,0.009027777777777777
10,500,7,[37 11 11 37],[36 12 12 36],[36 12 11 37],[35 13 11 37],[36 12 11 37],[37 11 11 37],[35 13 11 37],[35 13 12 36],[34 14 11 37],[37 11  9 39],0.7583333333333333,0.7522054821928772,0.7708333333333333,0.7613305100234408,0.010206207261596567
11,500,10,[37 11 11 37],[36 12 13 35],[36 12 11 37],[36 12 11 37],[36 12 11 37],[37 11 11 37],[36 12 12 36],[35 13 12 36],[35 13 11 37],[37 11  9 39],0.759375,0.7556347517730496,0.7666666666666667,0.7610457015144636,0.010039466871389546
