,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,linear,0.1,,,[27 21 22 26],[30 18 18 30],[31 17 21 27],[28 20 22 26],[30 18 21 27],[30 18 25 23],[28 20 20 28],[32 16 19 29],[30 18 20 28],[27 21 16 32]
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
2,poly,0.1,1.0,2.0,[36 12 25 23],[35 13 24 24],[35 13 27 21],[32 16 26 22],[36 12 25 23],[35 13 28 20],[36 12 26 22],[39  9 25 23],[34 14 24 24],[32 16 23 25]
3,poly,0.1,1.0,3.0,[39  9 32 16],[36 12 29 19],[36 12 30 18],[36 12 33 15],[40  8 31 17],[38 10 31 17],[38 10 32 16],[39  9 31 17],[36 12 30 18],[36 12 29 19]
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
5,poly,0.1,10.0,2.0,[36 12 25 23],[34 14 24 24],[35 13 27 21],[32 16 26 22],[36 12 25 23],[35 13 28 20],[36 12 26 22],[39  9 25 23],[34 14 24 24],[32 16 23 25]
6,poly,0.1,10.0,3.0,[39  9 32 16],[36 12 29 19],[36 12 30 18],[36 12 33 15],[40  8 31 17],[38 10 31 17],[38 10 32 16],[39  9 31 17],[36 12 30 18],[36 12 29 19]
7,linear,1.0,,,[27 21 21 27],[29 19 18 30],[31 17 21 27],[28 20 21 27],[30 18 22 26],[30 18 25 23],[27 21 21 27],[32 16 19 29],[29 19 20 28],[27 21 16 32]
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
9,poly,1.0,1.0,2.0,[36 12 25 23],[35 13 24 24],[35 13 27 21],[32 16 26 22],[36 12 25 23],[35 13 28 20],[36 12 26 22],[39  9 25 23],[34 14 24 24],[32 16 23 25]
10,poly,1.0,1.0,3.0,[39  9 32 16],[36 12 29 19],[36 12 30 18],[36 12 33 15],[40  8 31 17],[38 10 31 17],[38 10 32 16],[39  9 31 17],[36 12 30 18],[36 12 29 19]
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
12,poly,1.0,10.0,2.0,[36 12 25 23],[34 14 24 24],[35 13 27 21],[32 16 26 22],[36 12 25 23],[35 13 28 20],[36 12 26 22],[39  9 25 23],[34 14 24 24],[32 16 23 25]
