,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,linear,0.1,,,[27 21 22 26],[30 18 18 30],[31 17 21 27],[28 20 22 26],[30 18 21 27],[30 18 25 23],[28 20 20 28],[32 16 19 29],[30 18 20 28],[27 21 16 32],0.5927083333333334,0.5958267868915863,0.575,0.5846412820527582,0.01874999999999999
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
2,poly,0.1,1.0,2.0,[36 12 25 23],[35 13 24 24],[35 13 27 21],[32 16 26 22],[36 12 25 23],[35 13 28 20],[36 12 26 22],[39  9 25 23],[34 14 24 24],[32 16 23 25],0.6010416666666667,0.6372733264698359,0.4729166666666666,0.542231246026086,0.015230355694070361
3,poly,0.1,1.0,3.0,[39  9 32 16],[36 12 29 19],[36 12 30 18],[36 12 33 15],[40  8 31 17],[38 10 31 17],[38 10 32 16],[39  9 31 17],[36 12 30 18],[36 12 29 19],0.56875,0.6200222406028859,0.35833333333333334,0.4534437053798941,0.010393492741038726
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
5,poly,0.1,10.0,2.0,[36 12 25 23],[34 14 24 24],[35 13 27 21],[32 16 26 22],[36 12 25 23],[35 13 28 20],[36 12 26 22],[39  9 25 23],[34 14 24 24],[32 16 23 25],0.6,0.6355663563418131,0.4729166666666666,0.541574611279164,0.014958791130929185
6,poly,0.1,10.0,3.0,[39  9 32 16],[36 12 29 19],[36 12 30 18],[36 12 33 15],[40  8 31 17],[38 10 31 17],[38 10 32 16],[39  9 31 17],[36 12 30 18],[36 12 29 19],0.56875,0.6200222406028859,0.35833333333333334,0.4534437053798941,0.010393492741038726
7,linear,1.0,,,[27 21 21 27],[29 19 18 30],[31 17 21 27],[28 20 21 27],[30 18 22 26],[30 18 25 23],[27 21 21 27],[32 16 19 29],[29 19 20 28],[27 21 16 32],0.5895833333333333,0.5921196757568288,0.575,0.5827798563815909,0.01734721666221777
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
9,poly,1.0,1.0,2.0,[36 12 25 23],[35 13 24 24],[35 13 27 21],[32 16 26 22],[36 12 25 23],[35 13 28 20],[36 12 26 22],[39  9 25 23],[34 14 24 24],[32 16 23 25],0.6010416666666667,0.6372733264698359,0.4729166666666666,0.542231246026086,0.015230355694070361
10,poly,1.0,1.0,3.0,[39  9 32 16],[36 12 29 19],[36 12 30 18],[36 12 33 15],[40  8 31 17],[38 10 31 17],[38 10 32 16],[39  9 31 17],[36 12 30 18],[36 12 29 19],0.56875,0.6200222406028859,0.35833333333333334,0.4534437053798941,0.010393492741038726
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
12,poly,1.0,10.0,2.0,[36 12 25 23],[34 14 24 24],[35 13 27 21],[32 16 26 22],[36 12 25 23],[35 13 28 20],[36 12 26 22],[39  9 25 23],[34 14 24 24],[32 16 23 25],0.6,0.6355663563418131,0.4729166666666666,0.541574611279164,0.014958791130929185
13,poly,1.0,10.0,3.0,[39  9 32 16],[36 12 29 19],[36 12 30 18],[36 12 33 15],[40  8 31 17],[38 10 31 17],[38 10 32 16],[39  9 31 17],[36 12 30 18],[36 12 29 19],0.56875,0.6200222406028859,0.35833333333333334,0.4534437053798941,0.010393492741038726
14,linear,10.0,,,[27 21 21 27],[32 16 17 31],[31 17 21 27],[28 20 22 26],[30 18 21 27],[30 18 25 23],[27 21 21 27],[32 16 20 28],[28 20 20 28],[27 21 16 32],0.5916666666666666,0.5947874387384545,0.575,0.5840971035766672,0.021245914639969936
15,rbf,10.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
