,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,linear,0.1,,,[34 14 27 21],[32 16 20 28],[33 15 16 32],[35 13 21 27],[35 13 19 29],[30 18 22 26],[31 17 16 32],[29 19 17 31],[27 21 19 29],[29 19 18 30]
1,rbf,0.1,1.0,,[16 32 15 33],[ 8 40 10 38],[18 30 20 28],[23 25 25 23],[14 34 16 32],[18 30 20 28],[13 35 15 33],[15 33 17 31],[ 9 39 10 38],[20 28 21 27]
2,poly,0.1,1.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27]
3,poly,0.1,1.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27]
4,rbf,0.1,10.0,,[13 35 16 32],[ 8 40 10 38],[13 35 15 33],[13 35 15 33],[ 8 40 10 38],[13 35 15 33],[13 35 15 33],[ 8 40 10 38],[ 8 40 10 38],[13 35 15 33]
5,poly,0.1,10.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27]
6,poly,0.1,10.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27]
7,linear,1.0,,,[34 14 27 21],[29 19 20 28],[32 16 16 32],[34 14 21 27],[33 15 21 27],[32 16 21 27],[29 19 17 31],[30 18 17 31],[25 23 20 28],[30 18 19 29]
8,rbf,1.0,1.0,,[13 35 15 33],[ 8 40 10 38],[23 25 25 23],[23 25 25 23],[18 30 21 27],[18 30 20 28],[13 35 15 33],[19 29 20 28],[13 35 15 33],[24 24 25 23]
9,poly,1.0,1.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27]
10,poly,1.0,1.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27]
11,rbf,1.0,10.0,,[13 35 16 32],[ 8 40 10 38],[13 35 15 33],[18 30 20 28],[ 8 40 10 38],[18 30 20 28],[13 35 15 33],[ 8 40 10 38],[ 8 40 10 38],[13 35 15 33]
12,poly,1.0,10.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27]
13,poly,1.0,10.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27]
14,linear,10.0,,,[33 15 26 22],[29 19 22 26],[31 17 16 32],[35 13 20 28],[34 14 21 27],[34 14 21 27],[29 19 14 34],[30 18 14 34],[28 20 18 30],[30 18 21 27]
15,rbf,10.0,1.0,,[23 25 24 24],[ 8 40 10 38],[23 25 25 23],[23 25 25 23],[18 30 21 27],[18 30 20 28],[13 35 15 33],[19 29 19 29],[18 30 20 28],[24 24 25 23]
16,poly,10.0,1.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27]
17,poly,10.0,1.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27]
18,rbf,10.0,10.0,,[13 35 16 32],[ 8 40 10 38],[13 35 15 33],[18 30 20 28],[ 8 40 10 38],[18 30 20 28],[13 35 15 33],[ 8 40 10 38],[ 8 40 10 38],[13 35 15 33]
19,poly,10.0,10.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27]
20,poly,10.0,10.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27]
21,linear,100.0,,,[33 15 26 22],[28 20 22 26],[31 17 16 32],[35 13 20 28],[34 14 21 27],[34 14 21 27],[30 18 15 33],[30 18 14 34],[28 20 19 29],[30 18 21 27]
22,rbf,100.0,1.0,,[23 25 24 24],[ 8 40 10 38],[23 25 25 23],[23 25 25 23],[18 30 21 27],[18 30 20 28],[13 35 15 33],[19 29 19 29],[18 30 20 28],[24 24 25 23]
23,poly,100.0,1.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27]
24,poly,100.0,1.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27]
25,rbf,100.0,10.0,,[13 35 16 32],[ 8 40 10 38],[13 35 15 33],[18 30 20 28],[ 8 40 10 38],[18 30 20 28],[13 35 15 33],[ 8 40 10 38],[ 8 40 10 38],[13 35 15 33]
26,poly,100.0,10.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27]
27,poly,100.0,10.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27]
28,linear,1000.0,,,[32 16 24 24],[28 20 22 26],[31 17 16 32],[35 13 20 28],[34 14 21 27],[34 14 21 27],[30 18 14 34],[30 18 14 34],[28 20 18 30],[30 18 21 27]
29,rbf,1000.0,1.0,,[23 25 24 24],[ 8 40 10 38],[23 25 25 23],[23 25 25 23],[18 30 21 27],[18 30 20 28],[13 35 15 33],[19 29 19 29],[18 30 20 28],[24 24 25 23]
30,poly,1000.0,1.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27]
