,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,linear,0.1,,,[34 14 27 21],[32 16 20 28],[33 15 16 32],[35 13 21 27],[35 13 19 29],[30 18 22 26],[31 17 16 32],[29 19 17 31],[27 21 19 29],[29 19 18 30],0.625,0.6338906104027685,0.59375,0.611454246985321,0.023240556292613207
1,rbf,0.1,1.0,,[16 32 15 33],[ 8 40 10 38],[18 30 20 28],[23 25 25 23],[14 34 16 32],[18 30 20 28],[13 35 15 33],[15 33 17 31],[ 9 39 10 38],[20 28 21 27],0.4843749999999999,0.48784888898289014,0.6479166666666666,0.5539228139131284,0.006402461428675604
2,poly,0.1,1.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27],0.5947916666666667,0.5968624615316929,0.5875000000000001,0.5913021325134338,0.02715446499446826
3,poly,0.1,1.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27],0.58125,0.5843476123028688,0.5604166666666667,0.5711435635978892,0.019592688860647058
4,rbf,0.1,10.0,,[13 35 16 32],[ 8 40 10 38],[13 35 15 33],[13 35 15 33],[ 8 40 10 38],[13 35 15 33],[13 35 15 33],[ 8 40 10 38],[ 8 40 10 38],[13 35 15 33],0.478125,0.485280047725175,0.7270833333333334,0.5814047738035742,0.002083333333333337
5,poly,0.1,10.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27],0.5947916666666667,0.5968624615316929,0.5875000000000001,0.5913021325134338,0.02715446499446826
6,poly,0.1,10.0,3.0,[27 21 21 27],[26 22 18 30],[30 18 26 22],[27 21 22 26],[29 19 23 25],[31 17 25 23],[30 18 18 30],[27 21 18 30],[32 16 19 29],[30 18 21 27],0.58125,0.5843476123028688,0.5604166666666667,0.5711435635978892,0.019592688860647058
7,linear,1.0,,,[34 14 27 21],[29 19 20 28],[32 16 16 32],[34 14 21 27],[33 15 21 27],[32 16 21 27],[29 19 17 31],[30 18 17 31],[25 23 20 28],[30 18 19 29],0.6135416666666667,0.6210405998148285,0.5854166666666666,0.6010323814105525,0.020937240877335176
8,rbf,1.0,1.0,,[13 35 15 33],[ 8 40 10 38],[23 25 25 23],[23 25 25 23],[18 30 21 27],[18 30 20 28],[13 35 15 33],[19 29 20 28],[13 35 15 33],[24 24 25 23],0.4802083333333333,0.48384277769730666,0.6020833333333334,0.5328535948959363,0.0037396977827322884
9,poly,1.0,1.0,2.0,[27 21 20 28],[27 21 17 31],[31 17 24 24],[29 19 20 28],[24 24 24 24],[32 16 20 28],[32 16 17 31],[26 22 16 32],[32 16 19 29],[29 19 21 27],0.5947916666666667,0.5968624615316929,0.5875000000000001,0.5913021325134338,0.02715446499446826
