,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,linear,0.1,,,[27 21 19 29],[29 19 19 29],[29 19 25 23],[26 22 19 29],[26 22 20 28],[30 18 20 28],[28 20 21 27],[30 18 20 28],[24 24 19 29],[24 24 17 31]
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
2,poly,0.1,1.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
3,poly,0.1,1.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
5,poly,0.1,10.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
6,poly,0.1,10.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
7,linear,1.0,,,[27 21 20 28],[29 19 18 30],[29 19 25 23],[26 22 19 29],[27 21 20 28],[30 18 20 28],[27 21 21 27],[29 19 20 28],[24 24 19 29],[25 23 17 31]
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
9,poly,1.0,1.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
10,poly,1.0,1.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
12,poly,1.0,10.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
13,poly,1.0,10.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
14,linear,10.0,,,[27 21 19 29],[29 19 19 29],[29 19 24 24],[26 22 19 29],[26 22 21 27],[29 19 21 27],[28 20 21 27],[28 20 20 28],[24 24 19 29],[24 24 17 31]
15,rbf,10.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
16,poly,10.0,1.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
17,poly,10.0,1.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
18,rbf,10.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
19,poly,10.0,10.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
20,poly,10.0,10.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
21,linear,100.0,,,[27 21 20 28],[29 19 18 30],[29 19 25 23],[26 22 19 29],[26 22 21 27],[29 19 20 28],[28 20 21 27],[30 18 20 28],[25 23 21 27],[25 23 17 31]
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
23,poly,100.0,1.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
24,poly,100.0,1.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
26,poly,100.0,10.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
27,poly,100.0,10.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
28,linear,1000.0,,,[27 21 20 28],[29 19 19 29],[29 19 25 23],[26 22 19 29],[26 22 21 27],[30 18 20 28],[28 20 21 27],[28 20 20 28],[24 24 19 29],[25 23 17 31]
29,rbf,1000.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
30,poly,1000.0,1.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
31,poly,1000.0,1.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
32,rbf,1000.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
33,poly,1000.0,10.0,2.0,[36 12 24 24],[35 13 26 22],[35 13 26 22],[31 17 22 26],[32 16 25 23],[36 12 30 18],[35 13 28 20],[36 12 26 22],[31 17 25 23],[32 16 26 22]
34,poly,1000.0,10.0,3.0,[35 13 30 18],[36 12 29 19],[35 13 30 18],[31 17 30 18],[35 13 30 18],[36 12 31 17],[36 12 32 16],[36 12 31 17],[34 14 30 18],[31 17 28 20]
