,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,linear,0.1,,,[29 19 17 31],[32 16 16 32],[32 16 20 28],[28 20 18 30],[29 19 18 30],[29 19 21 27],[32 16 18 30],[30 18 20 28],[28 20 21 27],[34 14 20 28]
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
2,poly,0.1,1.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
3,poly,0.1,1.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
5,poly,0.1,10.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
6,poly,0.1,10.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
7,linear,1.0,,,[29 19 17 31],[32 16 16 32],[32 16 20 28],[27 21 19 29],[28 20 18 30],[29 19 21 27],[31 17 18 30],[30 18 20 28],[28 20 20 28],[34 14 20 28]
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
9,poly,1.0,1.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
10,poly,1.0,1.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
11,rbf,1.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
12,poly,1.0,10.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
13,poly,1.0,10.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
14,linear,10.0,,,[29 19 17 31],[32 16 17 31],[32 16 20 28],[27 21 19 29],[29 19 18 30],[29 19 21 27],[31 17 18 30],[30 18 20 28],[28 20 20 28],[34 14 20 28]
15,rbf,10.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
16,poly,10.0,1.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
17,poly,10.0,1.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
18,rbf,10.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
19,poly,10.0,10.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
20,poly,10.0,10.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
21,linear,100.0,,,[29 19 17 31],[32 16 17 31],[32 16 20 28],[27 21 19 29],[29 19 18 30],[29 19 21 27],[31 17 18 30],[30 18 20 28],[28 20 20 28],[34 14 20 28]
22,rbf,100.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
23,poly,100.0,1.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
24,poly,100.0,1.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
25,rbf,100.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
26,poly,100.0,10.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
27,poly,100.0,10.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
28,linear,1000.0,,,[29 19 17 31],[32 16 17 31],[32 16 20 28],[27 21 19 29],[29 19 18 30],[29 19 21 27],[31 17 18 30],[30 18 20 28],[28 20 20 28],[34 14 20 28]
29,rbf,1000.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
30,poly,1000.0,1.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
31,poly,1000.0,1.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
32,rbf,1000.0,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38]
33,poly,1000.0,10.0,2.0,[32 16 26 22],[30 18 26 22],[29 19 24 24],[27 21 26 22],[26 22 27 21],[30 18 27 21],[26 22 28 20],[31 17 28 20],[26 22 26 22],[25 23 26 22]
34,poly,1000.0,10.0,3.0,[30 18 26 22],[29 19 23 25],[31 17 26 22],[31 17 23 25],[29 19 29 19],[27 21 22 26],[28 20 25 23],[31 17 31 17],[30 18 27 21],[28 20 27 21]
