,Kernel,C,Gamma,Degree,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,linear,0.1,,,[27 21 22 26],[30 18 18 30],[30 18 21 27],[26 22 19 29],[30 18 21 27],[29 19 24 24],[28 20 23 25],[33 15 21 27],[30 18 22 26],[27 21 19 29],0.5833333333333333,0.5874280264547606,0.5625,0.5741678391564765,0.017291527219428785
1,rbf,0.1,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
2,poly,0.1,1.0,2.0,[37 11 24 24],[34 14 25 23],[34 14 26 22],[31 17 23 25],[33 15 25 23],[35 13 28 20],[36 12 26 22],[39  9 24 24],[33 15 24 24],[31 17 23 25],0.5989583333333333,0.6309963139065307,0.4833333333333333,0.5464023336322263,0.016796370308955304
3,poly,0.1,1.0,3.0,[38 10 32 16],[35 13 29 19],[35 13 30 18],[35 13 29 19],[39  9 31 17],[38 10 31 17],[38 10 31 17],[40  8 30 18],[36 12 30 18],[36 12 30 18],0.5697916666666667,0.6188942882088042,0.36874999999999997,0.4613818170653613,0.009342794477134512
4,rbf,0.1,10.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
5,poly,0.1,10.0,2.0,[37 11 24 24],[34 14 25 23],[34 14 26 22],[31 17 23 25],[33 15 25 23],[35 13 28 20],[36 12 26 22],[39  9 24 24],[33 15 24 24],[31 17 23 25],0.5989583333333333,0.6309963139065307,0.4833333333333333,0.5464023336322263,0.016796370308955304
6,poly,0.1,10.0,3.0,[38 10 32 16],[35 13 29 19],[35 13 30 18],[35 13 29 19],[39  9 31 17],[38 10 31 17],[38 10 31 17],[40  8 30 18],[36 12 30 18],[36 12 30 18],0.5697916666666667,0.6188942882088042,0.36874999999999997,0.4613818170653613,0.009342794477134512
7,linear,1.0,,,[27 21 21 27],[31 17 17 31],[30 18 21 27],[26 22 19 29],[30 18 21 27],[30 18 25 23],[28 20 22 26],[33 15 21 27],[30 18 22 26],[27 21 19 29],0.5875,0.5916920019140405,0.5666666666666667,0.5782581789716761,0.018425693279752225
8,rbf,1.0,1.0,,[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],[ 8 40 10 38],0.4791666666666667,0.4871794871794871,0.7916666666666667,0.603174603174603,0.0
9,poly,1.0,1.0,2.0,[37 11 24 24],[34 14 25 23],[34 14 26 22],[31 17 23 25],[33 15 25 23],[35 13 28 20],[36 12 26 22],[39  9 24 24],[33 15 24 24],[31 17 23 25],0.5989583333333333,0.6309963139065307,0.4833333333333333,0.5464023336322263,0.016796370308955304
