,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,3,50,[33 15 15 33],[37 11 14 34],[33 15 14 34],[34 14 13 35],[35 13 19 29],[36 12 15 33],[33 15 19 29],[35 13 10 38],[33 15 18 30],[31 17 15 33]
1,3,183,[36 12 16 32],[38 10 15 33],[32 16 16 32],[34 14 16 32],[33 15 15 33],[38 10 14 34],[35 13 15 33],[36 12 12 36],[32 16 17 31],[30 18 13 35]
2,3,316,[36 12 16 32],[36 12 15 33],[30 18 16 32],[34 14 15 33],[32 16 19 29],[38 10 13 35],[36 12 16 32],[35 13 12 36],[33 15 16 32],[30 18 15 33]
3,3,450,[35 13 16 32],[36 12 14 34],[32 16 16 32],[34 14 15 33],[32 16 19 29],[37 11 14 34],[35 13 16 32],[34 14 12 36],[33 15 16 32],[32 16 14 34]
4,4,50,[35 13 16 32],[33 15 15 33],[34 14 16 32],[31 17 13 35],[34 14 19 29],[35 13 17 31],[33 15 19 29],[36 12 12 36],[30 18 16 32],[33 15 15 33]
5,4,183,[37 11 17 31],[38 10 15 33],[34 14 15 33],[33 15 17 31],[34 14 15 33],[36 12 15 33],[35 13 17 31],[36 12 12 36],[30 18 16 32],[30 18 13 35]
6,4,316,[37 11 18 30],[37 11 15 33],[33 15 13 35],[34 14 16 32],[32 16 16 32],[37 11 13 35],[34 14 16 32],[36 12 13 35],[32 16 15 33],[29 19 12 36]
7,4,450,[35 13 17 31],[34 14 15 33],[33 15 14 34],[34 14 16 32],[32 16 17 31],[36 12 13 35],[34 14 16 32],[37 11 13 35],[32 16 15 33],[29 19 12 36]
8,5,50,[36 12 17 31],[33 15 14 34],[34 14 15 33],[32 16 12 36],[34 14 18 30],[35 13 17 31],[32 16 19 29],[34 14 11 37],[31 17 16 32],[32 16 15 33]
9,5,183,[39  9 18 30],[37 11 15 33],[34 14 15 33],[33 15 16 32],[33 15 17 31],[35 13 15 33],[34 14 18 30],[35 13 12 36],[30 18 15 33],[31 17 13 35]
10,5,316,[39  9 18 30],[37 11 14 34],[33 15 13 35],[35 13 16 32],[34 14 15 33],[36 12 13 35],[34 14 16 32],[35 13 13 35],[33 15 15 33],[30 18 13 35]
11,5,450,[38 10 17 31],[36 12 14 34],[33 15 14 34],[34 14 16 32],[32 16 14 34],[35 13 13 35],[34 14 16 32],[37 11 12 36],[33 15 15 33],[30 18 13 35]
12,6,50,[36 12 17 31],[33 15 14 34],[34 14 15 33],[32 16 12 36],[34 14 18 30],[35 13 17 31],[32 16 19 29],[34 14 11 37],[31 17 16 32],[32 16 15 33]
13,6,183,[39  9 18 30],[37 11 15 33],[34 14 15 33],[33 15 16 32],[33 15 17 31],[35 13 15 33],[34 14 18 30],[35 13 12 36],[30 18 16 32],[31 17 13 35]
14,6,316,[39  9 18 30],[37 11 14 34],[33 15 13 35],[35 13 16 32],[34 14 15 33],[36 12 13 35],[34 14 16 32],[35 13 13 35],[33 15 15 33],[30 18 13 35]
15,6,450,[38 10 17 31],[36 12 14 34],[33 15 14 34],[34 14 16 32],[32 16 14 34],[35 13 13 35],[34 14 16 32],[37 11 12 36],[33 15 15 33],[30 18 13 35]
16,7,50,[36 12 17 31],[33 15 14 34],[34 14 15 33],[32 16 12 36],[34 14 18 30],[35 13 17 31],[32 16 19 29],[34 14 11 37],[31 17 16 32],[32 16 15 33]
17,7,183,[39  9 18 30],[37 11 15 33],[34 14 15 33],[33 15 16 32],[33 15 17 31],[35 13 15 33],[34 14 18 30],[35 13 12 36],[30 18 16 32],[31 17 13 35]
18,7,316,[39  9 18 30],[37 11 14 34],[33 15 13 35],[35 13 16 32],[34 14 15 33],[36 12 13 35],[34 14 16 32],[35 13 13 35],[33 15 15 33],[30 18 13 35]
19,7,450,[38 10 17 31],[36 12 14 34],[33 15 14 34],[34 14 16 32],[32 16 14 34],[35 13 13 35],[34 14 16 32],[37 11 12 36],[33 15 15 33],[30 18 13 35]
