,Max_depth,N_estimators,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9,Average Accuracy,Average Precision,Average Recall,Average F1,Standard Error of Accuracy
0,3,50,[33 15 15 33],[37 11 14 34],[33 15 14 34],[34 14 13 35],[35 13 19 29],[36 12 15 33],[33 15 19 29],[35 13 10 38],[33 15 18 30],[31 17 15 33],0.6958333333333333,0.7005883959644464,0.6833333333333333,0.6912227300232489,0.024016133980264694
1,3,183,[36 12 16 32],[38 10 15 33],[32 16 16 32],[34 14 16 32],[33 15 15 33],[38 10 14 34],[35 13 15 33],[36 12 12 36],[32 16 17 31],[30 18 13 35],0.703125,0.7104603831968325,0.6895833333333333,0.6992903609919361,0.021572534120845928
2,3,316,[36 12 16 32],[36 12 15 33],[30 18 16 32],[34 14 15 33],[32 16 19 29],[38 10 13 35],[36 12 16 32],[35 13 12 36],[33 15 16 32],[30 18 15 33],0.6947916666666666,0.7014832434585698,0.68125,0.6907742838227586,0.02580681135564173
3,3,450,[35 13 16 32],[36 12 14 34],[32 16 16 32],[34 14 15 33],[32 16 19 29],[37 11 14 34],[35 13 16 32],[34 14 12 36],[33 15 16 32],[32 16 14 34],0.6958333333333333,0.7010998047075753,0.6833333333333333,0.6918246198887749,0.020078933742779113
4,4,50,[35 13 16 32],[33 15 15 33],[34 14 16 32],[31 17 13 35],[34 14 19 29],[35 13 17 31],[33 15 19 29],[36 12 12 36],[30 18 16 32],[33 15 15 33],0.6833333333333332,0.6882895176388604,0.6708333333333333,0.6788794794779929,0.019194826334840622
5,4,183,[37 11 17 31],[38 10 15 33],[34 14 15 33],[33 15 17 31],[34 14 15 33],[36 12 15 33],[35 13 17 31],[36 12 12 36],[30 18 16 32],[30 18 13 35],0.6989583333333332,0.7071961607556905,0.6833333333333333,0.6942932760712834,0.020234447617129815
6,4,316,[37 11 18 30],[37 11 15 33],[33 15 13 35],[34 14 16 32],[32 16 16 32],[37 11 13 35],[34 14 16 32],[36 12 13 35],[32 16 15 33],[29 19 12 36],0.7020833333333332,0.7073243590147701,0.69375,0.6995167570005167,0.01816207893141947
7,4,450,[35 13 17 31],[34 14 15 33],[33 15 14 34],[34 14 16 32],[32 16 17 31],[36 12 13 35],[34 14 16 32],[37 11 13 35],[32 16 15 33],[29 19 12 36],0.6958333333333332,0.6984994739633301,0.6916666666666668,0.6944978973700119,0.018055555555555554
8,5,50,[36 12 17 31],[33 15 14 34],[34 14 15 33],[32 16 12 36],[34 14 18 30],[35 13 17 31],[32 16 19 29],[34 14 11 37],[31 17 16 32],[32 16 15 33],0.6864583333333333,0.6892072024592119,0.6791666666666667,0.6834510254800988,0.018491009660686602
9,5,183,[39  9 18 30],[37 11 15 33],[34 14 15 33],[33 15 16 32],[33 15 17 31],[35 13 15 33],[34 14 18 30],[35 13 12 36],[30 18 15 33],[31 17 13 35],0.6947916666666666,0.7030161646436649,0.6791666666666667,0.6898278278000032,0.018122206042638738
10,5,316,[39  9 18 30],[37 11 14 34],[33 15 13 35],[35 13 16 32],[34 14 15 33],[36 12 13 35],[34 14 16 32],[35 13 13 35],[33 15 15 33],[30 18 13 35],0.7083333333333333,0.715540214560601,0.6958333333333334,0.7045461710204752,0.014231876063832779
11,5,450,[38 10 17 31],[36 12 14 34],[33 15 14 34],[34 14 16 32],[32 16 14 34],[35 13 13 35],[34 14 16 32],[37 11 12 36],[33 15 15 33],[30 18 13 35],0.70625,0.7103411366570457,0.7000000000000001,0.7044274785756793,0.016953549466296798
12,6,50,[36 12 17 31],[33 15 14 34],[34 14 15 33],[32 16 12 36],[34 14 18 30],[35 13 17 31],[32 16 19 29],[34 14 11 37],[31 17 16 32],[32 16 15 33],0.6864583333333333,0.6892072024592119,0.6791666666666667,0.6834510254800988,0.018491009660686602
13,6,183,[39  9 18 30],[37 11 15 33],[34 14 15 33],[33 15 16 32],[33 15 17 31],[35 13 15 33],[34 14 18 30],[35 13 12 36],[30 18 16 32],[31 17 13 35],0.6937499999999999,0.7023102822907237,0.6770833333333334,0.688467283582316,0.01919482633484063
14,6,316,[39  9 18 30],[37 11 14 34],[33 15 13 35],[35 13 16 32],[34 14 15 33],[36 12 13 35],[34 14 16 32],[35 13 13 35],[33 15 15 33],[30 18 13 35],0.7083333333333333,0.715540214560601,0.6958333333333334,0.7045461710204752,0.014231876063832779
15,6,450,[38 10 17 31],[36 12 14 34],[33 15 14 34],[34 14 16 32],[32 16 14 34],[35 13 13 35],[34 14 16 32],[37 11 12 36],[33 15 15 33],[30 18 13 35],0.70625,0.7103411366570457,0.7000000000000001,0.7044274785756793,0.016953549466296798
